nlimbs bitwidth real user sys mem
2 64 13.85 13.38 0.43 738880
3 64 16.36 16.03 0.32 761776
3 64 16.44 16.10 0.33 762836
3 64 16.43 16.14 0.28 763644
3 64 16.24 15.92 0.32 763876
3 64 16.22 15.92 0.29 763468
3 64 16.18 15.87 0.30 761564
3 64 16.48 16.16 0.28 761456
3 64 16.25 15.92 0.31 762108
3 64 16.24 15.94 0.27 761832
3 64 16.44 16.12 0.29 764488
3 64 16.42 16.09 0.30 763708
3 64 16.20 15.88 0.31 764480
3 64 16.44 16.10 0.33 762160
3 64 16.35 16.01 0.33 764344
3 64 16.43 16.11 0.32 764600
3 64 16.27 15.96 0.29 764204
3 64 16.50 16.15 0.34 764296
3 64 16.44 16.13 0.30 766816
4 32 17.30 16.92 0.36 774788
4 64 20.41 20.05 0.35 796436
4 64 20.38 20.01 0.37 796108
4 64 20.55 20.18 0.37 796012
4 64 20.31 19.94 0.36 796460
4 64 20.33 19.99 0.33 796284
4 64 20.20 19.86 0.33 796012
4 64 20.40 20.05 0.34 796224
4 64 20.49 20.17 0.32 796292
4 64 20.54 20.14 0.37 796372
4 64 20.49 20.16 0.33 796868
4 64 20.26 19.94 0.31 786024
4 64 20.60 20.21 0.38 795808
4 64 20.46 20.06 0.39 796400
4 64 20.46 20.10 0.35 795836
4 64 20.39 20.01 0.36 795720
4 64 20.64 20.27 0.35 796696
4 64 20.70 20.31 0.36 796796
4 64 20.55 20.16 0.35 796672
4 64 20.80 20.43 0.34 796984
4 64 20.56 20.19 0.35 796468
4 64 20.38 20.05 0.29 787120
4 64 20.40 20.09 0.31 796548
4 64 20.44 20.10 0.33 796832
4 64 20.62 20.28 0.34 796424
5 32 22.07 21.76 0.31 811076
5 32 21.61 21.33 0.26 812408
5 32 21.60 21.25 0.34 813928
5 32 21.61 21.28 0.31 813940
5 32 21.80 21.48 0.32 812252
5 32 21.98 21.63 0.32 812384
5 32 21.57 21.19 0.37 812540
5 32 22.03 21.71 0.30 813188
5 32 22.04 21.74 0.29 813972
5 64 25.52 25.18 0.33 825588
5 64 25.50 25.13 0.36 825740
5 64 25.54 25.20 0.33 825144
6 32 26.49 26.17 0.31 848372
6 32 27.28 26.88 0.37 849744
6 32 27.13 26.79 0.33 851428
6 32 26.70 26.37 0.32 850744
6 32 26.71 26.37 0.33 851152
6 32 26.74 26.39 0.34 851540
6 32 26.94 26.59 0.35 851328
6 32 27.17 26.76 0.40 851448
6 32 27.28 26.92 0.35 851824
6 64 31.13 30.77 0.35 876136
6 64 30.79 30.40 0.38 876312
6 64 31.05 30.68 0.35 877536
6 64 31.20 30.80 0.39 876724
6 64 30.71 30.37 0.33 876596
6 64 30.79 30.43 0.36 876756
6 64 31.43 31.08 0.31 875464
6 64 31.14 30.79 0.34 867944
6 64 30.93 30.49 0.43 866804
6 64 30.93 30.57 0.35 864088
6 64 30.97 30.60 0.36 867752
6 64 31.03 30.59 0.44 877020
6 64 30.98 30.65 0.32 867936
6 64 30.89 30.53 0.35 868512
6 64 31.06 30.68 0.38 863896
7 32 33.19 32.77 0.41 899748
7 32 33.33 32.50 0.41 899644
7 32 32.40 32.05 0.34 899584
7 32 33.26 32.88 0.37 899864
7 32 33.17 32.80 0.36 895348
7 32 33.24 32.84 0.35 905712
7 32 33.21 32.78 0.41 899396
7 32 33.13 32.71 0.42 906840
7 32 33.27 32.93 0.33 909804
7 32 32.94 32.55 0.38 905936
7 32 33.10 32.67 0.34 909984
7 64 38.25 37.84 0.40 935668
7 64 38.35 37.98 0.36 937080
7 64 38.07 37.63 0.43 937224
7 64 38.19 37.82 0.37 936784
7 64 38.59 38.10 0.48 937716
7 64 38.38 37.99 0.33 916152
7 64 38.01 37.56 0.44 918668
8 32 41.39 40.98 0.40 981988
8 32 40.70 40.23 0.46 984956
8 32 40.69 40.27 0.41 986536
8 32 41.85 41.23 0.56 965588
8 32 41.57 41.14 0.42 963264
8 32 40.89 40.48 0.40 984516
8 32 41.81 41.37 0.43 964316
8 32 41.72 41.28 0.43 965256
8 32 41.04 40.51 0.46 982220
8 32 41.48 40.99 0.48 982104
8 32 41.88 41.46 0.42 984824
8 32 40.91 40.50 0.41 963908
8 32 41.83 41.39 0.43 965108
8 64 48.60 48.17 0.42 1003820
8 64 48.72 48.27 0.43 1002572
8 64 48.15 47.69 0.45 1012340
8 64 48.99 48.62 0.37 1007648
8 64 48.73 48.28 0.44 1005640
8 64 48.20 47.78 0.40 1005520
8 64 48.40 47.98 0.41 1005232
8 64 48.32 47.79 0.53 1002844
8 64 48.47 48.01 0.46 1003984
8 64 48.51 48.07 0.43 1006908
8 64 48.65 48.14 0.50 1005196
8 64 48.73 48.28 0.44 1002200
9 32 50.12 49.63 0.48 1087376
9 32 51.24 50.74 0.50 1093280
9 64 58.01 57.45 0.55 1114696
10 32 61.56 61.07 0.48 1172568
11 32 75.72 75.13 0.57 1376828
11 32 77.01 76.39 0.62 1374936
11 32 77.20 76.54 0.64 1379636
11 32 77.02 76.39 0.62 1374448
11 32 76.86 76.18 0.67 1374464
12 32 91.73 90.99 0.72 1452752
12 32 91.86 91.18 0.68 1447644
12 32 91.68 91.05 0.61 1448728
12 32 92.17 91.51 0.65 1448312
12 32 89.20 88.50 0.70 1448060
12 32 89.50 88.90 0.59 1448492
12 32 92.17 91.50 0.66 1503308
12 32 88.92 88.19 0.72 1447980
