nlimbs bitwidth real user sys mem
2 64 13.90 13.55 0.35 742596
3 64 16.86 16.51 0.35 764084
3 64 16.37 16.04 0.32 763908
3 64 16.43 16.11 0.29 763232
3 64 16.28 15.93 0.33 762352
3 64 16.30 15.96 0.32 761916
3 64 16.22 15.88 0.33 762104
3 64 16.30 16.00 0.29 761900
3 64 16.34 16.09 0.25 758172
3 64 16.36 16.06 0.28 764436
3 64 16.37 16.02 0.35 762280
3 64 16.26 15.97 0.28 762132
3 64 16.32 15.99 0.32 762408
3 64 16.37 16.00 0.34 762100
3 64 16.33 16.03 0.29 761960
3 64 16.34 16.05 0.29 763316
3 64 16.43 15.90 0.50 763560
3 64 16.19 15.89 0.29 764356
3 64 16.42 16.11 0.30 764780
4 32 17.65 17.30 0.32 774500
4 64 20.52 20.14 0.37 796292
4 64 20.61 20.17 0.41 796416
4 64 20.70 20.37 0.29 795980
4 64 20.50 20.15 0.34 796544
4 64 20.48 20.17 0.30 796784
4 64 20.59 20.22 0.36 795956
4 64 20.61 20.26 0.34 795872
4 64 20.57 20.25 0.32 795784
4 64 20.45 20.16 0.28 796324
4 64 20.49 20.17 0.31 796232
4 64 20.46 20.08 0.37 796244
4 64 20.54 20.24 0.30 796648
4 64 20.57 20.25 0.32 796716
4 64 20.56 20.04 0.48 796072
4 64 20.51 20.12 0.38 796944
4 64 20.58 20.23 0.33 791432
4 64 20.57 20.24 0.32 791288
4 64 20.64 20.33 0.31 793852
4 64 20.61 20.33 0.27 793112
4 64 20.51 20.21 0.30 794056
4 64 20.39 19.97 0.38 795872
4 64 20.41 20.05 0.34 794424
4 64 20.53 20.18 0.33 794688
4 64 20.55 20.21 0.33 794212
5 32 21.73 21.37 0.35 815012
5 32 22.93 22.50 0.42 816068
5 32 22.12 21.75 0.36 810596
5 32 22.36 21.99 0.36 813012
5 32 22.23 21.87 0.32 810516
5 32 22.10 21.71 0.37 812632
5 32 22.33 21.99 0.33 812952
5 32 22.21 21.87 0.34 813628
5 32 22.58 22.29 0.27 812756
5 64 25.37 24.95 0.40 834852
5 64 26.17 25.79 0.37 825460
5 64 25.95 25.63 0.32 825444
6 32 27.61 27.25 0.35 851720
6 32 28.54 28.15 0.39 851268
6 32 27.78 27.40 0.38 851036
6 32 28.63 28.27 0.36 851080
6 32 27.88 27.48 0.39 851800
6 32 28.41 28.00 0.37 852728
6 32 28.39 28.01 0.37 851800
6 32 28.51 28.13 0.38 852120
6 32 28.44 28.05 0.36 851784
6 64 31.89 31.52 0.37 876848
6 64 32.51 32.09 0.41 876788
6 64 32.67 32.22 0.41 876604
6 64 33.32 32.95 0.37 876336
6 64 32.50 32.10 0.40 877104
6 64 32.58 32.18 0.39 877908
6 64 33.09 32.72 0.36 877720
6 64 32.82 32.45 0.37 877292
6 64 32.80 32.41 0.39 877552
6 64 33.03 32.61 0.42 877440
6 64 32.92 32.49 0.43 877684
6 64 32.90 32.40 0.47 875296
6 64 33.27 32.88 0.39 877528
6 64 32.74 32.36 0.37 877360
6 64 32.92 32.50 0.41 877588
7 32 34.61 34.23 0.36 906340
7 32 34.44 34.05 0.38 906444
7 32 37.21 36.35 0.80 908020
7 32 36.81 36.41 0.39 900932
7 32 37.06 36.56 0.49 913556
7 32 37.09 36.55 0.49 901144
7 32 36.62 36.11 0.47 905028
7 32 36.99 36.48 0.50 911212
7 32 36.61 36.17 0.43 911472
7 32 37.03 36.56 0.46 912408
7 32 36.50 36.04 0.45 903600
7 64 41.09 40.63 0.45 918944
7 64 40.68 40.31 0.37 912684
7 64 40.52 40.07 0.44 914796
7 64 41.12 40.60 0.52 916028
7 64 40.59 40.08 0.44 916680
7 64 40.33 39.91 0.41 917168
7 64 40.50 39.99 0.50 917864
8 32 46.23 45.80 0.43 963316
8 32 46.35 45.83 0.51 961820
8 32 46.77 46.21 0.55 972784
8 32 44.08 43.62 0.45 971380
8 32 44.23 43.74 0.47 979644
