bitwidth nlimbs real user sys mem
64 2 27.48 27.07 0.41 896816
64 3 58.07 57.35 0.72 1451024
64 3 55.91 55.25 0.64 1457320
64 3 55.96 55.29 0.66 1453872
64 3 56.13 55.48 0.64 1455468
64 3 55.58 55.03 0.54 1451480
64 3 55.80 55.05 0.67 1447844
64 3 55.76 55.11 0.63 1447432
64 3 55.90 55.26 0.61 1460340
64 3 55.90 55.25 0.57 1458032
64 3 56.10 55.47 0.62 1461028
64 3 55.70 55.06 0.62 1460492
64 3 55.93 55.36 0.57 1456052
64 3 55.83 55.18 0.64 1457240
64 3 56.21 55.56 0.63 1451212
64 3 55.84 55.25 0.58 1447672
64 3 55.91 55.22 0.66 1445592
64 3 56.39 55.75 0.57 1443648
64 3 55.48 54.80 0.67 1452360
32 4 118.58 117.41 1.16 2606908
64 4 130.57 129.26 1.30 2685760
64 4 129.08 127.45 1.45 2671900
64 4 127.14 125.83 1.30 2674024
64 4 127.20 125.91 1.29 2614068
64 4 126.69 125.36 1.17 2703424
64 4 124.22 122.98 1.23 2683380
64 4 115.43 114.36 1.06 2695872
64 4 114.81 113.69 1.09 2686616
64 4 121.88 120.77 1.10 2679268
64 4 120.87 119.74 1.02 2673072
64 4 114.45 113.39 1.05 2612700
64 4 121.59 120.43 1.15 2684008
64 4 121.68 120.46 1.21 2588344
64 4 121.35 120.18 1.16 2695772
64 4 121.94 120.79 1.13 2681100
64 4 116.39 115.34 1.04 2698848
64 4 121.62 120.38 1.07 2598268
64 4 115.32 114.12 1.19 2684280
64 4 121.96 120.80 1.15 2685492
64 4 122.02 120.79 1.21 2689628
64 4 113.45 112.35 1.10 2614048
64 4 121.95 120.73 1.19 2695288
64 4 121.99 120.68 1.22 2684160
64 4 121.90 120.76 1.12 2610148
32 5 260.68 257.88 2.47 5200336
32 5 259.66 257.61 2.03 5255416
32 5 259.52 257.20 2.29 5237516
32 5 260.19 258.07 2.08 5236364
32 5 247.44 244.79 2.32 5305704
32 5 259.60 257.48 2.10 5255712
32 5 258.84 256.59 2.23 5255480
32 5 261.34 259.22 2.11 5261600
32 5 265.84 262.95 2.54 5256120
64 5 263.18 260.56 2.36 5363924
64 5 270.26 268.18 2.07 5299416
64 5 274.21 271.94 2.25 5303980
32 6 583.88 579.50 4.33 10303252
32 6 588.64 584.32 4.30 10202864
32 6 587.46 583.30 4.13 10208996
32 6 538.71 534.54 4.16 10243340
32 6 589.66 585.31 4.33 10280868
32 6 582.81 578.64 4.14 10203848
32 6 585.98 580.61 4.61 10208428
32 6 535.26 531.04 4.20 10196648
32 6 589.15 583.91 4.57 10254580
64 6 580.22 575.33 4.87 10271968
64 6 594.63 589.66 4.92 10272780
64 6 585.49 580.73 4.73 10275164
64 6 584.33 579.89 4.43 10346452
64 6 641.17 636.23 4.92 10244840
64 6 639.39 634.60 4.78 10244164
64 6 640.26 635.22 5.02 10257512
64 6 640.23 635.34 4.86 10244600
64 6 641.16 636.09 5.06 10319648
64 6 639.83 633.72 4.96 10338072
64 6 598.99 593.95 5.03 10321116
64 6 635.45 630.41 5.02 10264400
64 6 638.56 633.75 4.78 10318744
64 6 637.34 632.43 4.89 10339984
64 6 639.24 634.36 4.87 10322528
32 7 1219.89 1212.62 7.21 19311808
32 7 1241.59 1233.41 7.78 19326576
32 7 1157.91 1150.01 7.86 19313044
32 7 1316.17 1304.74 9.60 19296248
32 7 1311.02 1301.95 8.98 19002384
32 7 1292.39 1283.98 8.33 19052752
32 7 1301.02 1292.78 8.19 19264932
32 7 1299.40 1290.63 8.67 19294252
32 7 1191.94 1183.17 8.69 19007756
32 7 1293.05 1282.19 9.14 18990852
32 7 1282.70 1274.65 8.00 19183064
64 7 1499.93 1463.22 10.51 19319152
64 7 1309.79 1301.46 8.31 19390552
64 7 1272.82 1264.47 8.34 19441176
64 7 1211.78 1203.79 7.95 19446056
64 7 1206.89 1197.35 8.39 19324436
64 7 1207.95 1200.11 7.65 19404856
64 7 1204.49 1196.19 8.29 19407872
32 8 2199.43 2186.38 13.00 34865884
32 8 2558.73 2544.38 14.27 34815948
32 8 2592.40 2578.62 13.63 34200996
32 8 2818.67 2764.26 15.23 34271632
32 8 2811.16 2773.73 14.97 33749332
32 8 2820.77 2763.50 15.54 34150476
32 8 2849.05 2812.58 16.02 34212816
32 8 2677.87 2654.77 15.80 34195092
32 8 2825.38 2785.77 17.41 34205884
32 8 2858.30 2811.81 17.42 33516236
32 8 2860.76 2816.74 15.96 34250948
32 8 2867.48 2815.75 15.74 34221124
32 8 2661.80 2623.60 15.45 34256168
64 8 2368.29 2355.71 12.55 33847560
64 8 2367.82 2355.20 12.60 34569064
64 8 2366.24 2353.60 12.61 34392332
64 8 2371.81 2358.37 13.42 33697936
64 8 2237.73 2180.98 13.96 35052252
64 8 2370.22 2357.26 12.94 33861684
64 8 2264.60 2251.78 12.81 33897028
64 8 2254.02 2242.32 11.68 34360480
64 8 2232.41 2220.39 11.97 34521992
64 8 2060.73 2042.05 12.56 34991552
64 8 2237.42 2224.79 12.61 34385332
64 8 1970.37 1956.81 11.79 34523628
