kind bitwidth op nlimbs prime real user sys mem
montgomery 64 fenz 2 2e127m1 10.99 10.69 0.29 718280
montgomery 64 fenz 3 2e129m25 12.71 12.41 0.28 725964
montgomery 64 fenz 3 2e130m5 12.76 12.42 0.33 725840
montgomery 64 fenz 3 2e137m13 12.71 12.40 0.30 725512
montgomery 64 fenz 3 2e140m27 12.67 12.35 0.31 725944
montgomery 64 fenz 3 2e141m9 12.68 12.41 0.26 725932
montgomery 64 fenz 3 2e150m3 12.72 12.35 0.36 725820
montgomery 64 fenz 3 2e150m5 12.77 12.52 0.24 726244
montgomery 64 fenz 3 2e152m17 12.63 12.33 0.30 726452
montgomery 64 fenz 3 2e158m15 12.70 12.47 0.23 725944
montgomery 64 fenz 3 2e165m25 12.71 12.45 0.26 726024
montgomery 64 fenz 3 2e166m5 12.63 12.39 0.24 725812
montgomery 64 fenz 3 2e171m19 12.81 12.51 0.27 726312
montgomery 64 fenz 3 2e174m17 12.78 12.51 0.26 725860
montgomery 64 fenz 3 2e174m3 12.68 12.37 0.30 726352
montgomery 64 fenz 3 2e189m25 12.75 12.48 0.26 726208
montgomery 64 fenz 3 2e190m11 12.66 12.40 0.26 725992
montgomery 64 fenz 3 2e191m19 12.66 12.37 0.28 725752
montgomery 64 fenz 3 2e192m2e64m1 12.73 12.43 0.29 726092
montgomery 32 fenz 4 2e127m1 11.70 11.40 0.28 722408
montgomery 64 fenz 4 2e194m33 14.84 14.51 0.32 732244
montgomery 64 fenz 4 2e196m15 14.85 14.56 0.28 732004
montgomery 64 fenz 4 2e198m17 14.79 14.49 0.30 732052
montgomery 64 fenz 4 2e205m45x2e198m1 14.74 14.48 0.25 731876
montgomery 64 fenz 4 2e206m5 14.84 14.52 0.31 732076
montgomery 64 fenz 4 2e212m29 14.77 14.43 0.33 732072
montgomery 64 fenz 4 2e213m3 14.76 14.50 0.25 731644
montgomery 64 fenz 4 2e216m2e108m1 14.79 14.53 0.25 732488
montgomery 64 fenz 4 2e221m3 14.81 14.52 0.28 731972
montgomery 64 fenz 4 2e222m117 14.80 14.50 0.28 732552
montgomery 64 fenz 4 2e224m2e96p1 14.84 14.57 0.26 732208
montgomery 64 fenz 4 2e226m5 14.80 14.47 0.32 732172
montgomery 64 fenz 4 2e230m27 14.83 14.57 0.26 731860
montgomery 64 fenz 4 2e235m15 14.78 14.50 0.28 731736
montgomery 64 fenz 4 2e243m9 14.86 14.55 0.28 732196
montgomery 64 fenz 4 2e251m9 14.84 14.55 0.28 731952
montgomery 64 fenz 4 2e254m127x2e240m1 14.74 14.49 0.25 732104
montgomery 64 fenz 4 2e255m19 14.79 14.44 0.33 731632
montgomery 64 fenz 4 2e255m765 14.87 14.53 0.32 732256
montgomery 64 fenz 4 2e256m189 14.84 14.58 0.24 731780
montgomery 64 fenz 4 2e256m2e224p2e192p2e96m1 14.74 14.45 0.28 732072
montgomery 64 fenz 4 2e256m2e32m977 14.83 14.51 0.31 731984
montgomery 64 fenz 4 2e256m4294968273 14.82 14.53 0.28 731848
montgomery 64 fenz 4 2e256m88x2e240m1 14.83 14.58 0.24 732036
montgomery 32 fenz 5 2e129m25 12.97 12.68 0.28 728552
montgomery 32 fenz 5 2e130m5 12.96 12.71 0.24 728056
montgomery 32 fenz 5 2e137m13 13.01 12.71 0.28 727832
montgomery 32 fenz 5 2e140m27 13.08 12.81 0.26 727680
montgomery 32 fenz 5 2e141m9 13.18 12.89 0.27 728028
montgomery 32 fenz 5 2e150m3 13.05 12.75 0.29 727512
montgomery 32 fenz 5 2e150m5 13.14 12.80 0.32 728564
montgomery 32 fenz 5 2e152m17 12.99 12.72 0.26 728920
montgomery 32 fenz 5 2e158m15 13.14 12.83 0.30 727568
montgomery 64 fenz 5 2e266m3 17.27 16.98 0.28 741964
montgomery 64 fenz 5 2e285m9 17.33 16.99 0.33 741784
montgomery 64 fenz 5 2e291m19 17.42 17.09 0.30 742120
montgomery 32 fenz 6 2e165m25 14.56 14.25 0.30 734468
montgomery 32 fenz 6 2e166m5 14.54 14.21 0.32 734936
montgomery 32 fenz 6 2e171m19 14.67 14.41 0.25 734996
montgomery 32 fenz 6 2e174m17 14.56 14.32 0.23 734672
montgomery 32 fenz 6 2e174m3 14.73 14.40 0.32 734880
montgomery 32 fenz 6 2e189m25 14.63 14.34 0.28 734720
montgomery 32 fenz 6 2e190m11 14.69 14.39 0.30 734472
montgomery 32 fenz 6 2e191m19 14.55 14.27 0.28 734640
montgomery 32 fenz 6 2e192m2e64m1 14.61 14.32 0.27 734416
montgomery 64 fenz 6 2e321m9 20.09 19.75 0.30 754024
montgomery 64 fenz 6 2e322m2e161m1 20.28 19.98 0.29 753928
montgomery 64 fenz 6 2e336m17 20.24 19.99 0.25 756208
montgomery 64 fenz 6 2e336m3 20.08 19.78 0.29 754228
montgomery 64 fenz 6 2e338m15 20.15 19.84 0.30 754372
montgomery 64 fenz 6 2e369m25 20.11 19.78 0.32 754152
montgomery 64 fenz 6 2e379m19 20.06 19.70 0.35 754268
montgomery 64 fenz 6 2e382m105 20.09 19.77 0.31 756456
montgomery 64 fenz 6 2e383m187 20.27 19.97 0.28 753744
montgomery 64 fenz 6 2e383m31 20.08 19.79 0.27 756264
montgomery 64 fenz 6 2e383m421 20.00 19.68 0.31 753896
montgomery 64 fenz 6 2e384m2e128m2e96p2e32m1 20.11 19.79 0.32 754612
montgomery 64 fenz 6 2e384m317 20.05 19.76 0.28 754072
montgomery 64 fenz 6 2e384m5x2e368m1 20.13 19.83 0.29 753916
montgomery 64 fenz 6 2e384m79x2e376m1 20.21 19.88 0.32 756740
montgomery 32 fenz 7 2e194m33 16.47 16.15 0.31 743680
montgomery 32 fenz 7 2e196m15 16.56 16.09 0.32 743380
montgomery 32 fenz 7 2e198m17 16.40 16.11 0.28 743100
montgomery 32 fenz 7 2e205m45x2e198m1 16.50 16.24 0.24 743688
