bitwidth nlimbs real user sys mem
64 2 11.35 11.00 0.34 729116
64 3 13.09 12.73 0.34 740148
64 3 13.14 12.80 0.33 740820
64 3 13.14 12.81 0.31 740624
64 3 13.09 12.77 0.32 740176
64 3 13.07 12.76 0.29 740008
64 3 13.26 12.87 0.39 740120
64 3 13.38 13.04 0.33 740748
64 3 13.35 13.01 0.33 740564
64 3 13.39 13.08 0.30 740720
64 3 13.33 13.07 0.25 741364
64 3 13.13 12.74 0.38 741204
64 3 13.13 12.81 0.31 741540
64 3 13.10 12.81 0.28 741020
64 3 13.25 12.96 0.29 741428
64 3 13.37 13.08 0.28 738476
64 3 13.14 12.82 0.32 738192
64 3 13.39 13.06 0.32 739156
64 3 13.11 12.84 0.25 738384
32 4 13.93 13.59 0.34 742560
64 4 15.19 14.89 0.29 758272
64 4 15.39 15.03 0.33 758280
64 4 15.42 15.12 0.28 758980
64 4 15.39 15.04 0.32 758584
64 4 15.30 15.04 0.26 758196
64 4 15.11 14.81 0.29 759328
64 4 15.08 14.80 0.28 758484
64 4 15.17 14.86 0.30 758216
64 4 15.42 15.07 0.34 757352
64 4 15.30 14.98 0.31 758376
64 4 15.20 14.89 0.29 754260
64 4 15.43 15.12 0.31 758656
64 4 15.37 15.08 0.28 757764
64 4 15.09 14.80 0.28 757728
64 4 15.12 14.85 0.27 756292
64 4 15.22 14.88 0.31 756432
64 4 15.22 14.88 0.33 755540
64 4 15.42 15.10 0.32 755984
64 4 15.18 14.89 0.27 755640
64 4 15.15 14.82 0.32 756032
64 4 15.01 14.67 0.33 757152
64 4 15.32 15.00 0.32 755908
64 4 15.41 15.08 0.32 755968
64 4 15.42 15.11 0.30 756196
32 5 15.91 15.56 0.35 760204
32 5 15.98 15.68 0.30 760456
32 5 15.96 15.66 0.30 762300
32 5 15.98 15.65 0.32 762096
32 5 15.70 15.41 0.26 760604
32 5 15.68 15.36 0.31 760524
32 5 15.65 15.32 0.32 760292
32 5 15.73 15.45 0.27 760204
32 5 16.01 15.71 0.29 758984
64 5 17.77 17.46 0.31 773700
64 5 17.83 17.46 0.36 774424
64 5 17.72 17.36 0.36 773540
32 6 18.32 17.97 0.33 781532
32 6 18.24 17.91 0.33 783116
32 6 18.60 18.26 0.34 787844
32 6 18.60 18.31 0.29 788472
32 6 18.73 18.37 0.35 787636
32 6 18.31 18.03 0.27 775604
32 6 18.47 18.15 0.30 775560
32 6 18.21 17.87 0.33 776044
32 6 18.35 18.02 0.32 775468
64 6 20.61 20.29 0.31 799208
64 6 20.63 20.28 0.34 799524
64 6 20.96 20.61 0.35 799624
64 6 20.88 20.63 0.24 799360
64 6 20.63 20.30 0.32 799416
64 6 20.70 20.40 0.29 799972
64 6 20.71 20.38 0.31 797388
64 6 20.92 20.58 0.33 799364
64 6 20.92 20.60 0.32 799132
64 6 20.59 20.27 0.31 799340
64 6 20.66 20.34 0.31 798504
64 6 20.52 20.24 0.28 799044
64 6 20.92 20.57 0.34 798732
64 6 20.59 20.31 0.27 801444
64 6 20.92 20.61 0.30 799324
32 7 21.51 21.18 0.32 808436
32 7 22.36 21.16 0.36 807128
32 7 21.27 20.90 0.33 806412
32 7 21.58 21.24 0.34 806268
32 7 21.51 21.12 0.38 806160
32 7 21.32 20.99 0.32 805536
32 7 21.73 21.36 0.37 806904
32 7 21.78 21.45 0.32 805536
32 7 21.24 20.97 0.27 806900
32 7 21.22 20.92 0.27 807672
32 7 21.01 20.72 0.29 804208
64 7 24.37 24.04 0.32 827636
64 7 24.40 24.06 0.33 828876
64 7 24.14 23.79 0.35 827296
64 7 24.51 24.16 0.34 826604
64 7 24.35 23.96 0.35 826840
64 7 24.44 24.06 0.37 824468
64 7 24.10 23.73 0.36 825056
