kind bitwidth op nlimbs prime real user sys mem
montgomery 64 fesub 2 2e127m1 13.92 13.55 0.36 741576
montgomery 64 fesub 3 2e129m25 16.93 16.60 0.32 759656
montgomery 64 fesub 3 2e130m5 16.27 15.89 0.37 760744
montgomery 64 fesub 3 2e137m13 16.41 16.08 0.32 759404
montgomery 64 fesub 3 2e140m27 16.09 15.77 0.31 759364
montgomery 64 fesub 3 2e141m9 16.34 16.01 0.32 759612
montgomery 64 fesub 3 2e150m3 16.36 16.08 0.27 758764
montgomery 64 fesub 3 2e150m5 16.39 16.15 0.23 758536
montgomery 64 fesub 3 2e152m17 16.41 16.10 0.30 759044
montgomery 64 fesub 3 2e158m15 16.34 16.01 0.33 757188
montgomery 64 fesub 3 2e165m25 16.42 16.12 0.29 757720
montgomery 64 fesub 3 2e166m5 16.44 16.14 0.29 757952
montgomery 64 fesub 3 2e171m19 16.42 16.14 0.28 757896
montgomery 64 fesub 3 2e174m17 16.43 16.09 0.31 761000
montgomery 64 fesub 3 2e174m3 16.44 16.12 0.31 757956
montgomery 64 fesub 3 2e189m25 16.39 16.08 0.30 761572
montgomery 64 fesub 3 2e190m11 16.46 16.13 0.33 761608
montgomery 64 fesub 3 2e191m19 16.41 16.14 0.26 761668
montgomery 64 fesub 3 2e192m2e64m1 16.41 16.10 0.31 761488
montgomery 32 fesub 4 2e127m1 19.85 19.51 0.33 775020
montgomery 64 fesub 4 2e194m33 22.49 22.15 0.34 795832
montgomery 64 fesub 4 2e196m15 22.49 22.20 0.28 796056
montgomery 64 fesub 4 2e198m17 22.40 22.04 0.33 795820
montgomery 64 fesub 4 2e205m45x2e198m1 22.35 22.03 0.29 796404
montgomery 64 fesub 4 2e206m5 22.48 22.10 0.35 796340
montgomery 64 fesub 4 2e212m29 22.45 22.12 0.32 796388
montgomery 64 fesub 4 2e213m3 22.47 22.16 0.30 796136
montgomery 64 fesub 4 2e216m2e108m1 22.38 22.02 0.36 796460
montgomery 64 fesub 4 2e221m3 22.35 22.02 0.33 796296
montgomery 64 fesub 4 2e222m117 22.37 22.06 0.30 796284
montgomery 64 fesub 4 2e224m2e96p1 22.47 22.12 0.34 795104
montgomery 64 fesub 4 2e226m5 22.51 22.20 0.30 795560
montgomery 64 fesub 4 2e230m27 22.38 22.04 0.33 795644
montgomery 64 fesub 4 2e235m15 22.34 21.99 0.32 795976
montgomery 64 fesub 4 2e243m9 22.32 21.91 0.40 796144
montgomery 64 fesub 4 2e251m9 22.57 22.19 0.35 796128
montgomery 64 fesub 4 2e254m127x2e240m1 22.64 22.33 0.30 796404
montgomery 64 fesub 4 2e255m19 22.44 22.13 0.30 796088
montgomery 64 fesub 4 2e255m765 22.42 22.10 0.31 796068
montgomery 64 fesub 4 2e256m189 22.43 22.09 0.33 795780
montgomery 64 fesub 4 2e256m2e224p2e192p2e96m1 22.25 21.95 0.29 796688
montgomery 64 fesub 4 2e256m2e32m977 22.53 22.05 0.45 795836
montgomery 64 fesub 4 2e256m4294968273 22.41 22.11 0.30 795848
montgomery 64 fesub 4 2e256m88x2e240m1 22.51 22.20 0.30 795768
montgomery 32 fesub 5 2e129m25 51.85 51.49 0.35 811116
montgomery 32 fesub 5 2e130m5 51.83 51.45 0.37 800044
montgomery 32 fesub 5 2e137m13 51.88 51.60 0.27 810888
montgomery 32 fesub 5 2e140m27 51.58 51.27 0.30 810816
montgomery 32 fesub 5 2e141m9 52.01 51.69 0.29 810964
montgomery 32 fesub 5 2e150m3 52.05 51.73 0.30 811268
montgomery 32 fesub 5 2e150m5 52.09 51.75 0.34 811264
montgomery 32 fesub 5 2e152m17 51.56 51.23 0.32 811616
montgomery 32 fesub 5 2e158m15 51.92 51.60 0.32 811548
montgomery 64 fesub 5 2e266m3 56.05 55.68 0.36 825880
montgomery 64 fesub 5 2e285m9 56.49 56.19 0.29 825360
montgomery 64 fesub 5 2e291m19 55.79 55.41 0.37 821500
montgomery 32 fesub 6 2e165m25 436.42 436.08 0.33 939056
montgomery 32 fesub 6 2e166m5 438.62 438.21 0.39 947316
montgomery 32 fesub 6 2e171m19 438.59 438.11 0.47 944464
montgomery 32 fesub 6 2e174m17 443.04 441.65 0.86 939004
montgomery 32 fesub 6 2e174m3 436.34 435.98 0.33 941396
montgomery 32 fesub 6 2e189m25 436.99 436.45 0.53 940332
montgomery 32 fesub 6 2e190m11 437.06 436.66 0.37 941396
montgomery 32 fesub 6 2e191m19 440.04 439.61 0.40 939776
montgomery 32 fesub 6 2e192m2e64m1 437.89 437.44 0.41 938680
montgomery 64 fesub 6 2e321m9 467.06 466.54 0.49 982220
montgomery 64 fesub 6 2e322m2e161m1 465.11 463.71 0.80 970052
montgomery 64 fesub 6 2e336m17 463.85 463.30 0.52 970340
montgomery 64 fesub 6 2e336m3 454.04 453.58 0.45 983684
montgomery 64 fesub 6 2e338m15 463.54 462.94 0.56 981836
montgomery 64 fesub 6 2e369m25 465.35 464.71 0.55 983284
montgomery 64 fesub 6 2e379m19 455.41 454.05 0.81 969952
montgomery 64 fesub 6 2e382m105 467.42 466.32 0.74 947876
montgomery 64 fesub 6 2e383m187 462.43 461.90 0.46 970036
montgomery 64 fesub 6 2e383m31 452.88 452.39 0.46 948332
montgomery 64 fesub 6 2e383m421 443.42 442.84 0.53 948176
montgomery 64 fesub 6 2e384m2e128m2e96p2e32m1 448.27 447.84 0.43 980104
montgomery 64 fesub 6 2e384m317 446.31 445.89 0.40 981596
montgomery 64 fesub 6 2e384m5x2e368m1 446.22 445.76 0.46 948620
montgomery 64 fesub 6 2e384m79x2e376m1 449.13 447.76 0.81 948784
montgomery 32 fesub 7 2e194m33 5499.52 5498.81 0.47 987548
montgomery 32 fesub 7 2e196m15 5577.60 5577.07 0.47 987568
montgomery 32 fesub 7 2e198m17 5546.81 5545.94 0.76 990928
montgomery 32 fesub 7 2e205m45x2e198m1 5573.40 5572.72 0.53 969708
montgomery 32 fesub 7 2e206m5 5566.44 5560.80 3.00 959604
montgomery 32 fesub 7 2e212m29 5548.59 5547.83 0.64 966336
montgomery 32 fesub 7 2e213m3 5571.16 5570.58 0.48 959580
montgomery 32 fesub 7 2e216m2e108m1 5599.75 5597.27 1.49 956512
montgomery 32 fesub 7 2e221m3 5568.19 5566.84 1.08 966528
montgomery 32 fesub 7 2e222m117 5551.29 5539.61 4.93 988540
montgomery 32 fesub 7 2e224m2e96p1 5493.27 5492.45 0.59 955656
montgomery 64 fesub 7 2e389m21 5771.18 5769.82 1.10 966656
montgomery 64 fesub 7 2e401m31 5788.60 5777.04 5.07 970784
montgomery 64 fesub 7 2e413m21 5815.54 5815.01 0.43 988232
montgomery 64 fesub 7 2e414m17 5781.32 5780.09 1.14 988508
montgomery 64 fesub 7 2e416m2e208m1 5796.16 5795.42 0.61 991664
montgomery 64 fesub 7 2e444m17 5813.33 5801.09 5.05 956328
montgomery 64 fesub 7 2e448m2e224m1 5806.30 5805.73 0.52 966500
montgomery 32 fesub 8 2e226m5 78725.19 77582.56 34.78 1013136
montgomery 32 fesub 8 2e230m27 78496.55 77434.39 24.06 1012836
montgomery 32 fesub 8 2e235m15 77246.66 76059.31 32.92 1018228
montgomery 32 fesub 8 2e243m9 77971.75 76903.93 23.20 1005272
montgomery 32 fesub 8 2e251m9 77715.43 77141.99 28.35 1012880
montgomery 32 fesub 8 2e254m127x2e240m1 74410.98 73452.52 23.73 1017984
montgomery 32 fesub 8 2e255m19 74766.85 73939.96 18.44 1012216
montgomery 32 fesub 8 2e255m765 71454.25 70866.74 7.69 1012360
montgomery 32 fesub 8 2e256m189 70056.40 69989.83 25.88 1012448
montgomery 32 fesub 8 2e256m2e224p2e192p2e96m1 70780.51 70746.81 13.97 1013208
