nlimbs bitwidth real user sys mem
3 64 10.43 10.17 0.25 721408
3 64 10.30 10.00 0.29 721196
3 64 10.55 10.22 0.32 721636
3 64 10.54 10.24 0.28 722664
3 64 10.48 10.18 0.29 723192
3 64 10.50 10.20 0.29 722268
3 64 10.46 10.17 0.29 721084
3 64 10.47 10.20 0.26 721600
3 64 10.24 9.94 0.29 721436
3 64 10.53 10.21 0.31 723448
3 64 10.43 10.13 0.27 724732
3 64 10.25 9.95 0.29 723568
3 64 10.56 10.26 0.29 724424
3 64 10.57 10.28 0.29 724068
3 64 10.54 10.28 0.26 724080
4 64 11.31 11.00 0.30 728424
4 64 11.37 11.04 0.33 728196
4 64 11.18 10.92 0.25 728772
4 64 10.93 10.60 0.32 729036
4 64 11.20 10.93 0.26 729316
4 64 11.30 11.00 0.29 729364
4 64 11.27 10.97 0.28 729488
4 64 11.01 10.71 0.28 729888
4 64 11.33 11.01 0.30 728808
4 64 11.31 11.03 0.27 728788
4 64 11.33 11.03 0.28 728928
4 64 11.08 10.78 0.27 729416
4 64 11.04 10.77 0.25 730608
4 64 11.34 11.05 0.27 730968
4 64 11.37 11.04 0.32 729508
4 64 11.37 11.11 0.24 729420
4 64 11.47 11.18 0.28 729520
4 64 11.47 11.16 0.28 730164
4 64 11.51 11.26 0.24 729820
4 64 11.42 11.11 0.31 730920
4 64 11.46 11.11 0.34 730380
4 64 11.19 10.92 0.26 730172
4 64 11.22 10.99 0.23 729776
4 64 11.47 11.15 0.31 729804
4 64 11.26 10.95 0.30 728764
4 64 11.55 11.27 0.28 728140
4 64 11.54 11.25 0.29 728236
4 64 11.58 11.26 0.31 729288
4 64 11.63 11.31 0.29 729252
4 64 11.52 11.21 0.30 729300
5 32 12.29 11.97 0.30 736732
5 32 12.05 11.76 0.28 735692
5 32 11.76 11.45 0.30 735736
5 32 12.03 11.73 0.29 736044
5 64 12.40 12.14 0.25 737412
5 64 12.40 12.11 0.29 737756
5 64 12.37 12.10 0.26 738372
5 64 12.08 11.80 0.27 737360
5 64 12.41 12.10 0.31 736632
5 64 12.52 12.21 0.29 738512
5 64 12.49 12.19 0.29 738352
5 64 12.22 11.94 0.25 737804
5 64 12.52 12.26 0.25 737416
5 64 12.48 12.16 0.31 736700
5 64 12.57 12.19 0.37 737108
5 64 12.48 12.18 0.29 737588
5 64 12.51 12.14 0.35 738176
5 64 12.55 12.31 0.23 737808
5 64 12.18 11.88 0.30 737708
5 64 12.57 12.28 0.28 739416
5 64 12.51 12.21 0.29 737300
5 64 12.52 12.18 0.33 736804
5 64 12.31 12.05 0.26 737552
5 64 12.65 12.34 0.30 737144
5 64 12.64 12.35 0.28 736448
5 64 12.38 12.10 0.28 737740
5 64 12.66 12.30 0.34 738348
5 64 12.84 12.50 0.33 737948
5 64 12.83 12.52 0.29 738172
5 64 12.79 12.44 0.34 738284
6 32 13.26 12.95 0.30 746588
6 32 13.17 12.83 0.33 746072
6 32 13.17 12.86 0.30 746228
6 32 13.13 12.80 0.31 744196
6 32 13.13 12.80 0.32 742276
6 32 12.93 12.63 0.30 742312
6 32 13.02 12.75 0.27 745028
6 32 13.42 13.07 0.34 744220
6 32 13.41 13.09 0.32 744784
6 32 13.42 13.15 0.26 744696
6 32 13.46 13.18 0.27 742544
6 64 13.80 13.53 0.26 743880
6 64 13.79 13.48 0.30 744556
6 64 13.85 13.52 0.31 745016
6 64 13.50 13.18 0.31 745584
6 64 13.85 13.56 0.29 745740
6 64 13.57 13.27 0.29 746912
6 64 13.89 13.63 0.25 747936
6 64 13.90 13.62 0.27 747460
6 64 13.84 13.54 0.29 747540
6 64 13.98 13.68 0.30 747808
6 64 14.04 13.74 0.27 749596
6 64 14.07 13.73 0.33 749968
6 64 14.17 13.86 0.30 752508
6 64 14.09 13.77 0.31 754488
