bitwidth nlimbs real user sys mem
64 3 10.62 10.33 0.28 721868
64 3 10.57 10.25 0.31 721680
64 3 10.40 10.09 0.29 721236
64 3 10.14 9.88 0.25 722964
64 3 10.42 10.12 0.30 723496
64 3 10.45 10.11 0.32 722860
64 3 10.19 9.90 0.28 721468
64 3 10.44 10.11 0.32 721200
64 3 10.47 10.16 0.29 721692
64 3 10.46 10.18 0.27 723220
64 3 10.47 10.17 0.29 724540
64 3 10.50 10.17 0.31 723860
64 3 10.49 10.19 0.29 724444
64 3 10.52 10.19 0.33 724476
64 3 10.50 10.20 0.30 723692
64 4 11.20 10.92 0.28 728836
64 4 11.25 10.91 0.33 728168
64 4 11.23 10.95 0.27 728416
64 4 11.24 10.95 0.28 729128
64 4 11.20 10.90 0.29 728768
64 4 11.25 10.96 0.28 729548
64 4 11.26 10.95 0.30 729096
64 4 11.27 10.93 0.32 729160
64 4 11.26 10.95 0.30 728872
64 4 11.27 10.98 0.28 729392
64 4 11.26 10.97 0.28 729120
64 4 11.32 10.96 0.35 729116
64 4 11.28 11.01 0.26 730388
64 4 11.31 10.99 0.31 730252
64 4 11.34 11.01 0.33 729888
64 4 11.39 11.09 0.29 729824
64 4 11.40 11.06 0.33 729748
64 4 11.39 11.11 0.27 729992
64 4 11.53 11.21 0.29 730752
64 4 11.41 11.13 0.26 731696
64 4 11.46 11.09 0.35 730484
64 4 11.54 11.24 0.29 731764
64 4 11.46 11.18 0.26 730008
64 4 11.47 11.19 0.27 730048
64 4 11.51 11.24 0.26 728996
64 4 11.55 11.24 0.29 728248
64 4 11.56 11.24 0.31 727688
64 4 11.51 11.22 0.28 729340
64 4 11.52 11.29 0.23 728616
64 4 11.53 11.21 0.31 729768
32 5 12.48 12.12 0.35 736056
32 5 12.09 11.75 0.32 737148
32 5 12.12 11.80 0.31 735672
32 5 12.07 11.74 0.33 736460
64 5 12.32 12.01 0.29 738104
64 5 12.39 12.07 0.32 737512
64 5 12.34 11.99 0.34 737732
64 5 12.39 12.13 0.25 738096
64 5 12.42 12.08 0.31 737976
64 5 12.40 12.08 0.31 737020
64 5 12.37 12.11 0.26 738532
64 5 12.42 12.09 0.32 738192
64 5 12.50 12.18 0.32 737192
64 5 12.48 12.19 0.29 737248
64 5 12.52 12.17 0.33 737392
64 5 12.46 12.08 0.37 737520
64 5 12.45 12.15 0.30 738360
64 5 12.50 12.22 0.27 737972
64 5 12.51 12.18 0.32 738536
64 5 12.51 12.20 0.30 739564
64 5 12.58 12.32 0.23 737532
64 5 12.56 12.28 0.27 738072
64 5 12.64 12.31 0.32 738360
64 5 12.61 12.33 0.28 738256
64 5 12.66 12.37 0.28 738520
64 5 12.58 12.30 0.27 736028
64 5 12.65 12.34 0.30 736600
64 5 12.41 12.11 0.28 738040
64 5 12.80 12.56 0.23 739012
64 5 12.79 12.48 0.29 738708
32 6 13.68 13.34 0.34 745184
32 6 13.17 12.84 0.32 746532
32 6 13.16 12.85 0.31 746632
32 6 13.15 12.88 0.26 742984
32 6 13.24 12.96 0.28 743268
32 6 13.16 12.88 0.28 742028
32 6 13.28 13.00 0.28 743776
32 6 13.38 13.06 0.30 744264
32 6 13.30 13.00 0.29 742436
32 6 13.38 13.03 0.34 744428
32 6 13.36 13.10 0.25 742516
64 6 13.80 13.52 0.28 747492
64 6 13.77 13.43 0.33 744608
64 6 13.80 13.48 0.32 744788
64 6 13.80 13.46 0.32 745160
64 6 13.73 13.45 0.28 744940
64 6 13.74 13.39 0.32 746644
64 6 13.93 13.63 0.29 746916
64 6 14.05 13.70 0.35 746532
64 6 13.88 13.53 0.32 748376
64 6 13.98 13.71 0.27 745304
64 6 13.93 13.62 0.31 749556
64 6 14.09 13.84 0.24 752308
64 6 14.10 13.79 0.30 752000
64 6 14.26 13.95 0.24 752800
64 6 13.75 13.42 0.32 753608
64 6 14.07 13.78 0.28 753160
32 7 14.62 14.23 0.35 757328
32 7 14.62 14.19 0.41 757728
32 7 14.23 13.97 0.26 758968
32 7 14.68 14.36 0.31 758556
32 7 14.71 14.39 0.31 756060
32 7 14.65 14.35 0.30 756556
32 7 14.27 13.97 0.28 757484
32 7 14.67 14.38 0.29 757696
32 7 14.52 14.23 0.29 758292
32 7 14.77 14.46 0.30 758752
32 7 14.33 14.08 0.25 759392
32 7 14.77 14.47 0.29 756148
32 7 14.38 14.11 0.27 756876
64 7 15.33 14.98 0.32 757928
64 7 15.13 14.85 0.25 759312
64 7 15.53 15.25 0.27 760116
64 7 15.10 14.77 0.29 762252
64 7 15.19 14.90 0.29 764028
64 7 15.20 14.89 0.30 762128
64 7 15.70 15.42 0.27 762556
64 7 15.41 15.08 0.32 760028
64 7 15.76 15.39 0.37 760264
64 7 15.84 15.55 0.29 760952
64 7 15.59 15.24 0.35 760800
64 7 15.78 15.48 0.29 761036
64 7 15.73 15.42 0.30 760812
64 7 15.30 15.03 0.26 761960
64 7 15.80 15.47 0.30 764580
64 7 15.46 15.19 0.25 758496
32 8 16.30 15.97 0.32 766828
32 8 16.25 15.88 0.36 767584
32 8 15.87 15.56 0.30 768808
32 8 16.34 15.99 0.33 769012
32 8 16.34 16.08 0.26 769152
32 8 16.36 16.04 0.32 771636
32 8 16.41 16.10 0.31 770980
32 8 16.48 16.19 0.25 767432
32 8 16.40 16.07 0.33 765404
32 8 16.44 16.12 0.31 767084
32 8 16.50 16.23 0.26 767016
32 8 16.00 15.71 0.28 766404
32 8 16.49 16.16 0.32 769396
32 8 16.01 15.66 0.34 770868
