nlimbs bitwidth real user sys mem
3 64 12.07 11.70 0.35 738092
3 64 11.83 11.53 0.29 738140
3 64 12.08 11.78 0.30 738016
3 64 12.00 11.68 0.31 737996
3 64 11.97 11.68 0.28 738240
3 64 11.99 11.67 0.32 738656
3 64 12.07 11.76 0.30 737536
3 64 12.04 11.76 0.28 737932
3 64 11.90 11.61 0.28 738900
3 64 11.84 11.52 0.28 737616
3 64 12.04 11.70 0.34 737392
3 64 12.11 11.81 0.27 737432
3 64 12.12 11.80 0.30 738700
3 64 12.13 11.80 0.31 737824
3 64 12.11 11.78 0.32 738252
4 64 13.39 13.00 0.37 752040
4 64 13.30 12.97 0.32 752612
4 64 12.87 12.55 0.29 751764
4 64 13.26 12.98 0.27 753796
4 64 13.32 13.00 0.31 754768
4 64 13.31 13.01 0.30 753532
4 64 13.39 13.04 0.33 752124
4 64 13.37 13.04 0.31 752928
4 64 13.37 13.08 0.28 753488
4 64 13.37 13.03 0.33 755232
4 64 13.44 13.15 0.27 755172
4 64 13.04 12.76 0.28 755368
4 64 13.44 13.14 0.30 756648
4 64 13.41 13.10 0.30 756584
4 64 13.48 13.16 0.31 756532
4 64 13.49 13.22 0.26 756368
4 64 13.44 13.11 0.33 756124
4 64 17.16 16.80 0.35 788816
4 64 13.46 13.10 0.35 759040
4 64 13.44 13.09 0.32 759144
4 64 13.58 13.29 0.27 758612
4 64 13.61 13.26 0.32 759332
4 64 13.61 13.24 0.35 758940
4 64 13.51 13.16 0.35 756764
4 64 17.13 16.83 0.30 789996
4 64 13.65 13.29 0.33 755336
4 64 13.52 13.22 0.29 754720
4 64 13.58 13.25 0.32 754480
4 64 13.53 13.25 0.27 756268
4 64 13.57 13.28 0.29 756704
5 32 14.75 14.44 0.30 766596
5 32 14.59 14.22 0.37 767756
5 32 14.43 14.14 0.28 768348
5 32 14.65 14.31 0.33 770876
5 64 14.98 14.63 0.33 772212
5 64 14.87 14.56 0.31 772000
5 64 14.92 14.59 0.31 772116
5 64 19.24 18.87 0.36 814312
5 64 14.93 14.60 0.32 772424
5 64 14.50 14.20 0.29 771660
5 64 14.88 14.53 0.34 772204
5 64 14.91 14.60 0.30 775072
5 64 14.94 14.62 0.31 771300
5 64 14.62 14.25 0.35 771176
5 64 19.39 19.01 0.35 816980
5 64 15.10 14.80 0.29 774400
5 64 15.29 14.98 0.30 776304
5 64 15.17 14.83 0.32 772088
5 64 14.71 14.43 0.27 772180
5 64 14.67 14.28 0.38 772460
5 64 15.32 15.03 0.28 773668
5 64 15.47 15.15 0.31 774232
5 64 15.49 15.15 0.33 775844
5 64 15.44 15.08 0.35 778588
5 64 15.59 15.27 0.32 773272
5 64 15.58 15.28 0.29 774104
5 64 15.29 14.93 0.36 774160
5 64 15.36 15.01 0.32 772136
6 32 16.60 16.30 0.29 794500
6 32 16.71 16.38 0.32 794560
6 32 16.66 16.33 0.32 795500
6 32 16.53 16.22 0.30 794688
6 32 16.58 16.21 0.37 793724
6 32 16.66 16.29 0.37 794220
6 32 16.53 16.20 0.32 790904
6 32 16.75 16.39 0.35 791636
6 32 16.57 16.26 0.31 792412
6 32 16.34 16.01 0.32 793376
6 32 16.35 16.00 0.33 793128
6 64 17.21 16.85 0.35 792120
6 64 17.01 16.67 0.33 797608
6 64 17.23 16.91 0.31 795424
6 64 16.92 16.56 0.33 798644
6 64 16.73 16.41 0.32 796956
6 64 21.03 20.59 0.42 839004
6 64 16.91 16.60 0.29 799116
6 64 17.34 16.99 0.34 797800
6 64 16.92 16.57 0.35 798132
6 64 17.50 17.11 0.37 795280
6 64 21.85 21.50 0.34 847088
6 64 17.61 17.25 0.35 797216
6 64 17.66 17.32 0.31 796312
6 64 17.61 17.25 0.35 798852
7 32 18.22 17.86 0.36 809664
7 32 18.19 17.82 0.36 809900
7 32 18.18 17.84 0.33 812140
7 32 18.67 18.29 0.37 812920
7 32 18.23 17.88 0.34 811516
7 32 18.76 18.39 0.35 814388
7 32 18.42 18.03 0.37 813552
7 32 18.74 18.39 0.34 810404
7 32 18.91 18.52 0.38 812808
7 32 18.90 18.59 0.30 814596
7 32 18.49 18.17 0.32 812952
7 32 18.93 18.55 0.37 815904
7 32 18.98 18.58 0.39 815552
7 64 22.65 22.26 0.37 862100
7 64 19.58 19.22 0.35 815192
7 64 24.30 23.83 0.45 888304
7 64 19.10 18.75 0.34 816420
7 64 19.54 19.21 0.32 816072
7 64 19.55 19.19 0.35 816888
7 64 19.67 19.28 0.37 814860
7 64 19.89 19.53 0.36 814700
7 64 20.02 19.62 0.39 815652
7 64 19.89 19.52 0.36 815644
7 64 19.36 19.00 0.35 817864
7 64 20.02 19.63 0.38 816428
7 64 19.45 19.08 0.36 817192
7 64 19.40 19.08 0.31 812696
7 64 20.00 19.61 0.37 813200
7 64 19.93 19.55 0.37 817612
8 32 21.23 20.86 0.36 842640
8 32 21.37 21.00 0.36 847312
8 32 21.31 20.92 0.36 848316
8 32 21.20 20.86 0.33 843988
8 32 21.22 20.83 0.38 844180
8 32 21.21 20.81 0.40 841664
8 32 20.67 20.27 0.39 846644
8 32 21.41 21.06 0.35 844420
8 32 20.80 20.32 0.48 847448
8 32 21.47 21.08 0.39 843596
8 32 21.38 20.98 0.40 844092
8 32 20.79 20.43 0.36 842340
8 32 20.77 20.37 0.40 839732
8 32 26.20 25.72 0.43 931328
8 32 20.78 20.42 0.35 839112
8 64 22.33 21.96 0.37 851848
8 64 22.29 21.89 0.37 857640
8 64 21.76 21.38 0.37 863348
8 64 22.39 21.93 0.42 862636
8 64 22.27 21.87 0.38 864008
8 64 22.29 21.87 0.42 866948
8 64 22.39 22.06 0.32 849680
8 64 21.74 21.36 0.37 851144
8 64 22.34 21.97 0.35 854488
8 64 21.72 21.35 0.36 856796
8 64 21.86 21.51 0.35 852204
8 64 27.36 26.90 0.45 935960
8 64 22.64 22.29 0.34 853748
8 64 27.47 27.08 0.39 932372
8 64 26.61 26.24 0.37 932196
8 64 22.44 22.07 0.36 855332
8 64 22.66 22.18 0.45 849392
8 64 27.79 27.29 0.47 933164
9 32 22.90 22.52 0.37 884504
9 32 28.44 28.02 0.41 973120
9 32 23.68 23.29 0.38 881552
9 32 22.92 22.55 0.36 878672
9 32 23.60 23.25 0.34 877740
9 32 23.63 23.27 0.36 873408
9 32 23.64 23.24 0.39 872748
9 32 23.77 23.38 0.36 873508
9 32 23.82 23.41 0.40 879840
9 32 23.93 23.50 0.39 875996
9 32 23.19 22.73 0.41 880432
9 32 23.78 23.41 0.36 880600
9 32 23.99 23.55 0.42 881548
9 32 24.01 23.64 0.36 882496
9 64 24.36 23.96 0.39 880544
9 64 24.08 23.71 0.36 885768
9 64 30.77 30.32 0.44 968532
9 64 24.93 24.53 0.39 886928
9 64 24.98 24.58 0.39 886624
9 64 24.94 24.52 0.41 893884
9 64 25.35 24.88 0.46 893656
9 64 25.29 24.82 0.45 888976
9 64 24.50 24.15 0.35 892236
9 64 24.52 24.16 0.36 890276
10 32 32.76 32.33 0.43 1018676
10 32 33.90 33.33 0.54 1032216
10 32 26.70 26.25 0.44 923740
10 32 26.84 26.40 0.43 919240
10 32 25.87 25.44 0.42 920704
10 32 26.77 26.31 0.45 916264
10 32 26.80 26.40 0.38 922204
10 32 26.87 26.38 0.49 927768
10 32 26.11 25.66 0.44 922304
10 32 27.19 26.80 0.35 931828
10 64 26.54 26.16 0.37 925800
10 64 35.52 35.07 0.45 1036480
10 64 35.44 34.94 0.45 1036764
10 64 35.51 35.01 0.48 1036280
10 64 28.05 27.67 0.37 932476
10 64 27.20 26.73 0.46 932616
10 64 27.98 27.54 0.43 924780
10 64 28.22 27.83 0.38 928740
10 64 28.15 27.69 0.45 929100
10 64 28.53 28.10 0.43 928756
10 64 28.45 27.96 0.45 931496
11 32 30.00 29.57 0.42 979728
11 32 31.06 30.57 0.48 967980
11 32 30.64 30.13 0.45 967212
11 32 30.38 29.90 0.47 976056
11 32 30.71 30.24 0.46 977488
11 32 30.40 29.99 0.36 976904
11 64 32.62 32.13 0.48 982312
