bitwidth nlimbs real user sys mem
64 3 12.02 11.68 0.33 738344
64 3 12.05 11.74 0.31 737848
64 3 11.94 11.64 0.29 737624
64 3 11.95 11.66 0.28 738120
64 3 11.93 11.63 0.29 738236
64 3 11.99 11.66 0.33 738216
64 3 11.99 11.67 0.31 738092
64 3 12.01 11.71 0.29 737556
64 3 12.01 11.67 0.31 737624
64 3 12.01 11.67 0.33 738160
64 3 12.01 11.71 0.29 737136
64 3 12.03 11.75 0.27 738264
64 3 12.08 11.77 0.29 737772
64 3 11.78 11.49 0.28 738268
64 3 12.05 11.74 0.30 738420
64 4 12.81 12.54 0.27 749708
64 4 13.17 12.85 0.31 750936
64 4 13.19 12.81 0.37 751896
64 4 13.24 12.92 0.30 752888
64 4 13.24 12.92 0.32 753420
64 4 13.26 12.99 0.27 752028
64 4 13.28 12.94 0.33 751992
64 4 13.27 12.96 0.31 752812
64 4 13.36 13.06 0.30 753580
64 4 13.05 12.72 0.33 751156
64 4 13.32 13.04 0.27 751344
64 4 13.46 13.09 0.34 755640
64 4 13.43 13.14 0.29 756896
64 4 13.38 13.07 0.30 755532
64 4 13.47 13.13 0.33 756524
64 4 13.47 13.14 0.33 758524
64 4 13.43 13.15 0.27 756528
64 4 17.16 16.80 0.34 789376
64 4 13.41 13.11 0.30 757484
64 4 13.48 13.17 0.30 757228
64 4 13.47 13.17 0.29 758904
64 4 13.50 13.17 0.29 756780
64 4 13.54 13.24 0.30 756544
64 4 13.54 13.25 0.28 756360
64 4 17.08 16.75 0.32 789276
64 4 13.58 13.25 0.32 755304
64 4 13.41 13.08 0.32 755620
64 4 13.60 13.37 0.22 755680
64 4 13.58 13.27 0.30 755416
64 4 13.58 13.26 0.30 756976
32 5 15.20 14.89 0.31 766712
32 5 14.61 14.28 0.31 767716
32 5 14.16 13.88 0.27 768016
32 5 14.54 14.20 0.33 770656
64 5 14.93 14.58 0.35 771952
64 5 14.79 14.44 0.35 772560
64 5 14.89 14.60 0.28 772452
64 5 19.05 18.65 0.39 813444
64 5 14.88 14.58 0.29 772608
64 5 14.92 14.62 0.29 772476
64 5 14.81 14.47 0.33 772276
64 5 14.53 14.17 0.34 774224
64 5 14.95 14.60 0.31 772092
64 5 14.92 14.55 0.36 771624
64 5 19.25 18.85 0.39 812988
64 5 14.60 14.28 0.31 773388
64 5 14.99 14.65 0.31 777228
64 5 15.28 14.94 0.33 773464
64 5 15.31 15.00 0.30 773856
64 5 15.30 15.01 0.28 773592
64 5 15.32 15.01 0.31 773684
64 5 15.05 14.69 0.35 774432
64 5 15.02 14.68 0.34 774300
64 5 15.48 15.14 0.34 777992
64 5 15.43 15.05 0.36 774460
64 5 15.54 15.12 0.40 774168
64 5 15.29 14.93 0.35 774644
64 5 15.23 14.89 0.34 772356
32 6 17.15 16.81 0.33 794220
32 6 16.57 16.21 0.36 795300
32 6 16.34 16.04 0.29 793976
32 6 16.55 16.19 0.36 795360
32 6 16.65 16.26 0.37 793480
32 6 16.58 16.20 0.38 794304
32 6 16.73 16.44 0.28 792472
32 6 16.78 16.42 0.35 791468
32 6 16.65 16.30 0.35 792388
32 6 16.67 16.34 0.32 791948
32 6 16.70 16.36 0.34 792888
64 6 17.16 16.82 0.33 788752
64 6 16.61 16.26 0.34 794104
64 6 17.21 16.90 0.31 795772
64 6 17.18 16.76 0.42 797336
64 6 17.15 16.79 0.34 796120
64 6 20.44 19.87 0.54 839596
64 6 16.85 16.51 0.34 793744
64 6 17.30 16.93 0.34 795832
64 6 16.90 16.63 0.26 785720
64 6 17.44 17.08 0.34 792816
64 6 21.30 20.90 0.39 845388
64 6 17.57 17.07 0.34 797396
64 6 17.49 17.14 0.35 797328
64 6 17.04 16.74 0.30 798796
32 7 18.65 18.28 0.36 808364
32 7 18.63 18.26 0.36 809796
32 7 18.66 18.28 0.37 812060
32 7 18.65 18.32 0.33 809680
32 7 18.70 18.33 0.36 813220
32 7 18.13 17.76 0.35 813556
32 7 18.79 18.41 0.37 813516
32 7 18.78 18.39 0.38 812672
32 7 18.83 18.49 0.34 811604
32 7 18.84 18.48 0.35 814076
