bitwidth nlimbs real user sys mem
64 3 14.84 14.55 0.27 764816
64 3 14.50 14.19 0.30 763508
64 3 14.98 14.63 0.34 765484
64 3 14.81 14.44 0.34 760628
64 3 14.81 14.48 0.32 764392
64 3 14.68 14.40 0.27 766964
64 3 14.79 14.45 0.33 763976
64 3 14.76 14.51 0.25 764744
64 3 14.98 14.68 0.30 767792
64 3 14.57 14.27 0.30 763644
64 3 14.90 14.58 0.32 761972
64 3 15.06 14.73 0.33 764744
64 3 14.96 14.65 0.30 766396
64 3 14.87 14.46 0.38 766908
64 3 14.95 14.64 0.30 766888
64 4 18.33 17.99 0.33 792944
64 4 18.41 18.04 0.35 791664
64 4 18.39 18.04 0.34 791472
64 4 18.07 17.76 0.30 791868
64 4 17.94 17.64 0.30 796256
64 4 17.91 17.60 0.30 795948
64 4 18.33 18.02 0.30 791636
64 4 18.24 17.95 0.28 790072
64 4 17.96 17.64 0.31 791324
64 4 18.12 17.77 0.34 799268
64 4 17.99 17.57 0.41 797068
64 4 18.12 17.72 0.38 795412
64 4 18.51 18.18 0.33 797536
64 4 18.52 18.14 0.37 797588
64 4 18.78 18.41 0.36 791956
64 4 18.70 18.36 0.33 788600
64 4 18.78 18.46 0.31 796436
64 4 23.47 23.06 0.37 845704
64 4 18.69 18.29 0.37 798880
64 4 18.42 18.05 0.36 799268
64 4 18.72 18.38 0.32 790472
64 4 18.40 18.03 0.34 792268
64 4 18.00 17.68 0.32 791280
64 4 18.24 17.89 0.34 792484
64 4 29.75 29.33 0.41 952796
64 4 18.91 18.53 0.38 792268
64 4 18.79 18.45 0.33 792144
64 4 18.88 18.51 0.34 799248
64 4 18.30 17.91 0.38 799540
64 4 18.96 18.67 0.27 791416
32 5 22.24 21.92 0.32 822364
32 5 21.80 21.42 0.37 826268
32 5 21.94 21.58 0.35 824372
32 5 22.50 22.16 0.32 826108
64 5 23.03 22.65 0.37 830320
64 5 22.63 22.22 0.39 826416
64 5 23.04 22.68 0.34 829788
64 5 29.02 28.64 0.37 890112
64 5 23.12 22.77 0.34 826124
64 5 23.05 22.73 0.31 826292
64 5 22.42 22.05 0.36 826164
64 5 23.20 22.82 0.37 830912
64 5 23.22 22.86 0.35 829172
64 5 23.19 22.86 0.33 826356
64 5 23.28 22.92 0.35 830588
64 5 22.63 22.30 0.31 830164
64 5 23.24 22.86 0.37 831748
64 5 22.28 21.91 0.34 829212
64 5 22.87 22.50 0.36 828832
64 5 23.18 22.84 0.34 829460
64 5 22.77 22.39 0.33 832760
64 5 22.90 22.54 0.36 830192
64 5 22.87 22.45 0.41 825992
64 5 23.38 22.98 0.38 833664
64 5 23.62 23.20 0.38 830744
64 5 23.10 22.69 0.39 834332
64 5 22.92 22.53 0.38 830540
32 6 26.80 26.35 0.45 878488
32 6 26.52 26.16 0.36 868576
32 6 26.62 26.24 0.37 868296
32 6 27.52 26.99 0.47 878088
32 6 26.84 26.41 0.42 880256
32 6 26.59 26.19 0.39 879612
32 6 26.35 25.96 0.39 883260
32 6 25.58 25.23 0.34 878956
32 6 26.88 26.53 0.34 878744
32 6 26.89 26.46 0.41 877380
32 6 26.20 25.81 0.38 877488
64 6 26.97 26.59 0.37 885556
64 6 28.11 27.74 0.36 888948
64 6 27.91 27.50 0.39 884488
64 6 27.55 27.12 0.41 884012
64 6 28.12 27.74 0.37 886576
64 6 35.79 35.21 0.52 962396
64 6 27.23 26.83 0.39 889600
64 6 27.99 27.57 0.41 880064
64 6 27.26 26.86 0.38 879776
64 6 28.24 27.69 0.50 890944
64 6 50.59 49.94 0.63 1216108
64 6 28.14 27.70 0.43 891744
64 6 27.76 27.31 0.45 885252
64 6 28.56 28.19 0.36 885356
32 7 32.21 31.72 0.49 932792
32 7 33.29 32.84 0.45 933340
32 7 33.17 32.71 0.46 947248
32 7 33.20 32.78 0.41 940672
32 7 32.34 31.84 0.45 938284
32 7 32.44 31.93 0.46 949444
32 7 33.40 32.85 0.54 944552
32 7 33.26 32.77 0.48 945120
32 7 33.39 32.97 0.41 937548
32 7 33.48 33.10 0.37 937116
32 7 33.21 32.74 0.46 939084
32 7 31.49 31.08 0.40 943784
32 7 33.67 33.17 0.49 945660
64 7 45.64 45.14 0.49 1060864
64 7 35.07 34.63 0.43 948288
64 7 33.14 32.69 0.44 939248
64 7 33.96 33.54 0.41 944980
64 7 34.42 33.98 0.38 950476
64 7 35.10 34.71 0.39 946852
64 7 35.16 34.74 0.41 951260
64 7 34.90 34.44 0.42 946772
64 7 34.23 33.83 0.40 951096
64 7 35.18 34.66 0.51 950512
64 7 35.32 34.92 0.40 950652
64 7 34.32 33.89 0.43 965704
64 7 34.45 33.95 0.45 950596
64 7 35.25 34.79 0.45 950436
64 7 34.32 33.85 0.45 949908
32 8 42.01 41.55 0.46 1052524
32 8 40.91 40.43 0.47 1017640
32 8 40.54 40.12 0.41 1017768
32 8 40.55 40.16 0.38 1019744
32 8 40.86 40.40 0.45 1032376
32 8 41.99 41.53 0.45 1017464
32 8 42.70 42.28 0.41 1037076
32 8 42.22 41.59 0.57 1018068
32 8 40.36 39.85 0.50 1019104
32 8 42.37 41.87 0.49 1025380
32 8 41.99 41.50 0.48 1020088
32 8 40.42 39.97 0.45 1030120
32 8 41.02 40.55 0.47 1025096
32 8 79.61 78.78 0.81 1655700
32 8 42.38 41.89 0.48 1037040
64 8 44.37 43.94 0.42 1041144
64 8 44.10 43.56 0.53 1055404
64 8 44.12 43.59 0.52 1052208
64 8 44.23 43.77 0.45 1038452
64 8 42.98 42.50 0.47 1059152
64 8 42.98 42.45 0.52 1037780
64 8 42.89 42.46 0.43 1030248
64 8 43.78 43.30 0.42 1034228
64 8 44.60 44.04 0.49 1037928
64 8 44.47 43.95 0.51 1039784
64 8 44.57 43.91 0.59 1039196
64 8 81.83 81.06 0.76 1626868
64 8 44.20 43.76 0.44 1057392
64 8 81.64 80.77 0.86 1601484
64 8 83.01 82.20 0.80 1625764
64 8 42.94 42.49 0.43 1037160
64 8 44.39 43.80 0.57 1057372
64 8 82.32 81.41 0.90 1626240
32 9 51.49 50.92 0.56 1119360
32 9 66.63 65.97 0.65 1291148
32 9 49.93 49.39 0.53 1127312
32 9 50.00 49.41 0.58 1136460
32 9 48.51 48.00 0.50 1118420
32 9 50.48 49.95 0.53 1132752
32 9 51.79 51.31 0.47 1125520
32 9 51.44 50.80 0.60 1126160
32 9 51.67 51.11 0.55 1132808
32 9 50.17 49.64 0.50 1134776
