kind bitwidth op nlimbs prime real user sys mem
solinas 64 fesquare 3 2e127m1 13.99 13.66 0.33 759236
solinas 64 fesquare 3 2e129m25 13.58 13.20 0.36 754564
solinas 64 fesquare 3 2e130m5 14.03 13.66 0.36 756100
solinas 64 fesquare 3 2e137m13 13.93 13.57 0.35 757492
solinas 64 fesquare 3 2e140m27 14.01 13.69 0.32 758976
solinas 64 fesquare 3 2e141m9 13.82 13.53 0.28 757244
solinas 64 fesquare 3 2e150m3 13.48 13.16 0.32 756740
solinas 64 fesquare 3 2e150m5 13.46 13.10 0.34 756456
solinas 64 fesquare 3 2e152m17 13.98 13.64 0.32 754848
solinas 64 fesquare 3 2e158m15 13.86 13.53 0.32 756900
solinas 64 fesquare 3 2e165m25 13.93 13.61 0.31 755452
solinas 64 fesquare 3 2e166m5 13.81 13.55 0.25 756540
solinas 64 fesquare 3 2e171m19 13.56 13.26 0.29 755280
solinas 64 fesquare 3 2e174m17 13.92 13.65 0.27 755624
solinas 64 fesquare 3 2e174m3 13.97 13.64 0.33 755436
solinas 64 fesquare 4 2e129m25 16.58 16.23 0.35 787072
solinas 64 fesquare 4 2e130m5 16.61 16.26 0.32 788012
solinas 64 fesquare 4 2e137m13 16.96 16.59 0.35 785796
solinas 64 fesquare 4 2e140m27 16.72 16.33 0.38 787256
solinas 64 fesquare 4 2e141m9 17.10 16.74 0.35 789940
solinas 64 fesquare 4 2e150m3 16.97 16.61 0.35 789596
solinas 64 fesquare 4 2e150m5 16.95 16.58 0.36 790100
solinas 64 fesquare 4 2e152m17 16.84 16.49 0.34 788200
solinas 64 fesquare 4 2e158m15 16.57 16.20 0.36 787076
solinas 64 fesquare 4 2e165m25 16.74 16.42 0.31 788456
solinas 64 fesquare 4 2e166m5 16.57 16.21 0.33 789812
solinas 64 fesquare 4 2e171m19 17.16 16.78 0.37 788984
solinas 64 fesquare 4 2e174m17 17.08 16.76 0.32 789424
solinas 64 fesquare 4 2e174m3 17.15 16.77 0.35 788896
solinas 64 fesquare 4 2e189m25 17.33 16.94 0.36 790068
solinas 64 fesquare 4 2e190m11 17.14 16.81 0.31 788868
solinas 64 fesquare 4 2e191m19 17.28 16.93 0.34 789456
