nlimbs bitwidth real user sys mem
3 64 13.79 13.49 0.27 759556
3 64 13.79 13.47 0.30 756164
3 64 13.90 13.54 0.33 757196
3 64 13.94 13.58 0.33 754944
3 64 13.97 13.61 0.35 757148
3 64 13.78 13.43 0.35 756512
3 64 13.84 13.50 0.33 755232
3 64 13.84 13.55 0.29 755040
3 64 14.02 13.73 0.28 759368
3 64 13.97 13.63 0.33 758744
3 64 13.93 13.61 0.29 755976
3 64 14.09 13.78 0.29 758716
3 64 13.98 13.69 0.28 758300
3 64 14.01 13.67 0.32 757664
3 64 13.89 13.59 0.29 757656
4 64 17.04 16.68 0.35 786756
4 64 16.90 16.54 0.35 784864
4 64 17.09 16.72 0.36 787276
4 64 16.79 16.47 0.31 785048
4 64 17.07 16.71 0.34 786684
4 64 17.06 16.71 0.34 786272
4 64 17.08 16.71 0.36 786668
4 64 16.96 16.62 0.34 787536
4 64 17.10 16.75 0.32 773796
4 64 17.21 16.82 0.38 774100
4 64 17.08 16.76 0.32 788076
4 64 17.31 16.82 0.45 789312
4 64 17.15 16.82 0.31 785484
4 64 17.09 16.79 0.29 789108
4 64 16.87 16.55 0.32 774024
4 64 17.19 16.87 0.29 773768
4 64 17.28 17.00 0.27 774640
4 64 22.01 21.65 0.36 826260
4 64 17.20 16.85 0.34 773908
4 64 17.01 16.71 0.30 786364
4 64 17.24 16.96 0.27 785216
4 64 17.25 16.92 0.32 774908
4 64 17.01 16.68 0.33 774328
4 64 17.38 17.01 0.36 784076
4 64 28.50 28.00 0.49 940268
4 64 17.39 17.03 0.35 786612
4 64 17.32 16.98 0.34 774404
4 64 17.38 17.07 0.31 786000
4 64 17.30 16.96 0.33 774408
4 64 17.50 17.17 0.32 786840
5 32 21.03 20.64 0.39 817512
5 32 20.40 20.01 0.39 818380
5 32 19.98 19.65 0.32 816648
5 32 20.58 20.19 0.36 819604
5 64 21.19 20.88 0.30 821156
5 64 20.70 20.36 0.33 819120
5 64 21.14 20.77 0.37 818504
5 64 27.26 26.87 0.39 882020
5 64 21.11 20.73 0.38 818160
5 64 21.12 20.77 0.34 816804
5 64 21.21 20.85 0.35 818428
5 64 21.33 20.96 0.36 817092
5 64 21.34 20.99 0.34 820996
5 64 21.20 20.86 0.32 819884
5 64 21.30 20.99 0.31 822448
5 64 21.32 20.91 0.41 822176
5 64 21.35 21.04 0.30 821732
5 64 20.31 19.93 0.37 817760
5 64 20.81 20.45 0.34 815384
5 64 20.69 20.38 0.30 823032
5 64 20.72 20.37 0.35 820224
5 64 20.89 20.54 0.33 817768
5 64 21.03 20.64 0.35 823456
5 64 20.86 20.58 0.27 825156
5 64 21.43 21.10 0.32 823056
5 64 21.06 20.65 0.40 823044
5 64 21.45 21.13 0.32 818980
6 32 24.45 24.10 0.35 863748
6 32 24.98 24.56 0.37 855156
6 32 24.39 24.04 0.34 863780
6 32 24.67 24.26 0.40 865356
6 32 24.48 24.09 0.38 858120
6 32 24.31 23.96 0.35 863692
6 32 24.41 24.03 0.38 855280
6 32 23.97 23.56 0.38 860952
6 32 24.45 24.05 0.39 860632
6 32 25.08 24.76 0.32 859112
6 32 24.25 23.83 0.42 859928
6 64 25.02 24.69 0.32 863896
6 64 25.56 25.07 0.43 873656
6 64 25.71 25.40 0.30 862400
6 64 25.81 25.43 0.37 862244
6 64 25.58 25.21 0.34 867264
6 64 33.66 33.24 0.42 950400
6 64 25.38 24.98 0.39 868152
6 64 25.41 25.03 0.37 867012
6 64 24.71 24.29 0.42 868472
6 64 25.60 25.19 0.39 869184
6 64 48.93 48.16 0.55 1189956
6 64 24.64 24.26 0.34 866200
