bitwidth nlimbs real user sys mem
64 3 11.22 10.90 0.31 729656
64 3 11.25 10.90 0.33 729844
64 3 10.98 10.67 0.28 729452
64 3 10.86 10.60 0.25 727544
64 3 11.15 10.86 0.28 728956
64 3 11.16 10.89 0.25 729044
64 3 11.16 10.88 0.27 728728
64 3 11.21 10.86 0.34 729276
64 3 11.19 10.95 0.24 729160
64 3 11.23 10.94 0.28 731152
64 3 11.27 10.95 0.31 732072
64 3 11.23 10.91 0.32 729948
64 3 10.99 10.70 0.28 729508
64 3 11.29 10.99 0.29 730160
64 3 11.28 10.99 0.29 729768
64 4 11.94 11.65 0.27 738616
64 4 12.33 12.06 0.26 738924
64 4 12.09 11.76 0.32 737800
64 4 12.16 11.84 0.31 737624
64 4 11.80 11.47 0.33 736860
64 4 12.15 11.87 0.27 737672
64 4 12.18 11.84 0.33 737720
64 4 12.24 11.92 0.29 740020
64 4 12.24 11.89 0.33 738888
64 4 12.25 11.93 0.28 739228
64 4 12.26 11.95 0.30 740792
64 4 12.27 12.02 0.24 738448
64 4 12.00 11.70 0.27 739136
64 4 12.28 11.98 0.29 738848
64 4 12.04 11.75 0.28 738640
64 4 12.03 11.71 0.31 738320
64 4 12.44 12.09 0.32 738356
64 4 12.03 11.75 0.27 738492
64 4 12.36 12.10 0.26 737472
64 4 12.33 12.05 0.27 738396
64 4 12.40 12.12 0.27 738120
64 4 12.45 12.20 0.24 738244
64 4 12.46 12.11 0.34 737388
64 4 12.21 11.91 0.27 737704
64 4 12.17 11.85 0.29 737756
64 4 12.14 11.87 0.27 738716
64 4 12.37 12.04 0.32 739116
64 4 12.56 12.25 0.29 740056
64 4 12.29 11.95 0.33 740192
64 4 12.28 11.98 0.29 739064
32 5 12.86 12.50 0.35 748004
32 5 12.88 12.58 0.29 746508
32 5 12.84 12.55 0.28 746840
32 5 13.09 12.77 0.31 748012
64 5 13.27 12.94 0.32 750496
64 5 13.56 13.27 0.28 750684
64 5 13.31 13.06 0.24 751436
64 5 13.25 12.95 0.29 751948
64 5 13.50 13.17 0.31 751076
64 5 13.75 13.43 0.29 749628
64 5 13.28 12.98 0.29 749780
64 5 13.69 13.36 0.32 748808
64 5 13.41 13.09 0.30 750856
64 5 13.81 13.56 0.23 751408
64 5 13.72 13.41 0.29 753176
64 5 13.42 13.08 0.33 751604
64 5 13.44 13.14 0.27 753148
64 5 13.76 13.43 0.31 749844
64 5 13.40 13.10 0.29 751644
64 5 13.81 13.47 0.33 750956
64 5 13.52 13.18 0.33 751416
64 5 13.91 13.58 0.32 753452
64 5 13.93 13.62 0.29 752860
64 5 13.56 13.27 0.28 752896
64 5 13.92 13.57 0.33 752512
64 5 13.90 13.58 0.31 751040
64 5 14.07 13.74 0.33 754224
64 5 14.05 13.72 0.32 749604
32 6 14.48 14.13 0.33 759512
32 6 14.18 13.86 0.31 760660
32 6 14.14 13.82 0.31 760516
32 6 14.51 14.20 0.30 759612
32 6 14.53 14.20 0.32 759976
32 6 14.53 14.22 0.30 760192
32 6 14.25 13.91 0.32 759200
32 6 14.60 14.26 0.33 758964
32 6 14.69 14.37 0.29 760308
32 6 14.76 14.42 0.32 759784
32 6 14.65 14.38 0.26 760520
64 6 15.36 15.08 0.27 764000
64 6 15.36 15.03 0.31 762984
64 6 15.42 15.12 0.28 764200
64 6 14.96 14.69 0.26 764428
64 6 15.40 14.99 0.37 762904
64 6 14.97 14.61 0.35 762104
64 6 15.41 15.10 0.30 762676
64 6 15.16 14.81 0.33 767688
64 6 15.54 15.23 0.30 768592
