kind bitwidth op nlimbs prime real user sys mem
montgomery 32 feadd 4 2e127m1 17.30 16.92 0.36 774788
montgomery 32 fenz 4 2e127m1 11.70 11.40 0.28 722408
montgomery 32 feopp 4 2e127m1 13.93 13.59 0.34 742560
montgomery 32 fesub 4 2e127m1 17.29 16.89 0.39 768324
montgomery 32 feadd 5 2e129m25 22.07 21.76 0.31 811076
montgomery 32 fenz 5 2e129m25 12.97 12.68 0.28 728552
montgomery 32 feadd 5 2e130m5 21.61 21.33 0.26 812408
montgomery 32 feopp 5 2e129m25 15.91 15.56 0.35 760204
montgomery 32 fenz 5 2e130m5 12.96 12.71 0.24 728056
montgomery 32 fesub 5 2e129m25 21.11 20.77 0.34 809756
montgomery 32 femul 4 2e127m1 116.14 115.07 1.06 2604736
montgomery 32 feopp 5 2e130m5 15.98 15.68 0.30 760456
montgomery 32 feadd 5 2e137m13 21.60 21.25 0.34 813928
montgomery 32 fesub 5 2e130m5 21.53 21.20 0.32 811108
montgomery 32 fenz 5 2e137m13 13.01 12.71 0.28 727832
montgomery 32 feopp 5 2e137m13 15.96 15.66 0.30 762300
montgomery 32 feadd 5 2e140m27 21.61 21.28 0.31 813940
montgomery 32 fesub 5 2e137m13 21.63 21.27 0.35 811324
montgomery 32 fenz 5 2e140m27 13.08 12.81 0.26 727680
montgomery 32 feopp 5 2e140m27 15.98 15.65 0.32 762096
montgomery 32 femul 5 2e129m25 254.52 252.03 2.18 5245560
montgomery 32 feadd 5 2e141m9 21.80 21.48 0.32 812252
montgomery 32 fesub 5 2e140m27 21.12 20.76 0.34 810460
montgomery 32 fenz 5 2e141m9 13.18 12.89 0.27 728028
montgomery 32 femul 5 2e130m5 253.93 251.75 2.16 5202000
montgomery 32 feopp 5 2e141m9 15.70 15.41 0.26 760604
montgomery 32 fesub 5 2e141m9 21.66 21.26 0.40 812460
montgomery 32 feadd 5 2e150m3 21.98 21.63 0.32 812384
montgomery 32 femul 5 2e137m13 241.47 239.55 1.91 5296440
montgomery 32 fenz 5 2e150m3 13.05 12.75 0.29 727512
montgomery 32 feopp 5 2e150m3 15.68 15.36 0.31 760524
montgomery 32 feadd 5 2e150m5 21.57 21.19 0.37 812540
montgomery 32 fesub 5 2e150m3 21.81 21.50 0.27 813332
montgomery 32 fenz 5 2e150m5 13.14 12.80 0.32 728564
montgomery 32 femul 5 2e140m27 255.33 253.34 1.98 5267972
montgomery 32 feopp 5 2e150m5 15.65 15.32 0.32 760292
montgomery 32 fesub 5 2e150m5 21.57 21.21 0.36 812816
montgomery 32 feadd 5 2e152m17 22.03 21.71 0.30 813188
montgomery 32 fenz 5 2e152m17 12.99 12.72 0.26 728920
montgomery 32 femul 5 2e141m9 255.10 252.90 2.18 5286832
montgomery 32 feopp 5 2e152m17 15.73 15.45 0.27 760204
montgomery 32 feadd 5 2e158m15 22.04 21.74 0.29 813972
montgomery 32 fesub 5 2e152m17 21.52 21.24 0.28 813008
montgomery 32 fenz 5 2e158m15 13.14 12.83 0.30 727568
montgomery 32 femul 5 2e150m3 254.98 252.85 2.12 5273500
montgomery 32 feopp 5 2e158m15 16.01 15.71 0.29 758984
montgomery 32 feadd 6 2e165m25 26.49 26.17 0.31 848372
montgomery 32 fesub 5 2e158m15 21.50 21.19 0.29 812628
montgomery 32 femul 5 2e150m5 256.71 254.00 2.39 5273128
montgomery 32 fenz 6 2e165m25 14.56 14.25 0.30 734468
montgomery 32 femul 5 2e152m17 239.55 237.47 2.06 5258312
montgomery 32 feadd 6 2e166m5 27.28 26.88 0.37 849744
montgomery 32 femul 5 2e158m15 254.79 252.79 1.98 5235052
montgomery 32 fenz 6 2e166m5 14.54 14.21 0.32 734936
montgomery 32 feopp 6 2e165m25 18.32 17.97 0.33 781532
montgomery 32 fesub 6 2e165m25 26.50 26.21 0.27 843736
montgomery 32 feopp 6 2e166m5 18.24 17.91 0.33 783116
montgomery 32 feadd 6 2e171m19 27.13 26.79 0.33 851428
montgomery 32 fenz 6 2e171m19 14.67 14.41 0.25 734996
montgomery 32 femul 6 2e165m25 442.44 438.80 3.63 10212660
montgomery 32 femul 6 2e166m5 477.64 474.06 3.57 10244968
montgomery 32 fesub 6 2e166m5 26.64 26.26 0.35 844796
montgomery 32 feadd 6 2e174m17 26.70 26.37 0.32 850744
montgomery 32 fenz 6 2e174m17 14.56 14.32 0.23 734672
montgomery 32 feopp 6 2e171m19 18.60 18.26 0.34 787844
montgomery 32 fesub 6 2e171m19 26.62 26.26 0.35 846312
montgomery 32 feopp 6 2e174m17 18.60 18.31 0.29 788472
