kind bitwidth op nlimbs prime real user sys mem
montgomery 32 feadd 4 2e127m1 17.65 17.30 0.32 774500
montgomery 32 fenz 4 2e127m1 11.76 11.41 0.34 722828
montgomery 32 feopp 4 2e127m1 15.49 15.23 0.25 744500
montgomery 32 fesub 4 2e127m1 19.85 19.51 0.33 775020
montgomery 32 feadd 5 2e129m25 21.73 21.37 0.35 815012
montgomery 32 fenz 5 2e129m25 13.16 12.88 0.27 726880
montgomery 32 feadd 5 2e130m5 22.93 22.50 0.42 816068
montgomery 32 feopp 5 2e129m25 36.81 36.49 0.32 776540
montgomery 32 fenz 5 2e130m5 13.09 12.77 0.32 726800
montgomery 32 fesub 5 2e129m25 51.85 51.49 0.35 811116
montgomery 32 femul 4 2e127m1 118.58 117.41 1.16 2606908
montgomery 32 feopp 5 2e130m5 36.69 36.37 0.32 779516
montgomery 32 feadd 5 2e137m13 22.12 21.75 0.36 810596
montgomery 32 fesub 5 2e130m5 51.83 51.45 0.37 800044
montgomery 32 fenz 5 2e137m13 13.29 13.02 0.26 727040
montgomery 32 feopp 5 2e137m13 36.70 36.38 0.31 784552
montgomery 32 feadd 5 2e140m27 22.36 21.99 0.36 813012
montgomery 32 fesub 5 2e137m13 51.88 51.60 0.27 810888
montgomery 32 fenz 5 2e140m27 13.10 12.82 0.27 726928
montgomery 32 feopp 5 2e140m27 35.77 35.48 0.28 785704
montgomery 32 femul 5 2e129m25 260.68 257.88 2.47 5200336
montgomery 32 feadd 5 2e141m9 22.23 21.87 0.32 810516
montgomery 32 fesub 5 2e140m27 51.58 51.27 0.30 810816
montgomery 32 fenz 5 2e141m9 13.13 12.83 0.30 726784
montgomery 32 femul 5 2e130m5 259.66 257.61 2.03 5255416
montgomery 32 feopp 5 2e141m9 36.79 36.53 0.25 775192
montgomery 32 fesub 5 2e141m9 52.01 51.69 0.29 810964
montgomery 32 feadd 5 2e150m3 22.10 21.71 0.37 812632
montgomery 32 femul 5 2e137m13 259.52 257.20 2.29 5237516
montgomery 32 fenz 5 2e150m3 13.31 13.04 0.27 727240
montgomery 32 feopp 5 2e150m3 36.67 36.35 0.31 784348
montgomery 32 feadd 5 2e150m5 22.33 21.99 0.33 812952
montgomery 32 fesub 5 2e150m3 52.05 51.73 0.30 811268
montgomery 32 fenz 5 2e150m5 13.07 12.77 0.29 726616
montgomery 32 femul 5 2e140m27 260.19 258.07 2.08 5236364
montgomery 32 feopp 5 2e150m5 36.82 36.46 0.35 784344
montgomery 32 fesub 5 2e150m5 52.09 51.75 0.34 811264
montgomery 32 feadd 5 2e152m17 22.21 21.87 0.34 813628
montgomery 32 fenz 5 2e152m17 13.22 12.89 0.30 726928
montgomery 32 femul 5 2e141m9 247.44 244.79 2.32 5305704
montgomery 32 feopp 5 2e152m17 36.55 36.23 0.32 775576
montgomery 32 feadd 5 2e158m15 22.58 22.29 0.27 812756
montgomery 32 fesub 5 2e152m17 51.56 51.23 0.32 811616
