param-n,build-real,build-sys,build-user,build-and-refine-real,build-and-refine-sys,build-and-refine-user,refine-real,refine-sys,refine-user,to-constr-real,to-constr-sys,to-constr-user,type-of-real,type-of-sys,type-of-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
100,0.001,0.,0.001,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.
200,0.003,0.,0.003,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.,0.,0.
300,0.004,0.,0.004,0.086,0.,0.086,0.,0.,0.,0.001,0.,0.001,0.08,0.,0.08
400,0.006,0.,0.006,0.014,0.,0.014,0.,0.,0.,0.001,0.,0.001,0.005,0.,0.005
500,0.007,0.,0.007,0.029,0.,0.029,0.001,0.,0.001,0.002,0.,0.002,0.017,0.,0.017
600,0.009,0.,0.009,0.024,0.,0.024,0.001,0.,0.001,0.004,0.,0.004,0.008,0.,0.008
700,0.011,0.,0.011,0.049,0.,0.049,0.002,0.,0.002,0.005,0.,0.005,0.029,0.,0.029
800,0.012,0.,0.012,0.037,0.,0.037,0.003,0.,0.003,0.007,0.,0.007,0.014,0.,0.014
900,0.014,0.,0.014,0.069,0.,0.069,0.004,0.,0.004,0.009,0.,0.009,0.041,0.,0.041
1000,0.015,0.,0.015,0.053,0.,0.053,0.005,0.,0.005,0.01,0.,0.01,0.02,0.,0.02
1100,0.017,0.,0.017,0.061,0.,0.061,0.006,0.,0.006,0.013,0.,0.013,0.024,0.,0.024
1200,0.019,0.,0.019,0.071,0.003,0.068,0.007,0.,0.007,0.015,0.,0.015,0.028,0.003,0.025
1300,0.02,0.,0.02,0.091,0.004,0.086,0.009,0.,0.009,0.018,0.,0.018,0.042,0.004,0.038
1400,0.022,0.,0.022,0.093,0.,0.093,0.01,0.,0.01,0.021,0.,0.021,0.038,0.,0.038
1500,0.024,0.,0.024,0.134,0.,0.134,0.012,0.,0.012,0.024,0.,0.024,0.073,0.,0.073
1600,0.025,0.,0.025,0.118,0.,0.118,0.014,0.,0.014,0.028,0.,0.028,0.049,0.,0.049
1700,0.027,0.,0.027,0.186,0.,0.186,0.016,0.,0.016,0.046,0.,0.046,0.096,0.,0.096
1800,0.028,0.,0.028,0.148,0.003,0.144,0.018,0.,0.018,0.035,0.003,0.032,0.065,0.,0.064
1900,0.073,0.,0.073,0.206,0.004,0.202,0.02,0.,0.02,0.039,0.003,0.035,0.072,0.,0.072
2000,0.05,0.,0.05,0.199,0.015,0.183,0.022,0.,0.022,0.044,0.011,0.033,0.081,0.004,0.077
2100,0.033,0.,0.033,0.198,0.,0.198,0.025,0.,0.025,0.048,0.,0.048,0.089,0.,0.089
2200,0.043,0.,0.043,0.225,0.003,0.221,0.028,0.,0.028,0.054,0.003,0.05,0.099,0.,0.099
2300,0.051,0.,0.051,0.254,0.007,0.246,0.03,0.,0.03,0.059,0.003,0.055,0.112,0.004,0.108
2400,0.079,0.003,0.075,0.359,0.003,0.355,0.033,0.,0.033,0.05,0.,0.05,0.195,0.,0.195
2500,0.04,0.,0.04,0.269,0.,0.269,0.036,0.,0.036,0.061,0.,0.061,0.13,0.,0.13
2600,0.063,0.,0.063,0.312,0.,0.312,0.039,0.,0.039,0.066,0.,0.066,0.142,0.,0.142
