param-n,uconstr-I-1000-real,uconstr-I-1000-sys,uconstr-I-1000-user
0,0.022,0.016,0.005
1,0.057,0.003,0.053
2,0.013,0.,0.013
3,0.012,0.,0.012
4,0.026,0.,0.026
5,0.013,0.,0.013
6,0.013,0.,0.013
7,0.019,0.,0.019
8,0.013,0.,0.013
9,0.013,0.,0.013
10,0.022,0.,0.022
11,0.013,0.,0.013
12,0.013,0.,0.013
13,0.017,0.,0.017
14,0.013,0.,0.013
15,0.013,0.,0.013
16,0.019,0.,0.019
17,0.014,0.,0.014
18,0.013,0.,0.013
19,0.014,0.,0.014
20,0.014,0.,0.014
21,0.014,0.,0.014
22,0.015,0.,0.015
23,0.016,0.,0.016
24,0.013,0.,0.013
25,0.014,0.,0.014
26,0.015,0.,0.015
27,0.014,0.,0.014
28,0.014,0.,0.014
29,0.015,0.,0.015
30,0.014,0.,0.014
31,0.013,0.,0.013
32,0.014,0.,0.014
33,0.014,0.,0.014
34,0.014,0.,0.014
35,0.015,0.,0.015
36,0.014,0.,0.014
37,0.014,0.,0.014
38,0.015,0.,0.015
39,0.014,0.,0.014
40,0.014,0.,0.014
41,0.015,0.,0.015
42,0.014,0.,0.014
43,0.014,0.,0.014
44,0.015,0.,0.015
45,0.015,0.,0.015
46,0.014,0.,0.014
47,0.016,0.,0.016
48,0.014,0.,0.014
49,0.015,0.,0.015
50,0.015,0.,0.015
51,0.014,0.,0.014
52,0.015,0.,0.015
53,0.017,0.,0.017
54,0.015,0.,0.015
55,0.014,0.,0.014
56,0.015,0.,0.015
57,0.014,0.,0.014
58,0.014,0.,0.014
59,0.016,0.,0.016
60,0.014,0.,0.014
61,0.014,0.,0.014
62,0.016,0.,0.016
63,0.015,0.,0.015
64,0.014,0.,0.014
65,0.016,0.,0.016
66,0.015,0.,0.015
67,0.014,0.,0.014
68,0.016,0.,0.016
69,0.014,0.,0.014
70,0.015,0.,0.015
71,0.017,0.,0.017
72,0.015,0.,0.015
73,0.014,0.003,0.01
74,0.016,0.,0.016
75,0.015,0.,0.015
76,0.015,0.,0.015
77,0.016,0.,0.016
78,0.015,0.,0.015
79,0.016,0.,0.016
80,0.016,0.,0.016
81,0.015,0.,0.015
82,0.015,0.,0.015
83,0.016,0.,0.016
84,0.015,0.,0.015
85,0.015,0.,0.015
86,0.016,0.,0.016
87,0.015,0.,0.015
88,0.015,0.,0.015
89,0.016,0.,0.016
90,0.014,0.,0.014
91,0.014,0.,0.014
92,0.015,0.,0.015
93,0.015,0.,0.015
94,0.016,0.,0.016
95,0.015,0.,0.015
96,0.015,0.,0.015
97,0.019,0.,0.019
98,0.015,0.,0.015
99,0.015,0.,0.015
100,0.019,0.,0.019
101,0.015,0.,0.015
102,0.015,0.,0.015
103,0.018,0.,0.018
104,0.016,0.,0.016
105,0.015,0.,0.015
106,0.019,0.,0.019
107,0.015,0.,0.015
108,0.015,0.,0.015
109,0.019,0.,0.019
110,0.015,0.,0.015
111,0.015,0.,0.015
112,0.019,0.,0.019
113,0.016,0.,0.016
114,0.015,0.,0.015
115,0.018,0.,0.018
116,0.015,0.,0.015
117,0.015,0.,0.015
118,0.019,0.,0.019
119,0.015,0.,0.015
120,0.015,0.,0.015
121,0.018,0.,0.018
122,0.015,0.,0.015
123,0.015,0.,0.015
124,0.018,0.,0.018
125,0.015,0.,0.015
126,0.016,0.,0.016
127,0.018,0.,0.018
128,0.015,0.,0.015
129,0.015,0.,0.015
130,0.018,0.,0.018
131,0.015,0.,0.015
132,0.015,0.,0.015
133,0.018,0.,0.018
134,0.015,0.,0.015
135,0.015,0.,0.015
136,0.018,0.,0.018
137,0.016,0.,0.016
138,0.015,0.,0.015
139,0.017,0.,0.017
140,0.015,0.,0.015
141,0.015,0.,0.015
142,0.018,0.,0.018
143,0.015,0.,0.015
144,0.016,0.,0.016
145,0.017,0.,0.017
146,0.016,0.,0.016
147,0.016,0.,0.016
148,0.018,0.,0.018
149,0.015,0.,0.015
150,0.016,0.,0.016
151,0.017,0.,0.017
152,0.017,0.,0.017
153,0.016,0.,0.016
154,0.016,0.,0.016
155,0.016,0.,0.016
156,0.02,0.,0.02
157,0.015,0.,0.015
158,0.016,0.,0.016
159,0.021,0.,0.021
