param-n,build-real,build-sys,build-user,build-and-typecheck-real,build-and-typecheck-sys,build-and-typecheck-user,refine-real,refine-sys,refine-user,typecheck-real,typecheck-sys,typecheck-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
100,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
200,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
300,0.031,0.,0.031,0.065,0.,0.065,0.,0.,0.,0.033,0.,0.033
400,0.001,0.,0.001,0.002,0.,0.002,0.001,0.,0.001,0.001,0.,0.001
500,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.002,0.,0.002
600,0.001,0.,0.001,0.003,0.,0.003,0.002,0.,0.002,0.002,0.,0.002
700,0.,0.,0.,0.004,0.,0.004,0.003,0.,0.003,0.003,0.,0.003
800,0.001,0.,0.001,0.005,0.,0.005,0.004,0.,0.004,0.004,0.,0.004
900,0.,0.,0.,0.006,0.,0.006,0.005,0.,0.005,0.005,0.,0.005
1000,0.002,0.,0.002,0.008,0.,0.008,0.006,0.,0.006,0.006,0.,0.006
1100,0.001,0.,0.,0.009,0.,0.009,0.007,0.,0.007,0.008,0.,0.008
1200,0.002,0.,0.002,0.011,0.,0.011,0.009,0.,0.009,0.008,0.,0.008
1300,0.001,0.,0.001,0.012,0.,0.012,0.01,0.,0.01,0.011,0.,0.011
1400,0.002,0.,0.002,0.014,0.,0.014,0.012,0.,0.012,0.011,0.,0.011
1500,0.001,0.,0.001,0.016,0.,0.016,0.013,0.,0.013,0.014,0.,0.014
1600,0.002,0.,0.002,0.018,0.,0.018,0.016,0.,0.016,0.015,0.,0.015
1700,0.001,0.,0.001,0.02,0.,0.02,0.017,0.,0.017,0.018,0.,0.018
1800,0.003,0.,0.003,0.023,0.,0.023,0.02,0.,0.02,0.019,0.,0.019
1900,0.001,0.,0.001,0.025,0.,0.025,0.022,0.,0.022,0.023,0.,0.023
2000,0.001,0.,0.001,0.028,0.,0.028,0.024,0.,0.024,0.026,0.,0.026
2100,0.001,0.,0.001,0.03,0.,0.03,0.027,0.,0.027,0.028,0.,0.028
2200,0.001,0.,0.001,0.033,0.,0.033,0.03,0.,0.03,0.031,0.,0.031
2300,0.002,0.,0.002,0.036,0.,0.036,0.033,0.,0.033,0.034,0.,0.034
2400,0.002,0.,0.002,0.039,0.,0.039,0.036,0.,0.036,0.037,0.,0.037
2500,0.002,0.,0.002,0.043,0.,0.043,0.039,0.,0.039,0.041,0.,0.041
2600,0.002,0.,0.002,0.046,0.,0.046,0.042,0.,0.042,0.044,0.,0.044
2700,0.002,0.,0.002,0.048,0.,0.048,0.046,0.,0.046,0.046,0.,0.046
2800,0.002,0.,0.002,0.052,0.,0.052,0.049,0.,0.049,0.05,0.,0.05
2900,0.002,0.,0.002,0.056,0.,0.056,0.053,0.,0.053,0.053,0.,0.053
3000,0.002,0.,0.002,0.06,0.,0.06,0.057,0.,0.057,0.058,0.,0.058
3100,0.002,0.,0.002,0.064,0.,0.064,0.061,0.,0.061,0.061,0.,0.061
3200,0.002,0.,0.002,0.068,0.,0.068,0.065,0.,0.065,0.065,0.,0.065
3300,0.002,0.,0.002,0.073,0.,0.073,0.069,0.,0.069,0.07,0.,0.07
3400,0.002,0.,0.002,0.077,0.,0.077,0.074,0.,0.074,0.075,0.,0.075
3500,0.003,0.,0.003,0.082,0.,0.082,0.078,0.,0.078,0.079,0.,0.079
3600,0.002,0.,0.002,0.087,0.,0.087,0.084,0.,0.084,0.084,0.,0.084
3700,0.003,0.,0.003,0.092,0.,0.092,0.089,0.,0.089,0.089,0.,0.089
3800,0.003,0.,0.003,0.098,0.,0.098,0.094,0.,0.093,0.095,0.,0.095
3900,0.001,0.,0.001,0.1,0.,0.1,0.099,0.,0.099,0.097,0.,0.097
4000,0.002,0.,0.002,0.106,0.,0.106,0.105,0.,0.105,0.103,0.,0.103
4100,0.004,0.,0.004,0.112,0.,0.112,0.109,0.,0.109,0.107,0.,0.107
4200,0.004,0.,0.004,0.118,0.,0.118,0.115,0.,0.115,0.113,0.,0.113
4300,0.004,0.,0.004,0.124,0.,0.124,0.121,0.,0.121,0.119,0.,0.119
4400,0.004,0.,0.004,0.129,0.,0.129,0.126,0.,0.126,0.125,0.,0.125
4500,0.012,0.,0.012,0.143,0.,0.143,0.134,0.,0.134,0.131,0.,0.131
4600,0.013,0.,0.013,0.151,0.,0.151,0.139,0.,0.139,0.137,0.,0.137
4700,0.011,0.,0.011,0.156,0.,0.156,0.147,0.,0.147,0.145,0.,0.145
4800,0.011,0.,0.011,0.16,0.,0.16,0.151,0.,0.151,0.148,0.,0.148
4900,0.011,0.,0.011,0.168,0.,0.168,0.16,0.,0.16,0.156,0.,0.156
