param-n,build-real,build-sys,build-user,build-and-refine-real,build-and-refine-sys,build-and-refine-user,refine-real,refine-sys,refine-user,to-constr-real,to-constr-sys,to-constr-user,type-of-real,type-of-sys,type-of-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
100,0.001,0.,0.001,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.
200,0.003,0.,0.003,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.,0.,0.
300,0.046,0.,0.046,0.085,0.,0.085,0.,0.,0.,0.001,0.,0.001,0.036,0.,0.036
400,0.006,0.,0.006,0.053,0.003,0.049,0.,0.,0.,0.002,0.,0.002,0.043,0.003,0.04
500,0.007,0.,0.007,0.019,0.,0.019,0.001,0.,0.001,0.003,0.,0.003,0.007,0.,0.007
600,0.009,0.,0.009,0.038,0.,0.038,0.001,0.,0.001,0.004,0.,0.004,0.022,0.,0.022
700,0.011,0.,0.011,0.031,0.,0.031,0.002,0.,0.002,0.005,0.,0.005,0.012,0.,0.012
800,0.012,0.,0.012,0.059,0.,0.059,0.003,0.,0.003,0.007,0.,0.007,0.035,0.,0.035
900,0.014,0.,0.014,0.046,0.,0.046,0.004,0.,0.004,0.009,0.,0.009,0.017,0.,0.017
1000,0.016,0.,0.016,0.055,0.,0.055,0.005,0.,0.005,0.011,0.,0.011,0.021,0.,0.021
1100,0.017,0.,0.017,0.063,0.003,0.06,0.006,0.,0.006,0.013,0.,0.013,0.025,0.003,0.021
1200,0.019,0.,0.019,0.074,0.,0.074,0.007,0.,0.007,0.016,0.,0.016,0.03,0.,0.03
1300,0.02,0.,0.02,0.085,0.004,0.081,0.009,0.,0.009,0.019,0.003,0.015,0.035,0.,0.035
1400,0.022,0.,0.022,0.107,0.,0.107,0.011,0.,0.011,0.022,0.,0.022,0.051,0.,0.051
1500,0.024,0.,0.024,0.108,0.007,0.1,0.012,0.,0.012,0.025,0.003,0.021,0.045,0.003,0.041
1600,0.039,0.,0.039,0.137,0.003,0.134,0.014,0.,0.014,0.031,0.003,0.027,0.052,0.,0.052
1700,0.042,0.,0.042,0.152,0.003,0.148,0.016,0.,0.016,0.033,0.003,0.029,0.059,0.,0.059
1800,0.044,0.,0.044,0.2,0.008,0.191,0.018,0.,0.018,0.034,0.008,0.026,0.102,0.,0.102
1900,0.03,0.,0.03,0.17,0.003,0.167,0.02,0.,0.02,0.043,0.003,0.039,0.076,0.,0.076
2000,0.08,0.,0.08,0.235,0.007,0.228,0.023,0.,0.023,0.047,0.003,0.043,0.084,0.004,0.08
2100,0.051,0.,0.051,0.225,0.,0.225,0.026,0.,0.026,0.053,0.,0.052,0.095,0.,0.095
2200,0.035,0.,0.035,0.229,0.008,0.221,0.028,0.,0.028,0.059,0.003,0.055,0.106,0.004,0.101
2300,0.043,0.,0.043,0.257,0.003,0.253,0.031,0.,0.031,0.063,0.,0.063,0.119,0.003,0.115
2400,0.047,0.,0.047,0.278,0.,0.278,0.034,0.,0.034,0.069,0.,0.069,0.127,0.,0.127
2500,0.068,0.,0.068,0.314,0.,0.314,0.037,0.,0.037,0.067,0.,0.067,0.14,0.,0.14
