param-n,cbn-real,cbn-sys,cbn-user,repeat-destruct-real,repeat-destruct-sys,repeat-destruct-user
0,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.
3,0.,0.,0.,0.001,0.001,0.
4,0.,0.,0.,0.002,0.002,0.
5,0.,0.,0.,0.003,0.002,0.001
6,0.,0.,0.,0.005,0.,0.005
7,0.,0.,0.,0.007,0.,0.007
8,0.,0.,0.,0.01,0.,0.01
9,0.,0.,0.,0.064,0.003,0.06
10,0.,0.,0.,0.01,0.,0.01
11,0.,0.,0.,0.013,0.,0.013
12,0.,0.,0.,0.017,0.,0.017
13,0.,0.,0.,0.019,0.,0.019
14,0.,0.,0.,0.023,0.,0.023
15,0.,0.,0.,0.029,0.,0.029
16,0.,0.,0.,0.035,0.,0.035
17,0.,0.,0.,0.041,0.,0.041
18,0.,0.,0.,0.048,0.,0.048
19,0.,0.,0.,0.057,0.,0.057
20,0.,0.,0.,0.065,0.,0.064
21,0.,0.,0.,0.076,0.,0.076
22,0.,0.,0.,0.089,0.,0.089
23,0.,0.,0.,0.102,0.003,0.098
24,0.,0.,0.,0.114,0.,0.114
25,0.,0.,0.,0.13,0.,0.13
26,0.,0.,0.,0.141,0.,0.141
27,0.,0.,0.,0.165,0.,0.165
28,0.,0.,0.,0.18,0.,0.179
29,0.,0.,0.,0.2,0.,0.199
30,0.,0.,0.,0.269,0.012,0.257
31,0.,0.,0.,0.233,0.,0.232
32,0.,0.,0.,0.262,0.003,0.259
33,0.,0.,0.,0.287,0.,0.287
34,0.,0.,0.,0.312,0.,0.312
35,0.,0.,0.,0.34,0.003,0.336
36,0.,0.,0.,0.372,0.007,0.364
37,0.,0.,0.,0.407,0.,0.407
38,0.,0.,0.,0.437,0.,0.437
39,0.,0.,0.,0.473,0.,0.473
40,0.,0.,0.,0.513,0.,0.513
41,0.,0.,0.,0.543,0.003,0.539
42,0.,0.,0.,0.589,0.,0.589
43,0.,0.,0.,0.668,0.,0.668
44,0.,0.,0.,0.717,0.012,0.705
45,0.,0.,0.,0.771,0.003,0.767
46,0.,0.,0.,0.835,0.015,0.82
47,0.,0.,0.,0.911,0.003,0.907
48,0.,0.,0.,0.975,0.007,0.967
49,0.,0.,0.,1.038,0.,1.038
50,0.,0.,0.,1.097,0.,1.097
51,0.,0.,0.,1.173,0.003,1.169
52,0.,0.,0.,1.246,0.003,1.242
53,0.,0.,0.,1.317,0.008,1.309
54,0.,0.,0.,1.407,0.,1.407
55,0.,0.,0.,1.495,0.,1.495
56,0.,0.,0.,1.597,0.,1.596
57,0.,0.,0.,1.698,0.003,1.694
58,0.,0.,0.,1.774,0.,1.774
59,0.,0.,0.,1.882,0.,1.882
60,0.,0.,0.,2.002,0.003,1.997
61,0.,0.,0.,2.121,0.,2.121
62,0.,0.,0.,2.262,0.003,2.258
63,0.,0.,0.,2.393,0.,2.393
64,0.,0.,0.,2.479,0.,2.479
