param-n,cbn-real,cbn-sys,cbn-user,repeat-destruct-real,repeat-destruct-sys,repeat-destruct-user
0,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.001,0.,0.001
3,0.,0.,0.,0.002,0.,0.002
4,0.,0.,0.,0.005,0.,0.005
5,0.,0.,0.,0.013,0.007,0.005
6,0.,0.,0.,0.07,0.003,0.067
7,0.,0.,0.,0.043,0.,0.043
8,0.,0.,0.,0.105,0.,0.105
9,0.,0.,0.,0.251,0.004,0.247
10,0.,0.,0.,0.621,0.003,0.617
11,0.001,0.001,0.,1.555,0.004,1.551
12,0.002,0.,0.002,3.653,0.012,3.641
13,0.004,0.,0.004,8.598,0.032,8.566
14,0.01,0.,0.01,19.856,0.075,19.779
15,0.008,0.,0.008,42.438,0.055,42.381
16,0.028,0.,0.028,91.486,0.147,91.337
