param-n cbn-real cbn-sys cbn-user repeat-destruct-real repeat-destruct-sys repeat-destruct-user
0 0. 0. 0. 0. 0. 0.
1 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0.001 0.001 0.
3 0. 0. 0. 0.001 0.001 0.
4 0. 0. 0. 0.003 0. 0.003
5 0. 0. 0. 0.004 0. 0.004
6 0. 0. 0. 0.006 0. 0.006
7 0. 0. 0. 0.009 0. 0.009
8 0. 0. 0. 0.013 0.008 0.005
9 0. 0. 0. 0.017 0. 0.017
10 0. 0. 0. 0.013 0. 0.013
11 0. 0. 0. 0.017 0. 0.017
12 0. 0. 0. 0.023 0. 0.023
13 0. 0. 0. 0.027 0. 0.027
14 0. 0. 0. 0.034 0. 0.034
15 0. 0. 0. 0.042 0. 0.042
16 0. 0. 0. 0.064 0. 0.059
17 0. 0. 0. 0.062 0. 0.062
18 0. 0. 0. 0.076 0. 0.076
19 0. 0. 0. 0.087 0. 0.087
20 0. 0. 0. 0.097 0. 0.097
21 0. 0. 0. 0.115 0. 0.115
22 0. 0. 0. 0.142 0. 0.135
23 0. 0. 0. 0.154 0. 0.154
24 0. 0. 0. 0.174 0. 0.174
25 0. 0. 0. 0.193 0. 0.193
26 0. 0. 0. 0.224 0. 0.224
27 0. 0. 0. 0.256 0.003 0.246
28 0. 0. 0. 0.281 0. 0.28
29 0. 0. 0. 0.31 0. 0.31
30 0. 0. 0. 0.346 0. 0.346
31 0. 0. 0. 0.387 0. 0.387
32 0. 0. 0. 0.424 0. 0.424
33 0. 0. 0. 0.468 0.004 0.464
34 0. 0. 0. 0.519 0. 0.519
35 0. 0. 0. 0.561 0. 0.561
36 0. 0. 0. 0.619 0. 0.619
37 0. 0. 0. 0.675 0. 0.675
38 0. 0. 0. 0.733 0.007 0.725
39 0. 0. 0. 0.805 0.007 0.797
40 0. 0. 0. 0.95 0.039 0.91
41 0. 0. 0. 0.962 0. 0.961
42 0. 0. 0. 1.038 0. 1.038
43 0. 0. 0. 1.135 0. 1.135
44 0. 0. 0. 1.196 0. 1.196
45 0. 0. 0. 1.295 0.003 1.292
46 0. 0. 0. 1.386 0. 1.386
47 0. 0. 0. 1.469 0. 1.469
48 0. 0. 0. 1.606 0. 1.606
49 0. 0. 0. 1.713 0.015 1.697
50 0. 0. 0. 1.811 0. 1.811
51 0. 0. 0. 1.937 0.004 1.933
52 0. 0. 0. 2.044 0. 2.044
53 0. 0. 0. 2.212 0. 2.212
54 0. 0. 0. 2.361 0. 2.36
55 0. 0. 0. 2.495 0. 2.495
56 0. 0. 0. 2.634 0. 2.633
57 0. 0. 0. 2.793 0.003 2.789
58 0. 0. 0. 3.022 0. 3.021
59 0. 0. 0. 3.163 0. 3.163
60 0. 0. 0. 3.328 0.002 3.325
61 0. 0. 0. 3.523 0. 3.523
62 0. 0. 0. 3.761 0. 3.76
63 0. 0. 0. 3.95 0. 3.95
64 0. 0. 0. 4.153 0. 4.153
65 0. 0. 0. 4.396 0. 4.396
66 0. 0. 0. 4.641 0. 4.64
67 0. 0. 0. 4.841 0. 4.841
68 0. 0. 0. 5.161 0. 5.161
69 0. 0. 0. 5.373 0. 5.373
70 0. 0. 0. 5.642 0. 5.642
71 0. 0. 0. 5.78 0.002 5.777
72 0. 0. 0. 6.039 0. 6.039
73 0. 0. 0. 6.389 0. 6.389
74 0. 0. 0. 6.646 0. 6.646
75 0. 0. 0. 7.012 0.003 7.008
76 0. 0. 0. 7.289 0. 7.289
77 0. 0. 0. 7.665 0. 7.665
78 0. 0. 0. 8.017 0. 8.017
79 0. 0. 0. 8.372 0. 8.372
80 0. 0. 0. 8.744 0. 8.744
81 0. 0. 0. 9.061 0. 9.061
82 0. 0. 0. 9.305 0. 9.305
83 0. 0. 0. 9.716 0. 9.716
84 0. 0. 0. 10.11 0. 10.11
85 0. 0. 0. 10.461 0. 10.461
86 0. 0. 0. 10.888 0. 10.888
