param-n cbn-real cbn-sys cbn-user repeat-destruct-real repeat-destruct-sys repeat-destruct-user
0 0. 0. 0. 0. 0. 0.
1 0. 0. 0. 0. 0. 0.
2 0. 0. 0. 0.001 0.001 0.
3 0. 0. 0. 0.002 0.002 0.
4 0. 0. 0. 0.003 0.001 0.001
5 0. 0. 0. 0.006 0.004 0.001
6 0. 0. 0. 0.009 0.009 0.
7 0. 0. 0. 0.013 0.009 0.003
8 0. 0. 0. 0.018 0. 0.018
9 0. 0. 0. 0.072 0.007 0.064
10 0. 0. 0. 0.019 0. 0.019
11 0. 0. 0. 0.027 0. 0.027
12 0. 0. 0. 0.032 0. 0.032
13 0. 0. 0. 0.04 0. 0.04
14 0. 0. 0. 0.05 0. 0.05
15 0. 0. 0. 0.061 0. 0.061
16 0. 0. 0. 0.073 0. 0.073
17 0. 0. 0. 0.088 0. 0.088
18 0. 0. 0. 0.107 0. 0.107
19 0. 0. 0. 0.124 0. 0.124
20 0. 0. 0. 0.145 0.003 0.142
21 0. 0. 0. 0.177 0. 0.177
22 0. 0. 0. 0.196 0. 0.196
23 0. 0. 0. 0.227 0.003 0.223
24 0. 0. 0. 0.261 0.003 0.257
25 0. 0. 0. 0.291 0.003 0.287
26 0. 0. 0. 0.33 0. 0.33
27 0. 0. 0. 0.373 0. 0.373
28 0.001 0. 0.001 0.416 0. 0.416
29 0.001 0. 0.001 0.459 0.003 0.455
30 0.001 0. 0.001 0.58 0.04 0.536
31 0.001 0. 0.001 0.565 0.003 0.561
32 0.001 0. 0.001 0.619 0. 0.619
33 0.001 0. 0.001 0.681 0.003 0.677
34 0.001 0. 0.001 0.728 0. 0.728
35 0.002 0. 0.002 0.799 0.004 0.795
36 0.002 0. 0.002 0.866 0. 0.866
37 0.002 0. 0.002 0.94 0.003 0.936
38 0.002 0. 0.002 1.057 0.008 1.049
39 0.002 0. 0.002 1.144 0.004 1.14
40 0.003 0. 0.003 1.262 0.011 1.25
41 0.003 0. 0.003 1.337 0.004 1.333
42 0.003 0. 0.003 1.415 0. 1.415
43 0.003 0. 0.003 1.563 0. 1.563
44 0.004 0. 0.004 1.679 0.003 1.675
45 0.004 0. 0.004 1.747 0.003 1.743
46 0.004 0. 0.004 1.876 0.007 1.868
47 0.004 0. 0.004 2.046 0. 2.046
48 0.005 0. 0.005 2.221 0. 2.221
49 0.005 0. 0.005 2.32 0. 2.32
50 0.005 0. 0.005 2.477 0. 2.477
51 0.006 0. 0.006 2.668 0. 2.668
52 0.006 0. 0.006 2.802 0. 2.802
53 0.006 0. 0.006 3.066 0. 3.066
54 0.007 0. 0.007 3.243 0. 3.243
55 0.007 0. 0.007 3.399 0. 3.399
56 0.008 0. 0.008 3.707 0. 3.707
57 0.008 0. 0.008 3.886 0. 3.886
58 0.008 0. 0.008 4.186 0.007 4.178
59 0.009 0.003 0.005 4.364 0.004 4.36
60 0.009 0. 0.009 4.596 0. 4.596
61 0.01 0. 0.01 4.85 0. 4.85
62 0.01 0. 0.01 5.222 0. 5.222
63 0.011 0. 0.011 5.426 0. 5.426
64 0.011 0. 0.011 5.789 0. 5.789
