param-n,cbn-real,cbn-sys,cbn-user,repeat-destruct-real,repeat-destruct-sys,repeat-destruct-user
0,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.001,0.,0.001
3,0.,0.,0.,0.002,0.,0.002
4,0.,0.,0.,0.005,0.,0.005
5,0.,0.,0.,0.008,0.,0.008
6,0.,0.,0.,0.013,0.003,0.01
7,0.,0.,0.,0.068,0.012,0.056
8,0.,0.,0.,0.016,0.,0.016
9,0.,0.,0.,0.024,0.,0.024
10,0.,0.,0.,0.029,0.,0.029
11,0.,0.,0.,0.04,0.,0.04
12,0.,0.,0.,0.052,0.,0.052
13,0.,0.,0.,0.068,0.,0.068
14,0.,0.,0.,0.088,0.,0.088
15,0.,0.,0.,0.109,0.,0.109
16,0.,0.,0.,0.133,0.003,0.129
17,0.,0.,0.,0.153,0.,0.152
18,0.,0.,0.,0.189,0.,0.189
19,0.,0.,0.,0.219,0.,0.219
20,0.,0.,0.,0.259,0.,0.259
21,0.,0.,0.,0.307,0.003,0.303
22,0.,0.,0.,0.36,0.,0.36
23,0.001,0.,0.001,0.408,0.,0.408
24,0.001,0.,0.001,0.462,0.,0.462
25,0.001,0.,0.001,0.528,0.003,0.524
26,0.001,0.,0.001,0.602,0.,0.602
27,0.001,0.,0.001,0.678,0.,0.678
28,0.001,0.,0.001,0.762,0.,0.761
29,0.002,0.,0.002,0.862,0.003,0.858
30,0.002,0.,0.001,1.049,0.039,1.009
31,0.002,0.,0.002,1.102,0.,1.102
32,0.002,0.,0.002,1.225,0.003,1.221
33,0.003,0.,0.003,1.337,0.004,1.333
34,0.003,0.,0.003,1.472,0.,1.472
35,0.003,0.,0.003,1.624,0.,1.624
36,0.003,0.003,0.,1.851,0.012,1.839
37,0.004,0.,0.004,1.986,0.,1.986
38,0.004,0.,0.004,2.151,0.,2.151
39,0.005,0.,0.005,2.362,0.,2.362
40,0.005,0.,0.005,2.618,0.,2.618
41,0.005,0.,0.005,2.819,0.,2.819
42,0.006,0.,0.006,3.014,0.,3.014
43,0.006,0.,0.006,3.319,0.,3.318
44,0.007,0.,0.007,3.55,0.02,3.53
45,0.007,0.,0.007,3.834,0.,3.83
46,0.007,0.,0.007,4.16,0.,4.16
47,0.008,0.,0.008,4.403,0.,4.403
48,0.009,0.,0.009,4.767,0.,4.767
49,0.009,0.,0.009,5.021,0.,5.021
50,0.009,0.,0.009,5.504,0.,5.504
51,0.01,0.,0.01,5.809,0.,5.808
52,0.01,0.,0.01,6.125,0.,6.125
53,0.012,0.,0.012,6.663,0.,6.663
54,0.012,0.,0.012,7.166,0.015,7.15
55,0.013,0.,0.013,7.379,0.,7.379
56,0.013,0.,0.013,7.929,0.,7.929
57,0.014,0.,0.014,8.496,0.003,8.492
58,0.015,0.,0.015,8.936,0.,8.936
59,0.011,0.,0.011,9.478,0.,9.478
60,0.017,0.,0.017,9.98,0.,9.98
61,0.018,0.,0.018,10.566,0.003,10.562
62,0.018,0.,0.018,11.379,0.,11.379
63,0.02,0.,0.02,11.875,0.,11.875
64,0.02,0.,0.02,12.828,0.,12.828
