param-n,open-constr-True-1000-real,open-constr-True-1000-sys,open-constr-True-1000-user
0,0.025,0.011,0.014
1,0.077,0.012,0.065
2,0.018,0.,0.018
3,0.019,0.,0.019
4,0.02,0.,0.02
5,0.02,0.,0.02
6,0.027,0.,0.027
7,0.021,0.,0.021
8,0.022,0.,0.022
9,0.023,0.,0.023
10,0.024,0.,0.024
11,0.024,0.,0.024
12,0.024,0.,0.024
13,0.024,0.,0.024
14,0.031,0.,0.031
15,0.025,0.,0.025
16,0.024,0.,0.024
17,0.024,0.,0.024
18,0.025,0.,0.025
19,0.025,0.,0.025
20,0.025,0.,0.025
21,0.029,0.,0.029
22,0.026,0.,0.026
23,0.027,0.,0.027
24,0.027,0.,0.027
25,0.027,0.,0.027
26,0.027,0.,0.027
27,0.027,0.,0.027
28,0.031,0.,0.031
29,0.029,0.,0.029
30,0.028,0.,0.028
31,0.03,0.,0.03
32,0.029,0.,0.029
33,0.029,0.,0.029
34,0.038,0.,0.038
35,0.03,0.,0.03
36,0.029,0.,0.029
37,0.03,0.,0.03
38,0.03,0.,0.03
39,0.03,0.,0.03
40,0.036,0.,0.036
41,0.031,0.,0.031
42,0.036,0.,0.036
43,0.031,0.,0.031
44,0.032,0.,0.032
45,0.045,0.,0.045
46,0.033,0.,0.033
47,0.039,0.007,0.031
48,0.033,0.,0.033
49,0.033,0.,0.033
50,0.048,0.,0.048
51,0.035,0.,0.035
52,0.039,0.004,0.035
53,0.035,0.,0.035
54,0.044,0.,0.044
55,0.035,0.,0.035
56,0.047,0.003,0.043
57,0.037,0.,0.037
58,0.037,0.,0.037
59,0.057,0.,0.057
60,0.037,0.,0.037
61,0.038,0.,0.038
62,0.038,0.,0.038
63,0.044,0.,0.044
64,0.038,0.,0.038
65,0.041,0.,0.041
66,0.04,0.,0.04
67,0.045,0.,0.045
68,0.04,0.,0.04
69,0.043,0.,0.043
70,0.04,0.,0.04
71,0.044,0.,0.044
72,0.041,0.,0.041
73,0.042,0.,0.042
74,0.044,0.,0.044
75,0.042,0.,0.042
76,0.052,0.,0.052
77,0.041,0.,0.041
78,0.046,0.,0.046
79,0.042,0.,0.042
80,0.046,0.,0.046
81,0.043,0.,0.043
82,0.044,0.,0.044
83,0.055,0.,0.055
84,0.044,0.,0.044
85,0.048,0.,0.048
86,0.046,0.,0.046
87,0.047,0.,0.047
88,0.047,0.,0.047
89,0.046,0.,0.046
90,0.05,0.003,0.046
91,0.051,0.,0.051
92,0.047,0.,0.047
93,0.054,0.,0.054
94,0.049,0.,0.049
95,0.055,0.,0.055
96,0.059,0.003,0.055
97,0.048,0.,0.048
98,0.057,0.,0.057
99,0.059,0.007,0.051
100,0.049,0.,0.049
101,0.059,0.,0.059
102,0.059,0.,0.059
103,0.05,0.,0.05
104,0.051,0.,0.051
105,0.057,0.,0.057
106,0.071,0.,0.071
107,0.051,0.,0.051
108,0.087,0.,0.087
109,0.065,0.,0.065
110,0.053,0.,0.053
111,0.079,0.,0.079
112,0.059,0.,0.059
113,0.069,0.,0.069
114,0.054,0.,0.054
115,0.055,0.,0.055
116,0.057,0.,0.057
117,0.069,0.,0.069
118,0.054,0.,0.054
119,0.056,0.,0.056
120,0.06,0.,0.06
121,0.064,0.,0.064
122,0.078,0.,0.078
123,0.055,0.,0.055
124,0.061,0.,0.061
125,0.063,0.,0.063
126,0.057,0.,0.057
127,0.078,0.,0.078
128,0.057,0.002,0.055
129,0.067,0.,0.067
130,0.062,0.004,0.058
131,0.062,0.,0.062
132,0.072,0.,0.072
133,0.069,0.,0.069
134,0.085,0.,0.085
135,0.06,0.,0.06
136,0.077,0.,0.077
137,0.063,0.,0.063
138,0.066,0.,0.066
139,0.069,0.,0.069
140,0.071,0.,0.071
141,0.078,0.,0.078
142,0.094,0.,0.094
143,0.062,0.,0.062
144,0.063,0.,0.063
145,0.064,0.,0.064
146,0.068,0.,0.068
147,0.067,0.,0.067
148,0.078,0.,0.078
149,0.069,0.,0.069
150,0.086,0.,0.086
151,0.073,0.,0.073
152,0.082,0.,0.082
153,0.079,0.,0.079
154,0.071,0.,0.071
155,0.086,0.011,0.074
156,0.065,0.,0.065
157,0.09,0.003,0.086
158,0.079,0.,0.079
159,0.093,0.,0.093
160,0.084,0.,0.084
161,0.089,0.,0.089
162,0.088,0.,0.088
163,0.09,0.,0.09
164,0.086,0.,0.086
165,0.09,0.,0.09
166,0.098,0.,0.098
167,0.118,0.,0.118
168,0.087,0.,0.087
169,0.112,0.,0.112
170,0.085,0.,0.085
171,0.094,0.,0.094
172,0.082,0.,0.082
