param-n,constr-final-goal-make-final-goal-real,constr-final-goal-make-final-goal-sys,constr-final-goal-make-final-goal-user,everything-real,everything-sys,everything-user,make-Build-T-real,make-Build-T-sys,make-Build-T-user,make-T-real,make-T-sys,make-T-user,make-T-eta-real,make-T-eta-sys,make-T-eta-user,make-T-projs-real,make-T-projs-sys,make-T-projs-user,make-T-rect-real,make-T-rect-sys,make-T-rect-user,make-Ts-real,make-Ts-sys,make-Ts-user,make-f-ty-real,make-f-ty-sys,make-f-ty-user,making-real,making-sys,making-user
0,0.,0.,0.,0.007,0.002,0.005,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.001,0.001,0.,0.001,0.,0.001,0.,0.,0.,0.007,0.002,0.004
1,0.,0.,0.,0.012,0.001,0.01,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.004,0.001,0.003,0.,0.,0.,0.011,0.001,0.01
2,0.,0.,0.,0.016,0.,0.016,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.007,0.,0.007,0.,0.,0.,0.015,0.,0.015
3,0.,0.,0.,0.021,0.008,0.012,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.003,0.,0.003,0.002,0.002,0.,0.01,0.003,0.006,0.001,0.001,0.,0.019,0.007,0.012
4,0.,0.,0.,0.073,0.011,0.06,0.05,0.011,0.038,0.,0.,0.,0.001,0.,0.,0.004,0.,0.004,0.002,0.,0.002,0.012,0.,0.012,0.,0.,0.,0.072,0.011,0.059
5,0.,0.,0.,0.02,0.,0.019,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.003,0.,0.003,0.002,0.,0.002,0.01,0.,0.01,0.001,0.,0.001,0.019,0.,0.019
6,0.,0.,0.,0.023,0.,0.023,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.004,0.,0.004,0.002,0.,0.002,0.012,0.,0.012,0.001,0.,0.001,0.022,0.,0.022
7,0.,0.,0.,0.031,0.,0.031,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.009,0.,0.009,0.002,0.,0.002,0.015,0.,0.015,0.001,0.,0.001,0.03,0.,0.03
8,0.,0.,0.,0.03,0.,0.03,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.005,0.,0.005,0.003,0.,0.003,0.017,0.,0.017,0.001,0.,0.001,0.029,0.,0.029
9,0.,0.,0.,0.041,0.,0.041,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.006,0.,0.006,0.011,0.,0.011,0.019,0.,0.019,0.001,0.,0.001,0.04,0.,0.04
10,0.,0.,0.,0.038,0.,0.038,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.007,0.,0.007,0.003,0.,0.003,0.022,0.,0.022,0.001,0.,0.001,0.037,0.,0.037
11,0.,0.,0.,0.049,0.,0.049,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.014,0.,0.014,0.003,0.,0.003,0.026,0.,0.026,0.002,0.,0.002,0.047,0.,0.047
12,0.,0.,0.,0.047,0.003,0.043,0.001,0.001,0.,0.,0.,0.,0.001,0.001,0.,0.009,0.,0.009,0.004,0.,0.003,0.028,0.,0.028,0.002,0.,0.002,0.045,0.003,0.041
13,0.,0.,0.,0.059,0.,0.059,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.01,0.,0.01,0.004,0.,0.004,0.039,0.,0.039,0.002,0.,0.002,0.058,0.,0.058
14,0.,0.,0.,0.063,0.,0.063,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.017,0.,0.017,0.004,0.,0.004,0.035,0.,0.035,0.002,0.,0.002,0.061,0.,0.061
15,0.,0.,0.,0.069,0.,0.069,0.002,0.,0.002,0.,0.,0.,0.008,0.,0.008,0.012,0.,0.012,0.004,0.,0.004,0.038,0.,0.038,0.002,0.,0.002,0.067,0.,0.067
16,0.,0.,0.,0.077,0.,0.077,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.014,0.,0.014,0.005,0.,0.005,0.043,0.,0.043,0.003,0.,0.003,0.067,0.,0.067
17,0.,0.,0.,0.074,0.,0.074,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.015,0.,0.015,0.006,0.,0.006,0.046,0.,0.046,0.003,0.,0.003,0.072,0.,0.072
18,0.,0.,0.,0.091,0.,0.091,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.016,0.,0.016,0.005,0.,0.005,0.062,0.,0.062,0.003,0.,0.003,0.089,0.,0.089
19,0.,0.,0.,0.094,0.,0.094,0.002,0.,0.002,0.,0.,0.,0.002,0.,0.002,0.019,0.,0.019,0.006,0.,0.006,0.057,0.,0.057,0.003,0.,0.003,0.089,0.,0.089
20,0.,0.,0.,0.105,0.007,0.097,0.012,0.003,0.008,0.,0.,0.,0.002,0.,0.001,0.02,0.,0.02,0.006,0.,0.006,0.061,0.003,0.057,0.004,0.,0.004,0.103,0.007,0.095
21,0.,0.,0.,0.115,0.,0.115,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.033,0.,0.033,0.006,0.,0.006,0.066,0.,0.066,0.004,0.,0.004,0.113,0.,0.113
22,0.,0.,0.,0.119,0.003,0.115,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.023,0.,0.023,0.006,0.,0.006,0.08,0.003,0.076,0.004,0.,0.004,0.117,0.003,0.113
23,0.,0.,0.,0.141,0.,0.141,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.027,0.,0.027,0.007,0.,0.007,0.087,0.,0.087,0.004,0.,0.004,0.128,0.,0.128
24,0.,0.,0.,0.142,0.003,0.138,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.041,0.,0.041,0.007,0.,0.007,0.083,0.003,0.079,0.004,0.,0.004,0.139,0.003,0.135
25,0.,0.,0.,0.155,0.,0.155,0.004,0.,0.004,0.,0.,0.,0.002,0.,0.002,0.032,0.,0.032,0.008,0.,0.008,0.098,0.,0.098,0.005,0.,0.005,0.146,0.,0.146
26,0.,0.,0.,0.157,0.,0.157,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.04,0.,0.04,0.008,0.,0.008,0.099,0.,0.099,0.005,0.,0.005,0.155,0.,0.155
27,0.,0.,0.,0.187,0.,0.187,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.047,0.,0.047,0.008,0.,0.008,0.122,0.,0.122,0.005,0.,0.005,0.185,0.,0.185
28,0.,0.,0.,0.195,0.007,0.187,0.004,0.,0.004,0.,0.,0.,0.002,0.,0.002,0.038,0.,0.038,0.019,0.007,0.011,0.126,0.,0.126,0.005,0.,0.005,0.193,0.007,0.185
29,0.,0.,0.,0.188,0.,0.188,0.004,0.,0.004,0.,0.,0.,0.002,0.,0.002,0.041,0.,0.041,0.009,0.,0.009,0.126,0.,0.126,0.005,0.,0.005,0.185,0.,0.185
30,0.,0.,0.,0.2,0.,0.2,0.004,0.,0.004,0.,0.,0.,0.003,0.,0.003,0.046,0.,0.046,0.009,0.,0.009,0.132,0.,0.132,0.006,0.,0.006,0.197,0.,0.197
31,0.,0.,0.,0.225,0.003,0.221,0.005,0.,0.005,0.,0.,0.,0.003,0.,0.003,0.048,0.,0.048,0.009,0.,0.009,0.143,0.,0.143,0.006,0.,0.006,0.21,0.,0.21
32,0.,0.,0.,0.246,0.,0.246,0.005,0.,0.005,0.,0.,0.,0.003,0.,0.003,0.055,0.,0.055,0.023,0.,0.023,0.155,0.,0.155,0.02,0.,0.02,0.243,0.,0.243
33,0.,0.,0.,0.256,0.003,0.252,0.005,0.,0.005,0.,0.,0.,0.002,0.,0.002,0.069,0.003,0.065,0.01,0.,0.01,0.165,0.,0.165,0.006,0.,0.006,0.253,0.003,0.249
34,0.,0.,0.,0.268,0.,0.268,0.005,0.,0.005,0.,0.,0.,0.003,0.,0.003,0.067,0.,0.067,0.01,0.,0.01,0.177,0.,0.177,0.006,0.,0.006,0.265,0.,0.265
35,0.,0.,0.,0.281,0.,0.281,0.009,0.,0.009,0.,0.,0.,0.003,0.,0.003,0.062,0.,0.062,0.01,0.,0.01,0.19,0.,0.19,0.007,0.,0.007,0.277,0.,0.277
36,0.,0.,0.,0.289,0.,0.289,0.006,0.,0.006,0.,0.,0.,0.003,0.,0.003,0.07,0.,0.07,0.011,0.,0.011,0.193,0.,0.193,0.007,0.,0.007,0.285,0.,0.285
37,0.,0.,0.,0.318,0.003,0.314,0.006,0.,0.006,0.,0.,0.,0.003,0.,0.003,0.083,0.003,0.079,0.011,0.,0.011,0.21,0.,0.21,0.007,0.,0.007,0.314,0.003,0.31
38,0.,0.,0.,0.353,0.,0.353,0.006,0.,0.006,0.,0.,0.,0.003,0.,0.003,0.097,0.,0.097,0.011,0.,0.011,0.23,0.,0.23,0.007,0.,0.007,0.35,0.,0.35
39,0.,0.,0.,0.4,0.,0.4,0.006,0.,0.006,0.,0.,0.,0.003,0.,0.003,0.102,0.,0.102,0.012,0.,0.012,0.27,0.,0.27,0.008,0.,0.008,0.397,0.,0.397
40,0.,0.,0.,0.399,0.,0.399,0.006,0.,0.006,0.,0.,0.,0.003,0.,0.003,0.111,0.,0.111,0.012,0.,0.012,0.261,0.,0.261,0.008,0.,0.008,0.395,0.,0.395
41,0.,0.,0.,0.429,0.,0.429,0.007,0.,0.007,0.,0.,0.,0.003,0.,0.003,0.113,0.,0.113,0.013,0.,0.013,0.286,0.,0.286,0.008,0.,0.008,0.425,0.,0.425
42,0.,0.,0.,0.45,0.,0.45,0.007,0.,0.007,0.,0.,0.,0.016,0.,0.016,0.104,0.,0.104,0.013,0.,0.013,0.303,0.,0.303,0.009,0.,0.009,0.446,0.,0.446
43,0.,0.,0.,0.47,0.003,0.466,0.007,0.,0.007,0.,0.,0.,0.003,0.,0.003,0.131,0.003,0.127,0.013,0.,0.013,0.309,0.,0.309,0.009,0.,0.009,0.467,0.003,0.463
44,0.,0.,0.,0.505,0.,0.505,0.007,0.,0.007,0.,0.,0.,0.003,0.,0.003,0.134,0.,0.134,0.013,0.,0.013,0.341,0.,0.341,0.009,0.,0.009,0.502,0.,0.502
45,0.,0.,0.,0.52,0.008,0.512,0.018,0.003,0.014,0.,0.,0.,0.003,0.,0.003,0.13,0.003,0.127,0.013,0.,0.013,0.348,0.,0.348,0.009,0.,0.009,0.517,0.008,0.509
46,0.,0.,0.,0.526,0.003,0.522,0.018,0.003,0.014,0.,0.,0.,0.004,0.,0.004,0.131,0.,0.131,0.014,0.,0.014,0.353,0.,0.353,0.009,0.,0.009,0.522,0.003,0.519
47,0.,0.,0.,0.567,0.,0.567,0.008,0.,0.008,0.,0.,0.,0.004,0.,0.004,0.156,0.,0.156,0.014,0.,0.014,0.379,0.,0.379,0.01,0.,0.01,0.563,0.,0.563
48,0.,0.,0.,0.588,0.,0.588,0.008,0.,0.008,0.,0.,0.,0.004,0.,0.004,0.159,0.,0.159,0.015,0.,0.015,0.392,0.,0.392,0.01,0.,0.01,0.58,0.,0.58
49,0.,0.,0.,0.633,0.,0.631,0.009,0.,0.009,0.,0.,0.,0.004,0.,0.004,0.182,0.,0.182,0.015,0.,0.015,0.413,0.,0.413,0.011,0.,0.011,0.629,0.,0.627
50,0.,0.,0.,0.693,0.,0.693,0.01,0.,0.01,0.,0.,0.,0.004,0.,0.004,0.191,0.,0.191,0.025,0.,0.025,0.456,0.,0.456,0.02,0.,0.02,0.689,0.,0.689
51,0.,0.,0.,0.723,0.,0.723,0.009,0.,0.009,0.,0.,0.,0.004,0.,0.004,0.199,0.,0.199,0.022,0.,0.022,0.482,0.,0.482,0.017,0.,0.017,0.718,0.,0.718
52,0.,0.,0.,0.772,0.,0.772,0.01,0.,0.01,0.,0.,0.,0.019,0.,0.019,0.207,0.,0.207,0.017,0.,0.017,0.512,0.,0.512,0.011,0.,0.011,0.767,0.,0.767
53,0.,0.,0.,0.812,0.,0.812,0.01,0.,0.01,0.,0.,0.,0.004,0.,0.004,0.228,0.,0.228,0.017,0.,0.017,0.546,0.,0.546,0.012,0.,0.012,0.808,0.,0.808
54,0.,0.,0.,0.863,0.,0.863,0.011,0.,0.011,0.,0.,0.,0.005,0.,0.005,0.234,0.,0.234,0.026,0.,0.026,0.58,0.,0.58,0.021,0.,0.021,0.858,0.,0.858
55,0.,0.,0.,0.905,0.003,0.901,0.011,0.,0.011,0.,0.,0.,0.005,0.,0.005,0.25,0.,0.25,0.018,0.,0.018,0.604,0.003,0.6,0.012,0.,0.012,0.89,0.003,0.887
56,0.,0.,0.,0.937,0.,0.937,0.012,0.,0.012,0.,0.,0.,0.005,0.,0.005,0.25,0.,0.25,0.018,0.,0.018,0.635,0.,0.635,0.013,0.,0.013,0.923,0.,0.923
57,0.,0.,0.,0.937,0.,0.937,0.011,0.,0.011,0.,0.,0.,0.005,0.,0.005,0.254,0.,0.254,0.029,0.,0.029,0.63,0.,0.63,0.024,0.,0.024,0.933,0.,0.933
58,0.,0.,0.,0.98,0.,0.98,0.012,0.,0.012,0.,0.,0.,0.005,0.,0.005,0.271,0.,0.271,0.019,0.,0.019,0.666,0.,0.666,0.013,0.,0.013,0.975,0.,0.975
59,0.,0.,0.,1.031,0.,1.031,0.012,0.,0.012,0.,0.,0.,0.005,0.,0.005,0.285,0.,0.285,0.023,0.,0.023,0.698,0.,0.698,0.017,0.,0.017,1.026,0.,1.026
60,0.,0.,0.,0.322,0.024,0.298,0.025,0.,0.025,0.,0.,0.,0.005,0.,0.005,0.055,0.,0.055,0.019,0.,0.019,0.209,0.024,0.185,0.014,0.,0.014,0.317,0.024,0.293
