param-n,build-real,build-sys,build-user,build-and-typecheck-real,build-and-typecheck-sys,build-and-typecheck-user,check-real,check-sys,check-user,refine-real,refine-sys,refine-user,type-real,type-sys,type-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
100,0.002,0.,0.002,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.
200,0.004,0.,0.004,0.007,0.,0.007,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
300,0.006,0.,0.006,0.012,0.,0.012,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002
400,0.008,0.,0.008,0.017,0.,0.017,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004
500,0.019,0.,0.019,0.032,0.,0.032,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006
600,0.013,0.,0.013,0.031,0.,0.031,0.009,0.,0.009,0.018,0.,0.018,0.009,0.,0.009
700,0.015,0.,0.015,0.039,0.,0.039,0.011,0.,0.011,0.012,0.,0.012,0.012,0.,0.012
800,0.017,0.,0.017,0.049,0.,0.049,0.016,0.,0.016,0.016,0.,0.016,0.016,0.,0.016
900,0.021,0.,0.021,0.061,0.,0.06,0.018,0.,0.018,0.018,0.,0.018,0.02,0.,0.02
1000,0.024,0.,0.024,0.074,0.,0.074,0.024,0.,0.024,0.025,0.,0.025,0.024,0.,0.024
1100,0.023,0.,0.023,0.085,0.,0.085,0.031,0.,0.031,0.031,0.,0.031,0.03,0.,0.03
1200,0.027,0.,0.027,0.102,0.,0.102,0.037,0.,0.037,0.037,0.,0.037,0.038,0.,0.038
1300,0.03,0.,0.03,0.116,0.,0.116,0.044,0.,0.044,0.045,0.,0.044,0.041,0.,0.041
1400,0.033,0.,0.033,0.133,0.,0.133,0.053,0.,0.053,0.05,0.,0.05,0.045,0.,0.045
1500,0.035,0.,0.035,0.162,0.,0.162,0.063,0.,0.063,0.059,0.,0.059,0.063,0.,0.063
1600,0.036,0.,0.036,0.18,0.,0.18,0.074,0.,0.074,0.075,0.,0.075,0.069,0.,0.069
1700,0.038,0.,0.038,0.211,0.003,0.207,0.086,0.,0.086,0.075,0.,0.074,0.086,0.003,0.082
1800,0.04,0.,0.04,0.225,0.,0.225,0.084,0.,0.084,0.098,0.,0.098,0.1,0.,0.1
1900,0.043,0.,0.043,0.249,0.,0.248,0.092,0.,0.092,0.096,0.,0.096,0.113,0.,0.113
2000,0.048,0.003,0.044,0.297,0.003,0.293,0.131,0.,0.13,0.128,0.,0.128,0.117,0.,0.117
2100,0.047,0.,0.047,0.324,0.,0.323,0.129,0.,0.128,0.147,0.,0.146,0.147,0.,0.146
2200,0.049,0.,0.048,0.267,0.,0.267,0.083,0.,0.083,0.13,0.,0.13,0.135,0.,0.135
2300,0.053,0.,0.052,0.387,0.,0.386,0.167,0.,0.167,0.151,0.,0.151,0.165,0.,0.165
2400,0.057,0.,0.057,0.425,0.,0.425,0.166,0.,0.166,0.205,0.,0.204,0.201,0.,0.201
2500,0.054,0.,0.054,0.458,0.,0.458,0.222,0.,0.222,0.202,0.,0.202,0.181,0.,0.18
2600,0.059,0.003,0.055,0.536,0.003,0.531,0.253,0.,0.253,0.247,0.,0.246,0.222,0.,0.222
