param-n,cbv-real,cbv-sys,cbv-user
0,0.,0.,0.
1,0.,0.,0.
2,0.,0.,0.
100,0.,0.,0.
200,0.,0.,0.
300,0.001,0.,0.001
400,0.017,0.,0.017
500,0.002,0.001,0.
600,0.003,0.,0.003
700,0.004,0.,0.004
800,0.005,0.,0.005
900,0.049,0.,0.049
1000,0.008,0.,0.008
1100,0.01,0.,0.01
1200,0.011,0.,0.011
1300,0.013,0.,0.013
1400,0.016,0.,0.016
1500,0.017,0.,0.017
1600,0.019,0.,0.019
1700,0.022,0.,0.022
1800,0.024,0.,0.024
1900,0.027,0.,0.027
2000,0.029,0.,0.029
2100,0.032,0.,0.032
2200,0.035,0.,0.035
2300,0.039,0.,0.039
2400,0.042,0.,0.042
2500,0.045,0.,0.045
2600,0.049,0.,0.049
2700,0.053,0.,0.053
2800,0.058,0.,0.058
2900,0.061,0.,0.061
3000,0.065,0.,0.065
3100,0.069,0.,0.069
3200,0.075,0.,0.075
3300,0.078,0.,0.078
3400,0.083,0.,0.083
3500,0.088,0.,0.088
3600,0.096,0.,0.096
3700,0.099,0.,0.099
3800,0.104,0.,0.104
3900,0.11,0.,0.11
4000,0.115,0.,0.115
4100,0.122,0.,0.122
4200,0.129,0.,0.129
4300,0.134,0.,0.134
4400,0.14,0.,0.14
4500,0.145,0.,0.145
4600,0.153,0.,0.153
4700,0.159,0.,0.159
4800,0.166,0.003,0.162
4900,0.178,0.003,0.174
5000,0.18,0.,0.18
5100,0.191,0.,0.191
5200,0.201,0.,0.201
5300,0.216,0.,0.216
5400,0.219,0.,0.219
5500,0.226,0.,0.226
5600,0.235,0.,0.235
5700,0.239,0.,0.239
5800,0.248,0.,0.248
5900,0.257,0.,0.257
6000,0.264,0.,0.264
6100,0.274,0.,0.274
6200,0.282,0.,0.282
6300,0.288,0.,0.288
6400,0.295,0.,0.295
6500,0.311,0.003,0.307
6600,0.317,0.,0.317
6700,0.328,0.,0.328
6800,0.345,0.,0.345
6900,0.352,0.003,0.348
7000,0.362,0.,0.362
7100,0.373,0.,0.373
7200,0.384,0.,0.384
7300,0.397,0.,0.397
7400,0.406,0.,0.406
7500,0.418,0.,0.418
7600,0.428,0.,0.428
7700,0.438,0.,0.438
7800,0.444,0.,0.444
7900,0.462,0.,0.462
8000,0.472,0.,0.472
8100,0.49,0.,0.49
8200,0.498,0.,0.498
8300,0.513,0.,0.513
8400,0.523,0.,0.523
8500,0.535,0.,0.535
8600,0.543,0.,0.543
8700,0.574,0.,0.574
8800,0.596,0.003,0.592
8900,0.598,0.,0.598
9000,0.618,0.,0.618
9100,0.628,0.004,0.624
9200,0.635,0.,0.635
9300,0.643,0.004,0.639
9400,0.659,0.003,0.656
9500,0.67,0.,0.67
9600,0.686,0.003,0.682
9700,0.703,0.,0.703
9800,0.72,0.,0.72
9900,0.726,0.,0.726
10000,0.747,0.,0.747
10100,0.761,0.,0.761
10200,0.777,0.,0.777
10300,0.785,0.,0.785
10400,0.801,0.,0.801
10500,0.82,0.,0.82
10600,0.833,0.,0.833
10700,0.855,0.,0.855
10800,0.886,0.,0.886
10900,0.902,0.,0.902
11000,0.911,0.,0.911
11100,0.925,0.,0.925
11200,0.939,0.,0.939
11300,0.953,0.,0.953
11400,0.974,0.,0.974
11500,0.989,0.,0.984
11600,1.001,0.,1.001
11700,1.021,0.,1.021
11800,1.046,0.,1.046
11900,1.055,0.,1.055
12000,0.93,0.,0.93
12100,0.933,0.,0.933
12200,0.947,0.,0.947
12300,0.964,0.003,0.96
12400,0.975,0.007,0.967
12500,0.993,0.007,0.985
12600,1.007,0.003,1.003
12700,1.027,0.,1.027
12800,1.031,0.003,1.027
12900,1.052,0.,1.052
13000,1.067,0.003,1.063
