param-n build-real build-sys build-user build-and-typecheck-real build-and-typecheck-sys build-and-typecheck-user check-real check-sys check-user refine-real refine-sys refine-user type-real type-sys type-user
0 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
100 0.002 0. 0.002 0.003 0. 0.003 0. 0. 0. 0. 0. 0. 0. 0. 0.
200 0.004 0. 0.004 0.007 0. 0.007 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
300 0.006 0. 0.006 0.011 0. 0.011 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
400 0.058 0. 0.058 0.066 0. 0.066 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
500 0.01 0. 0.01 0.022 0. 0.022 0.006 0. 0.006 0.006 0. 0.006 0.006 0. 0.006
600 0.011 0. 0.011 0.029 0. 0.029 0.008 0. 0.008 0.008 0. 0.008 0.008 0. 0.008
700 0.015 0. 0.015 0.037 0. 0.037 0.011 0. 0.011 0.011 0. 0.011 0.011 0. 0.011
800 0.017 0. 0.017 0.046 0. 0.045 0.014 0. 0.014 0.014 0. 0.014 0.014 0. 0.014
900 0.019 0. 0.019 0.055 0. 0.055 0.018 0. 0.018 0.018 0. 0.018 0.018 0. 0.018
1000 0.019 0. 0.019 0.066 0. 0.066 0.022 0. 0.022 0.024 0. 0.024 0.023 0. 0.023
1100 0.023 0. 0.023 0.079 0. 0.079 0.027 0. 0.027 0.027 0. 0.027 0.027 0. 0.027
1200 0.024 0. 0.023 0.091 0. 0.09 0.033 0. 0.033 0.034 0. 0.034 0.033 0. 0.033
1300 0.027 0. 0.027 0.109 0. 0.109 0.04 0. 0.04 0.04 0. 0.04 0.04 0. 0.04
1400 0.029 0. 0.029 0.128 0. 0.128 0.049 0. 0.049 0.049 0. 0.049 0.049 0. 0.049
1500 0.031 0. 0.031 0.149 0. 0.149 0.058 0. 0.058 0.06 0. 0.06 0.059 0. 0.059
1600 0.033 0. 0.033 0.173 0. 0.173 0.07 0. 0.07 0.07 0. 0.07 0.069 0. 0.069
1700 0.034 0. 0.034 0.2 0. 0.199 0.082 0. 0.082 0.081 0. 0.081 0.082 0. 0.082
1800 0.037 0. 0.037 0.215 0. 0.215 0.094 0. 0.094 0.095 0. 0.095 0.083 0. 0.083
1900 0.041 0. 0.041 0.26 0. 0.26 0.109 0. 0.109 0.109 0. 0.109 0.109 0. 0.109
2000 0.042 0. 0.042 0.294 0. 0.294 0.127 0. 0.126 0.125 0. 0.125 0.124 0. 0.124
2100 0.044 0. 0.044 0.326 0. 0.325 0.14 0. 0.14 0.142 0. 0.142 0.14 0. 0.14
2200 0.047 0. 0.047 0.362 0. 0.361 0.157 0. 0.157 0.164 0. 0.164 0.156 0. 0.156
2300 0.05 0. 0.05 0.403 0. 0.402 0.176 0. 0.176 0.112 0. 0.112 0.176 0. 0.176
2400 0.052 0. 0.052 0.445 0. 0.444 0.193 0. 0.193 0.195 0. 0.195 0.198 0. 0.198
2500 0.053 0. 0.053 0.381 0. 0.38 0.111 0. 0.11 0.214 0. 0.214 0.215 0. 0.215
2600 0.057 0. 0.057 0.53 0. 0.529 0.236 0. 0.235 0.236 0. 0.236 0.235 0. 0.235
2700 0.057 0.003 0.054 0.575 0.003 0.57 0.255 0. 0.255 0.257 0. 0.257 0.261 0. 0.261
2800 0.061 0. 0.061 0.619 0. 0.618 0.279 0. 0.279 0.283 0. 0.283 0.277 0. 0.277
2900 0.066 0. 0.066 0.672 0. 0.671 0.303 0. 0.302 0.306 0. 0.305 0.302 0. 0.301
3000 0.066 0. 0.066 0.719 0. 0.719 0.326 0. 0.326 0.325 0. 0.324 0.326 0. 0.326
3100 0.069 0. 0.069 0.772 0. 0.772 0.351 0. 0.351 0.35 0. 0.35 0.351 0. 0.351
3200 0.07 0. 0.07 0.825 0. 0.824 0.377 0. 0.377 0.379 0. 0.379 0.377 0. 0.376
3300 0.071 0. 0.071 0.881 0. 0.881 0.403 0. 0.403 0.404 0. 0.403 0.405 0. 0.405
3400 0.072 0.003 0.068 0.94 0.004 0.935 0.434 0. 0.434 0.366 0. 0.366 0.432 0. 0.431
3500 0.076 0. 0.076 0.877 0. 0.876 0.459 0. 0.459 0.459 0. 0.459 0.341 0. 0.34
3600 0.081 0.003 0.077 1.056 0.003 1.051 0.486 0. 0.486 0.492 0. 0.491 0.487 0. 0.487
3700 0.081 0. 0.081 1.12 0. 1.119 0.519 0. 0.519 0.309 0. 0.309 0.518 0. 0.518
3800 0.08 0. 0.08 1.176 0.003 1.171 0.549 0.003 0.544 0.547 0. 0.546 0.547 0. 0.546
3900 0.087 0. 0.087 1.248 0. 1.246 0.58 0. 0.58 0.475 0. 0.474 0.58 0. 0.579
4000 0.086 0. 0.086 0.995 0. 0.994 0.613 0. 0.612 0.61 0. 0.609 0.295 0. 0.295
4100 0.099 0. 0.099 1.402 0. 1.401 0.657 0. 0.657 0.645 0. 0.645 0.645 0. 0.644
4200 0.098 0. 0.098 1.467 0. 1.465 0.678 0. 0.678 0.68 0. 0.679 0.69 0. 0.689
4300 0.096 0. 0.096 1.188 0. 1.187 0.38 0. 0.38 0.715 0.007 0.706 0.711 0. 0.71
4400 0.106 0. 0.105 1.598 0. 1.596 0.748 0. 0.747 0.749 0. 0.748 0.744 0. 0.743
4500 0.111 0.004 0.107 1.459 0.008 1.45 0.785 0. 0.784 0.791 0.028 0.762 0.563 0.004 0.558
4600 0.108 0.003 0.104 1.562 0.056 1.503 0.825 0.044 0.779 0.826 0. 0.824 0.628 0.008 0.618
4700 0.109 0.003 0.105 1.847 0.003 1.838 0.871 0. 0.868 0.864 0. 0.861 0.867 0. 0.864
4800 0.101 0. 0.101 1.56 0. 1.558 0.56 0. 0.559 0.897 0. 0.896 0.898 0. 0.897
4900 0.111 0. 0.111 1.989 0. 1.988 0.938 0. 0.937 0.938 0. 0.937 0.94 0. 0.939
5000 0.107 0. 0.107 2.067 0. 2.065 0.982 0. 0.981 0.588 0. 0.587 0.977 0. 0.977
5100 0.114 0. 0.114 2.053 0. 2.051 1.019 0. 1.018 1.017 0. 1.017 0.919 0. 0.918
5200 0.116 0. 0.116 2.243 0. 2.241 1.06 0. 1.059 1.065 0. 1.064 1.065 0. 1.064
5300 0.118 0. 0.118 1.755 0. 1.754 1.105 0. 1.104 1.105 0. 1.104 0.531 0. 0.531
5400 0.12 0. 0.12 2.419 0. 2.417 1.148 0. 1.146 1.148 0. 1.147 1.15 0. 1.149
5500 0.123 0. 0.123 2.514 0. 2.511 1.193 0. 1.192 0.778 0. 0.778 1.196 0. 1.195
5600 0.141 0. 0.141 1.995 0. 1.993 0.619 0. 0.618 1.238 0. 1.237 1.234 0. 1.233
5700 0.13 0. 0.129 1.856 0. 1.853 1.07 0. 1.069 1.07 0. 1.069 0.654 0. 0.653
5800 0.124 0. 0.124 2.35 0. 2.348 1.116 0. 1.115 1.013 0. 1.012 1.109 0. 1.108
5900 0.124 0. 0.124 2.427 0. 2.424 1.152 0. 1.151 0.642 0. 0.641 1.15 0. 1.149
6000 0.127 0.003 0.123 2.876 0.004 2.872 1.42 0. 1.42 1.423 0. 1.423 1.328 0. 1.328
6100 0.133 0. 0.133 2.94 0. 2.94 1.471 0. 1.471 1.473 0. 1.473 1.335 0. 1.335
6200 0.134 0. 0.134 3.166 0. 3.166 1.509 0. 1.509 1.519 0. 1.518 1.521 0. 1.521
6300 0.136 0. 0.136 2.476 0.003 2.472 0.765 0.003 0.761 1.57 0. 1.57 1.574 0. 1.574
6400 0.141 0.003 0.137 3.393 0.004 3.389 1.626 0. 1.626 1.625 0. 1.625 1.625 0. 1.625
6500 0.155 0. 0.155 2.556 0. 2.556 0.726 0. 0.726 1.675 0. 1.675 1.674 0. 1.674
