param-n cbv-real cbv-sys cbv-user
0 0. 0. 0.
100 0. 0. 0.
200 0. 0. 0.
300 0.001 0. 0.001
400 0.001 0. 0.001
500 0.002 0. 0.002
600 0.003 0. 0.003
700 0.015 0. 0.015
800 0.005 0. 0.005
900 0.006 0. 0.006
1000 0.007 0. 0.007
1100 0.03 0. 0.03
1200 0.01 0. 0.01
1300 0.011 0. 0.011
1400 0.013 0. 0.013
1500 0.016 0. 0.016
1600 0.017 0. 0.017
1700 0.019 0. 0.019
1800 0.022 0. 0.022
1900 0.024 0. 0.024
2000 0.027 0. 0.027
2100 0.029 0. 0.029
2200 0.031 0. 0.031
2300 0.033 0. 0.033
2400 0.037 0. 0.037
2500 0.041 0. 0.041
2600 0.042 0. 0.042
2700 0.047 0. 0.047
2800 0.049 0. 0.049
2900 0.053 0. 0.053
3000 0.058 0. 0.058
3100 0.061 0. 0.061
3200 0.065 0. 0.065
3300 0.069 0. 0.069
3400 0.073 0. 0.073
3500 0.078 0. 0.078
3600 0.082 0. 0.082
3700 0.086 0. 0.086
3800 0.09 0. 0.09
3900 0.098 0. 0.098
4000 0.101 0. 0.101
4100 0.105 0. 0.105
4200 0.111 0. 0.111
4300 0.116 0. 0.116
4400 0.121 0. 0.121
4500 0.127 0.003 0.123
4600 0.133 0. 0.133
4700 0.139 0. 0.139
4800 0.145 0. 0.145
4900 0.151 0. 0.151
5000 0.156 0. 0.156
5100 0.164 0.003 0.16
5200 0.17 0. 0.17
5300 0.177 0. 0.177
5400 0.188 0. 0.188
5500 0.194 0. 0.194
5600 0.202 0. 0.202
5700 0.21 0. 0.21
5800 0.216 0. 0.216
5900 0.223 0. 0.223
6000 0.232 0.003 0.228
6100 0.24 0. 0.24
6200 0.248 0.003 0.244
6300 0.253 0. 0.253
6400 0.263 0. 0.263
6500 0.268 0. 0.268
6600 0.276 0. 0.276
6700 0.287 0.004 0.283
6800 0.294 0. 0.294
6900 0.302 0. 0.302
7000 0.312 0. 0.312
7100 0.321 0. 0.321
7200 0.331 0. 0.331
7300 0.342 0. 0.342
7400 0.346 0.004 0.342
7500 0.356 0. 0.356
7600 0.365 0.003 0.361
7700 0.375 0. 0.375
7800 0.385 0. 0.385
7900 0.396 0. 0.396
8000 0.405 0. 0.405
8100 0.418 0. 0.418
8200 0.426 0. 0.426
8300 0.437 0. 0.437
8400 0.45 0. 0.45
8500 0.461 0. 0.461
8600 0.468 0. 0.468
8700 0.484 0. 0.484
8800 0.503 0. 0.503
8900 0.523 0. 0.523
9000 0.522 0. 0.522
9100 0.539 0. 0.535
9200 0.642 0. 0.641
9300 0.652 0. 0.65
9400 0.664 0. 0.662
9500 0.675 0. 0.673
9600 0.692 0. 0.69
9700 0.707 0. 0.704
9800 0.72 0. 0.718
9900 0.73 0. 0.729
10000 0.746 0. 0.745
10100 0.762 0. 0.761
10200 0.772 0. 0.772
10300 0.791 0.003 0.786
10400 0.807 0. 0.806
10500 0.817 0. 0.816
10600 0.836 0. 0.835
10700 0.849 0. 0.848
10800 0.869 0. 0.868
10900 0.886 0. 0.885
11000 0.927 0. 0.927
11100 0.93 0. 0.929
11200 0.957 0. 0.956
11300 0.959 0. 0.958
11400 0.972 0. 0.971
11500 0.988 0. 0.987
11600 1.009 0.003 1.004
11700 1.023 0. 1.022
11800 1.038 0. 1.037
11900 1.06 0. 1.059
12000 0.966 0.012 0.954
12100 0.942 0.008 0.934
12200 0.969 0. 0.969
12300 0.985 0.003 0.981
12400 1. 0. 1.
12500 1.013 0. 1.013
12600 1.028 0.004 1.024
12700 1.039 0. 1.039
12800 1.055 0. 1.055
12900 1.085 0. 1.085
13000 1.08 0.007 1.072
13100 1.101 0. 1.101
13200 1.124 0. 1.124
13300 1.136 0.004 1.132
13400 1.153 0.003 1.149
13500 1.162 0. 1.162
13600 1.18 0. 1.18
13700 1.218 0. 1.218
13800 1.262 0. 1.262
13900 1.251 0.011 1.239
14000 1.268 0. 1.268
14100 1.292 0.008 1.284
14200 1.307 0.003 1.303
14300 1.313 0. 1.313
14400 1.328 0.004 1.324
14500 1.357 0.003 1.353
14600 1.376 0.004 1.372
14700 1.389 0.003 1.385
14800 1.404 0. 1.404
14900 1.427 0. 1.427
15000 1.446 0. 1.446
15100 1.491 0. 1.491
15200 1.493 0. 1.493
15300 1.518 0. 1.518
15400 1.52 0. 1.52
15500 1.544 0. 1.544
15600 1.562 0. 1.562
15700 1.588 0. 1.588
15800 1.59 0. 1.59
15900 1.638 0. 1.638
16000 1.652 0. 1.652
16100 1.668 0. 1.668
16200 1.715 0. 1.715
16300 1.748 0. 1.748
16400 1.729 0. 1.729
16500 1.769 0. 1.769
16600 1.78 0. 1.78
16700 1.793 0. 1.793
16800 1.815 0. 1.815
16900 1.845 0. 1.845
17000 1.873 0. 1.873
17100 1.885 0. 1.885
17200 1.92 0. 1.92
17300 1.986 0. 1.986
17400 1.939 0. 1.939
17500 1.968 0. 1.968
17600 1.976 0. 1.976
17700 2.008 0. 2.008
17800 2.021 0. 2.021
17900 2.053 0. 2.053
18000 2.095 0. 2.095
18100 2.149 0. 2.149
18200 2.15 0. 2.15
18300 2.184 0. 2.184
18400 2.194 0. 2.194
18500 2.198 0. 2.198
18600 2.221 0. 2.221
18700 2.252 0. 2.252
18800 2.279 0. 2.279
18900 2.353 0. 2.353
19000 2.354 0. 2.354
19100 2.367 0. 2.367
19200 2.38 0. 2.38
19300 2.417 0. 2.417
19400 2.414 0. 2.414
19500 2.458 0. 2.458
19600 2.517 0. 2.517
19700 2.562 0. 2.562
19800 2.546 0. 2.546
19900 2.554 0. 2.554
