param-n,constr-final-goal-make-final-goal-real,constr-final-goal-make-final-goal-sys,constr-final-goal-make-final-goal-user,everything-real,everything-sys,everything-user,make-Build-T-real,make-Build-T-sys,make-Build-T-user,make-T-real,make-T-sys,make-T-user,make-T-eta-real,make-T-eta-sys,make-T-eta-user,make-T-projs-real,make-T-projs-sys,make-T-projs-user,make-T-rect-real,make-T-rect-sys,make-T-rect-user,make-Ts-real,make-Ts-sys,make-Ts-user,make-f-ty-real,make-f-ty-sys,make-f-ty-user,making-real,making-sys,making-user
0,0.,0.,0.,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.002,0.,0.002,0.,0.,0.,0.007,0.,0.006
1,0.,0.,0.,0.012,0.006,0.005,0.,0.,0.,0.,0.,0.,0.001,0.001,0.,0.001,0.001,0.,0.002,0.002,0.,0.004,0.,0.004,0.,0.,0.,0.011,0.006,0.005
2,0.,0.,0.,0.017,0.001,0.016,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.007,0.,0.007,0.001,0.,0.001,0.016,0.,0.015
3,0.,0.,0.,0.021,0.,0.02,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.003,0.,0.003,0.003,0.,0.003,0.01,0.,0.009,0.001,0.,0.001,0.02,0.,0.019
4,0.,0.,0.,0.081,0.011,0.069,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.062,0.008,0.053,0.002,0.,0.002,0.013,0.003,0.01,0.,0.,0.,0.08,0.011,0.068
5,0.,0.,0.,0.021,0.,0.021,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.003,0.,0.003,0.002,0.,0.002,0.011,0.,0.011,0.001,0.,0.001,0.02,0.,0.02
6,0.,0.,0.,0.024,0.,0.024,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.004,0.,0.004,0.002,0.,0.002,0.013,0.,0.013,0.001,0.,0.001,0.023,0.,0.023
7,0.,0.,0.,0.033,0.,0.033,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.009,0.,0.009,0.003,0.,0.003,0.016,0.,0.016,0.001,0.,0.001,0.032,0.,0.032
8,0.,0.,0.,0.033,0.,0.033,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.006,0.,0.006,0.003,0.,0.003,0.018,0.,0.018,0.001,0.,0.001,0.031,0.,0.031
9,0.,0.,0.,0.044,0.,0.044,0.009,0.,0.009,0.,0.,0.,0.001,0.,0.001,0.006,0.,0.006,0.003,0.,0.003,0.021,0.,0.021,0.001,0.,0.001,0.043,0.,0.043
10,0.,0.,0.,0.04,0.,0.04,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.007,0.,0.007,0.003,0.,0.003,0.024,0.,0.024,0.002,0.,0.002,0.039,0.,0.039
11,0.,0.,0.,0.051,0.,0.051,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.008,0.,0.008,0.004,0.,0.004,0.033,0.,0.033,0.002,0.,0.002,0.05,0.,0.05
12,0.,0.,0.,0.05,0.,0.05,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.009,0.,0.009,0.004,0.,0.004,0.03,0.,0.03,0.002,0.,0.002,0.048,0.,0.048
13,0.,0.,0.,0.063,0.,0.063,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.01,0.,0.01,0.004,0.,0.004,0.042,0.,0.042,0.002,0.,0.002,0.061,0.,0.061
14,0.,0.,0.,0.066,0.,0.066,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.011,0.,0.011,0.004,0.,0.004,0.043,0.,0.043,0.002,0.,0.002,0.065,0.,0.065
15,0.,0.,0.,0.072,0.,0.072,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.019,0.,0.019,0.005,0.,0.005,0.041,0.,0.041,0.002,0.,0.002,0.07,0.,0.07
16,0.,0.,0.,0.081,0.,0.081,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.022,0.,0.022,0.005,0.,0.005,0.046,0.,0.046,0.003,0.,0.003,0.079,0.,0.079
17,0.,0.,0.,0.089,0.,0.089,0.012,0.,0.012,0.,0.,0.,0.002,0.,0.002,0.016,0.,0.016,0.006,0.,0.006,0.049,0.,0.049,0.003,0.,0.003,0.087,0.,0.087
18,0.,0.,0.,0.094,0.,0.094,0.012,0.,0.012,0.,0.,0.,0.002,0.,0.002,0.017,0.,0.017,0.005,0.,0.005,0.054,0.,0.054,0.003,0.,0.003,0.093,0.,0.093
19,0.,0.,0.,0.105,0.,0.105,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.031,0.,0.031,0.006,0.,0.006,0.06,0.,0.06,0.003,0.,0.003,0.103,0.,0.103
20,0.,0.,0.,0.112,0.,0.112,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.031,0.,0.031,0.006,0.,0.006,0.066,0.,0.066,0.004,0.,0.004,0.11,0.,0.11
21,0.,0.,0.,0.121,0.,0.121,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.024,0.,0.024,0.006,0.,0.006,0.081,0.,0.081,0.004,0.,0.004,0.118,0.,0.118
