param-n build-real build-sys build-user build-and-typecheck-real build-and-typecheck-sys build-and-typecheck-user check-real check-sys check-user refine-real refine-sys refine-user type-real type-sys type-user
0 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
100 0.002 0. 0.002 0.005 0. 0.005 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
200 0.004 0. 0.004 0.012 0. 0.012 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
300 0.006 0. 0.006 0.023 0. 0.023 0.008 0. 0.008 0.008 0. 0.008 0.008 0. 0.008
400 0.053 0. 0.053 0.083 0. 0.083 0.014 0. 0.014 0.014 0. 0.014 0.014 0. 0.014
500 0.01 0. 0.01 0.057 0. 0.057 0.023 0. 0.023 0.022 0. 0.022 0.023 0. 0.023
600 0.012 0. 0.012 0.082 0. 0.082 0.035 0. 0.035 0.035 0. 0.035 0.034 0. 0.034
700 0.014 0. 0.014 0.114 0. 0.114 0.05 0. 0.05 0.049 0. 0.049 0.049 0. 0.049
800 0.016 0. 0.016 0.15 0. 0.15 0.066 0. 0.066 0.068 0. 0.068 0.067 0. 0.067
900 0.018 0. 0.018 0.196 0. 0.196 0.088 0. 0.088 0.09 0. 0.09 0.089 0. 0.089
1000 0.022 0. 0.022 0.253 0. 0.253 0.114 0. 0.114 0.117 0. 0.117 0.116 0. 0.116
1100 0.022 0. 0.022 0.316 0. 0.316 0.149 0. 0.149 0.145 0. 0.145 0.144 0. 0.144
1200 0.025 0. 0.025 0.387 0. 0.387 0.178 0. 0.178 0.183 0. 0.183 0.182 0. 0.182
1300 0.027 0. 0.027 0.465 0. 0.465 0.22 0. 0.22 0.216 0. 0.216 0.216 0. 0.216
1400 0.03 0. 0.03 0.55 0. 0.55 0.262 0. 0.262 0.261 0. 0.261 0.258 0. 0.258
1500 0.032 0. 0.032 0.642 0. 0.642 0.303 0. 0.303 0.31 0. 0.31 0.307 0. 0.307
1600 0.033 0. 0.033 0.743 0. 0.743 0.359 0. 0.359 0.352 0. 0.352 0.35 0. 0.35
1700 0.037 0. 0.037 0.847 0. 0.847 0.402 0. 0.402 0.407 0. 0.407 0.407 0. 0.407
1800 0.036 0. 0.036 0.774 0. 0.774 0.282 0. 0.282 0.456 0. 0.456 0.455 0. 0.455
1900 0.041 0. 0.041 1.076 0. 1.076 0.512 0. 0.512 0.518 0. 0.518 0.523 0. 0.523
2000 0.044 0. 0.044 1.199 0. 1.199 0.574 0. 0.574 0.427 0. 0.427 0.58 0. 0.58
2100 0.046 0. 0.046 1.325 0. 1.325 0.642 0. 0.642 0.642 0. 0.642 0.636 0. 0.636
2200 0.047 0. 0.047 1.179 0. 1.179 0.711 0. 0.711 0.701 0. 0.701 0.42 0. 0.42
2300 0.049 0. 0.049 1.61 0. 1.61 0.782 0. 0.782 0.78 0. 0.78 0.779 0. 0.779
2400 0.053 0. 0.053 1.747 0. 1.747 0.851 0. 0.851 0.847 0. 0.847 0.842 0. 0.842
2500 0.053 0. 0.053 1.519 0. 1.519 0.547 0. 0.547 0.917 0. 0.917 0.918 0. 0.918
2600 0.055 0. 0.055 1.681 0. 1.681 0.996 0. 0.996 0.996 0. 0.996 0.628 0. 0.628
2700 0.06 0. 0.06 2.159 0. 2.159 1.087 0. 1.087 1.077 0. 1.077 1.011 0. 1.011
2800 0.064 0. 0.064 2.152 0. 2.152 1.16 0. 1.16 1.171 0. 1.171 0.927 0. 0.927
2900 0.062 0. 0.062 2.211 0.003 2.207 1.259 0. 1.259 1.247 0. 1.247 0.89 0.003 0.886
3000 0.064 0. 0.064 2.219 0. 2.219 0.807 0. 0.807 1.351 0. 1.351 1.347 0. 1.347
3100 0.069 0. 0.069 2.939 0. 2.939 1.428 0. 1.428 1.445 0. 1.445 1.441 0. 1.441
3200 0.069 0. 0.069 3.13 0. 3.13 1.534 0. 1.534 1.519 0. 1.519 1.526 0. 1.526
3300 0.073 0. 0.073 3.127 0. 3.127 1.623 0. 1.623 1.638 0. 1.638 1.43 0. 1.43
