param-n,cbv-real,cbv-sys,cbv-user
0,0.,0.,0.
1,0.,0.,0.
2,0.,0.,0.
100,0.,0.,0.
200,0.001,0.,0.001
300,0.003,0.,0.003
400,0.005,0.,0.005
500,0.007,0.,0.007
600,0.01,0.,0.01
700,0.014,0.,0.014
800,0.018,0.,0.018
900,0.023,0.,0.023
1000,0.028,0.,0.028
1100,0.06,0.,0.06
1200,0.064,0.,0.064
1300,0.048,0.,0.048
1400,0.055,0.,0.055
1500,0.099,0.003,0.095
1600,0.173,0.003,0.169
1700,0.128,0.007,0.12
1800,0.174,0.,0.174
1900,0.101,0.,0.101
2000,0.112,0.,0.112
2100,0.211,0.011,0.199
2200,0.169,0.016,0.153
2300,0.148,0.,0.148
2400,0.295,0.007,0.287
2500,0.356,0.023,0.333
2600,0.427,0.023,0.403
2700,0.423,0.023,0.399
2800,0.722,0.,0.722
2900,0.395,0.,0.395
3000,0.368,0.,0.368
3100,0.363,0.,0.363
3200,0.49,0.,0.49
3300,0.537,0.,0.537
3400,0.632,0.031,0.6
3500,1.057,0.035,1.021
3600,0.748,0.,0.748
3700,0.582,0.,0.582
3800,0.831,0.,0.831
3900,0.841,0.059,0.781
4000,1.127,0.063,1.063
4100,1.355,0.,1.355
4200,0.863,0.,0.863
4300,1.004,0.,1.004
4400,1.069,0.,1.069
4500,0.978,0.,0.978
4600,1.224,0.,1.224
4700,1.102,0.,1.102
4800,1.326,0.,1.326
4900,1.298,0.,1.298
5000,1.559,0.,1.559
5100,1.634,0.,1.634
5200,1.458,0.011,1.446
5300,1.862,0.059,1.802
5400,2.466,0.,2.466
5500,1.591,0.,1.59
5600,2.068,0.,2.068
5700,2.001,0.123,1.877
5800,2.528,0.051,2.476
5900,1.883,0.,1.883
6000,1.986,0.,1.986
6100,2.245,0.,2.245
6200,3.392,0.,3.392
6300,2.145,0.,2.145
6400,2.274,0.,2.274
6500,3.09,0.,3.09
6600,2.406,0.,2.406
6700,2.532,0.,2.532
6800,2.566,0.,2.566
6900,3.209,0.,3.209
7000,2.659,0.,2.659
7100,3.017,0.,3.017
7200,2.917,0.,2.917
7300,3.021,0.,3.021
7400,3.237,0.,3.237
7500,3.207,0.,3.207
7600,3.509,0.,3.509
7700,3.574,0.,3.574
7800,4.837,0.092,4.745
7900,3.776,0.,3.776
8000,3.961,0.,3.961
8100,4.506,0.,4.505
8200,5.014,0.,5.014
8300,4.282,0.,4.282
8400,5.539,0.123,5.415
8500,4.245,0.,4.245
8600,4.864,0.136,4.728
8700,5.71,0.,5.71
8800,4.789,0.,4.789
8900,6.241,0.,6.241
9000,4.852,0.,4.852
9100,5.463,0.143,5.319
9200,6.571,0.,6.571
9300,5.155,0.,5.155
9400,5.675,0.123,5.551
9500,7.01,0.24,6.77
9600,5.975,0.299,5.675
9700,6.311,0.403,5.906
9800,5.937,0.055,5.881
9900,7.386,0.163,7.222
10000,6.551,0.311,6.238
10100,6.571,0.451,6.119
10200,6.499,0.,6.499
10300,8.637,0.371,8.265
10400,7.546,0.103,7.442
10500,7.504,0.,7.503
10600,7.668,0.,7.668
10700,7.7,0.,7.699
10800,8.317,0.331,7.985
10900,9.48,0.187,9.291
11000,7.343,0.,7.343
11100,11.789,0.311,11.477
11200,10.122,0.376,9.746
11300,8.127,0.199,7.927
11400,8.962,0.059,8.902
11500,8.544,0.,8.543
11600,9.009,0.203,8.805
11700,11.743,0.231,11.511
11800,8.153,0.,8.153
11900,9.209,0.,9.209
12000,9.522,0.708,8.813
12100,10.853,0.623,10.229
12200,12.442,0.411,12.03
12300,8.963,0.,8.963
12400,14.918,0.599,14.318
12500,11.253,0.7,10.552
12600,10.678,0.095,10.582
12700,14.698,0.524,14.174
12800,11.792,0.683,11.108
12900,13.331,0.043,13.287
13000,11.48,0.047,11.432
13100,14.941,0.484,14.456
13200,10.764,0.,10.764
13300,15.419,0.711,14.707
13400,12.458,0.659,11.797
13500,15.049,0.84,14.209
13600,13.076,0.191,12.884
13700,13.347,0.58,12.766
13800,12.64,0.143,12.496
13900,18.38,0.724,17.656
14000,14.129,0.887,13.241
14100,14.453,0.,14.453
14200,12.664,0.,12.664
14300,14.664,0.,14.664
14400,13.239,0.,13.239
14500,20.408,0.439,19.968
14600,15.302,0.107,15.193
14700,17.943,0.555,17.386
14800,14.81,0.291,14.518
14900,16.505,0.004,16.501
15000,14.433,0.,14.433
