param-n,cbv-real,cbv-sys,cbv-user
0,0.,0.,0.
1,0.,0.,0.
2,0.,0.,0.
10,0.,0.,0.
20,0.,0.,0.
30,0.,0.,0.
40,0.,0.,0.
50,0.001,0.,0.001
60,0.001,0.,0.001
70,0.002,0.,0.002
80,0.002,0.,0.002
90,0.003,0.,0.003
100,0.004,0.,0.004
110,0.005,0.,0.005
120,0.006,0.,0.006
130,0.01,0.,0.01
140,0.008,0.,0.008
150,0.01,0.,0.01
160,0.011,0.,0.011
170,0.018,0.,0.018
180,0.015,0.,0.015
190,0.023,0.,0.023
200,0.018,0.,0.018
210,0.039,0.,0.039
220,0.022,0.,0.022
230,0.03,0.,0.03
240,0.044,0.,0.044
250,0.029,0.,0.029
260,0.04,0.003,0.037
270,0.057,0.,0.057
280,0.052,0.003,0.048
290,0.076,0.,0.076
300,0.055,0.003,0.051
310,0.043,0.,0.043
320,0.059,0.,0.059
330,0.068,0.011,0.056
340,0.064,0.,0.064
350,0.063,0.,0.063
360,0.096,0.007,0.088
370,0.103,0.003,0.099
380,0.142,0.,0.142
390,0.158,0.007,0.15
400,0.103,0.011,0.091
410,0.13,0.,0.13
420,0.134,0.,0.134
430,0.154,0.,0.154
440,0.167,0.,0.167
450,0.115,0.,0.115
460,0.18,0.011,0.168
470,0.148,0.,0.148
480,0.167,0.003,0.163
490,0.236,0.,0.236
500,0.161,0.,0.161
510,0.172,0.,0.172
520,0.205,0.007,0.197
530,0.198,0.,0.198
540,0.262,0.,0.262
550,0.181,0.,0.181
560,0.231,0.007,0.223
570,0.226,0.003,0.222
580,0.476,0.,0.476
590,0.226,0.,0.226
600,0.24,0.,0.24
610,0.247,0.,0.247
620,0.335,0.,0.335
630,0.23,0.,0.23
640,0.31,0.,0.31
650,0.304,0.,0.304
660,0.313,0.,0.313
670,0.339,0.,0.339
680,0.559,0.007,0.551
690,0.402,0.,0.402
700,0.294,0.,0.294
710,0.341,0.,0.341
720,0.421,0.003,0.417
730,0.354,0.,0.354
740,0.408,0.,0.408
750,0.419,0.003,0.415
760,0.412,0.,0.412
770,0.486,0.,0.486
780,0.4,0.,0.4
790,0.668,0.,0.668
800,0.501,0.,0.501
810,0.425,0.,0.425
820,0.511,0.,0.511
830,0.497,0.,0.497
840,0.502,0.,0.502
850,0.453,0.,0.453
860,0.511,0.,0.511
870,0.587,0.,0.587
880,0.593,0.,0.593
890,0.575,0.,0.575
900,0.592,0.,0.592
910,0.653,0.,0.653
920,0.599,0.,0.599
930,0.697,0.,0.697
940,0.611,0.,0.611
950,0.67,0.,0.67
960,0.908,0.,0.908
970,0.549,0.,0.549
980,0.722,0.,0.722
990,0.993,0.019,0.973
1000,0.706,0.019,0.687
1100,0.89,0.031,0.859
1200,1.065,0.024,1.041
1300,1.431,0.043,1.387
1400,1.389,0.007,1.381
1500,1.729,0.08,1.649
1600,2.017,0.,2.017
1700,1.973,0.,1.973
1800,2.396,0.071,2.324
1900,2.69,0.031,2.658
2000,2.848,0.,2.848
2100,3.064,0.,3.064
2200,3.337,0.,3.337
2300,4.728,0.148,4.58
2400,4.813,0.151,4.661
2500,4.674,0.059,4.614
2600,4.78,0.048,4.732
2700,6.252,0.219,6.032
2800,6.784,0.192,6.592
2900,6.368,0.163,6.204
