param-n build-real build-sys build-user build-and-typecheck-real build-and-typecheck-sys build-and-typecheck-user check-real check-sys check-user refine-real refine-sys refine-user type-real type-sys type-user
0 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
10 0. 0. 0. 0.002 0.001 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0.
20 0.001 0.001 0. 0.008 0.008 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0.
30 0.002 0.002 0. 0.016 0.008 0.007 0.006 0.005 0.001 0.063 0.007 0.055 0.006 0. 0.006
40 0.001 0. 0.001 0.014 0. 0.014 0.006 0. 0.006 0.006 0. 0.006 0.006 0. 0.006
50 0.001 0. 0.001 0.023 0. 0.023 0.01 0. 0.01 0.01 0. 0.01 0.011 0. 0.011
60 0.002 0.002 0. 0.032 0.002 0.029 0.014 0. 0.014 0.014 0. 0.014 0.015 0. 0.015
70 0.002 0. 0.002 0.043 0. 0.043 0.021 0. 0.021 0.019 0. 0.019 0.019 0. 0.019
80 0.003 0. 0.003 0.057 0.003 0.053 0.026 0. 0.026 0.025 0. 0.025 0.027 0.003 0.023
90 0.004 0. 0.004 0.07 0. 0.07 0.032 0. 0.032 0.034 0. 0.034 0.033 0. 0.033
100 0.003 0. 0.003 0.09 0.003 0.086 0.043 0.003 0.039 0.042 0. 0.042 0.042 0. 0.042
110 0.003 0. 0.003 0.106 0. 0.106 0.052 0. 0.052 0.051 0. 0.051 0.049 0. 0.049
120 0.004 0. 0.004 0.128 0. 0.128 0.061 0. 0.061 0.061 0. 0.061 0.062 0. 0.062
130 0.004 0. 0.004 0.143 0. 0.143 0.069 0. 0.069 0.071 0. 0.071 0.068 0. 0.068
140 0.01 0. 0.01 0.178 0. 0.178 0.083 0. 0.083 0.085 0. 0.085 0.085 0. 0.085
150 0.005 0. 0.005 0.202 0.003 0.199 0.098 0. 0.098 0.098 0. 0.097 0.098 0.003 0.095
160 0.005 0. 0.005 0.223 0.004 0.219 0.108 0. 0.108 0.112 0. 0.112 0.109 0.004 0.105
170 0.006 0. 0.006 0.253 0.003 0.249 0.125 0.003 0.121 0.125 0. 0.125 0.121 0. 0.121
180 0.006 0. 0.006 0.284 0. 0.284 0.138 0. 0.138 0.138 0. 0.138 0.139 0. 0.139
190 0.011 0. 0.011 0.318 0. 0.318 0.153 0. 0.153 0.153 0. 0.153 0.153 0. 0.153
200 0.007 0. 0.007 0.341 0. 0.341 0.169 0. 0.169 0.171 0.003 0.167 0.165 0. 0.165
210 0.007 0. 0.007 0.379 0.003 0.375 0.185 0.003 0.181 0.187 0. 0.187 0.186 0. 0.186
220 0.007 0. 0.007 0.408 0. 0.408 0.199 0. 0.199 0.202 0. 0.202 0.201 0. 0.201
230 0.012 0. 0.012 0.446 0. 0.446 0.214 0. 0.214 0.219 0. 0.219 0.219 0. 0.219
240 0.009 0. 0.009 0.483 0. 0.483 0.236 0. 0.236 0.239 0.003 0.235 0.236 0. 0.236
250 0.008 0. 0.008 0.546 0.003 0.542 0.271 0. 0.271 0.271 0.003 0.267 0.266 0.003 0.262
260 0.009 0. 0.009 0.579 0.008 0.571 0.286 0.004 0.282 0.284 0. 0.284 0.283 0.003 0.279
270 0.013 0. 0.013 0.628 0. 0.628 0.306 0. 0.306 0.307 0. 0.307 0.308 0. 0.308
280 0.009 0. 0.009 0.656 0.007 0.648 0.322 0.007 0.314 0.323 0. 0.323 0.323 0. 0.323
290 0.01 0. 0.01 0.705 0. 0.705 0.348 0. 0.348 0.346 0. 0.346 0.346 0. 0.346
300 0.01 0. 0.01 0.752 0. 0.752 0.37 0. 0.37 0.375 0. 0.375 0.371 0. 0.371
310 0.01 0. 0.01 0.806 0. 0.806 0.397 0. 0.397 0.408 0. 0.408 0.398 0. 0.398
320 0.011 0. 0.011 0.883 0. 0.883 0.439 0. 0.439 0.431 0. 0.431 0.431 0. 0.431
330 0.011 0. 0.011 0.921 0. 0.921 0.453 0. 0.453 0.447 0. 0.447 0.456 0. 0.456
340 0.011 0. 0.011 0.961 0. 0.961 0.474 0. 0.474 0.473 0. 0.473 0.475 0. 0.475
350 0.016 0. 0.016 1.024 0. 1.024 0.503 0. 0.503 0.509 0. 0.509 0.504 0. 0.504
360 0.012 0. 0.012 1.085 0. 1.085 0.531 0. 0.531 0.558 0. 0.558 0.541 0. 0.541
370 0.012 0. 0.012 1.158 0. 1.158 0.572 0. 0.572 0.571 0. 0.571 0.573 0. 0.573
380 0.017 0. 0.017 1.199 0.003 1.195 0.59 0.003 0.586 0.59 0.003 0.586 0.592 0. 0.592
390 0.013 0. 0.013 1.276 0. 1.276 0.63 0. 0.63 0.631 0. 0.631 0.632 0. 0.632
400 0.015 0. 0.015 1.348 0. 1.348 0.654 0. 0.654 0.682 0. 0.682 0.678 0. 0.678
410 0.014 0. 0.014 1.429 0. 1.429 0.71 0. 0.71 0.697 0. 0.697 0.704 0. 0.704
420 0.014 0. 0.014 1.466 0. 1.466 0.722 0. 0.722 0.724 0. 0.724 0.729 0. 0.729
430 0.015 0. 0.015 1.538 0. 1.538 0.758 0. 0.758 0.774 0. 0.774 0.764 0. 0.764
440 0.015 0. 0.015 1.641 0. 1.641 0.814 0. 0.814 0.804 0. 0.804 0.811 0. 0.811
450 0.015 0. 0.015 1.67 0. 1.67 0.827 0. 0.827 0.833 0. 0.833 0.826 0. 0.826
460 0.016 0. 0.016 1.741 0. 1.741 0.863 0. 0.863 0.871 0. 0.871 0.862 0. 0.862
470 0.016 0. 0.016 1.863 0. 1.863 0.933 0. 0.933 0.907 0. 0.907 0.913 0. 0.913
480 0.018 0. 0.018 1.902 0. 1.902 0.943 0. 0.943 0.943 0. 0.943 0.94 0. 0.94
490 0.017 0. 0.017 1.987 0. 1.987 0.98 0. 0.98 1.011 0. 1.011 0.99 0. 0.99
500 0.021 0. 0.021 2.091 0. 2.091 1.044 0. 1.044 1.029 0. 1.029 1.026 0. 1.026
510 0.019 0. 0.019 2.151 0. 2.151 1.064 0. 1.064 1.073 0. 1.073 1.067 0. 1.067
520 0.021 0. 0.021 2.291 0. 2.291 1.137 0. 1.137 1.112 0. 1.112 1.131 0. 1.131
530 0.018 0. 0.018 2.321 0. 2.321 1.149 0. 1.149 1.153 0. 1.153 1.152 0. 1.152
540 0.018 0. 0.018 2.462 0. 2.462 1.217 0. 1.217 1.202 0. 1.202 1.225 0. 1.225
550 0.019 0. 0.019 2.486 0. 2.486 1.236 0. 1.236 1.232 0. 1.232 1.23 0. 1.23
560 0.019 0. 0.019 2.629 0. 2.629 1.291 0. 1.291 1.296 0. 1.296 1.318 0. 1.318
570 0.023 0. 0.023 2.66 0. 2.66 1.318 0. 1.318 1.323 0. 1.323 1.318 0. 1.318
580 0.023 0. 0.023 2.822 0. 2.821 1.403 0. 1.403 1.377 0. 1.377 1.394 0. 1.394
590 0.02 0. 0.02 2.879 0. 2.879 1.432 0. 1.432 1.46 0. 1.46 1.425 0. 1.425
600 0.024 0. 0.024 2.992 0. 2.992 1.493 0. 1.493 1.47 0. 1.47 1.473 0. 1.473
610 0.024 0. 0.024 3.089 0. 3.089 1.519 0. 1.519 1.553 0. 1.552 1.544 0. 1.544
620 0.021 0. 0.021 3.193 0. 3.193 1.585 0. 1.585 1.58 0. 1.58 1.586 0. 1.586
630 0.023 0. 0.023 3.342 0. 3.342 1.678 0. 1.678 1.635 0. 1.635 1.641 0. 1.641
640 0.025 0. 0.025 3.386 0. 3.386 1.67 0. 1.67 1.711 0. 1.711 1.689 0. 1.689
650 0.024 0. 0.024 3.495 0. 3.495 1.727 0. 1.727 1.746 0. 1.746 1.743 0. 1.743
660 0.028 0. 0.028 3.658 0. 3.658 1.826 0. 1.826 1.791 0. 1.791 1.804 0. 1.804
