param-n,build-real,build-sys,build-user,build-and-typecheck-real,build-and-typecheck-sys,build-and-typecheck-user,check-real,check-sys,check-user,refine-real,refine-sys,refine-user,type-real,type-sys,type-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
3,0.,0.,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,0.,0.,0.,0.001,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
5,0.,0.,0.,0.003,0.003,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.
6,0.,0.,0.,0.006,0.003,0.002,0.002,0.002,0.,0.002,0.,0.002,0.002,0.,0.002
7,0.001,0.,0.,0.07,0.,0.07,0.005,0.,0.005,0.003,0.,0.003,0.063,0.,0.063
8,0.,0.,0.,0.014,0.,0.014,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006
9,0.,0.,0.,0.031,0.,0.031,0.014,0.,0.014,0.014,0.,0.014,0.015,0.,0.015
10,0.,0.,0.,0.063,0.,0.063,0.031,0.,0.031,0.032,0.,0.032,0.031,0.,0.031
11,0.001,0.,0.001,0.136,0.,0.136,0.067,0.,0.067,0.068,0.,0.068,0.067,0.,0.067
12,0.001,0.,0.001,0.299,0.003,0.295,0.15,0.,0.15,0.154,0.,0.154,0.147,0.003,0.143
13,0.001,0.,0.001,0.669,0.007,0.662,0.336,0.,0.336,0.309,0.008,0.301,0.331,0.007,0.323
14,0.002,0.,0.002,1.316,0.008,1.308,0.673,0.008,0.665,0.651,0.004,0.647,0.639,0.,0.639
15,0.009,0.,0.009,2.663,0.,2.663,1.32,0.,1.32,1.362,0.011,1.35,1.333,0.,1.333
16,0.007,0.,0.007,5.501,0.028,5.473,2.76,0.02,2.74,2.803,0.,2.803,2.733,0.008,2.725
17,0.014,0.,0.014,11.568,0.,11.568,5.748,0.,5.748,5.8,0.,5.8,5.805,0.,5.805
18,0.027,0.,0.027,23.902,0.027,23.874,11.896,0.007,11.888,11.978,0.015,11.962,11.978,0.02,11.958
19,0.052,0.,0.052,48.625,0.015,48.61,24.406,0.015,24.39,23.732,0.031,23.7,24.165,0.,24.166
20,0.119,0.004,0.114,95.455,0.292,95.156,48.062,0.151,47.905,46.767,0.,46.767,47.273,0.135,47.137
21,0.207,0.,0.207,185.855,0.283,185.571,94.113,0.035,94.077,91.244,0.188,91.056,91.534,0.247,91.286
