param-n build-real build-sys build-user check-real check-sys check-user refine-real refine-sys refine-user type-real type-sys type-user
0 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
10 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
20 0. 0. 0. 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
30 0.001 0. 0.001 0.007 0. 0.007 0.007 0. 0.007 0.007 0. 0.007
40 0.001 0. 0.001 0.015 0. 0.015 0.015 0. 0.015 0.015 0. 0.015
50 0.002 0. 0.002 0.026 0. 0.026 0.027 0. 0.027 0.026 0. 0.026
60 0.002 0. 0.002 0.041 0. 0.041 0.042 0. 0.042 0.041 0. 0.041
70 0.002 0. 0.002 0.06 0. 0.06 0.062 0. 0.062 0.06 0. 0.06
80 0.003 0. 0.003 0.088 0. 0.088 0.089 0. 0.089 0.085 0. 0.085
90 0.003 0. 0.003 0.126 0.011 0.114 0.119 0. 0.119 0.117 0. 0.117
100 0.003 0. 0.003 0.142 0.003 0.138 0.143 0. 0.143 0.139 0. 0.139
110 0.004 0. 0.004 0.175 0. 0.175 0.182 0. 0.182 0.175 0. 0.175
120 0.004 0. 0.004 0.265 0. 0.265 0.266 0. 0.266 0.292 0. 0.292
130 0.005 0. 0.005 0.289 0. 0.289 0.288 0. 0.288 0.437 0. 0.437
140 0.005 0. 0.005 0.319 0. 0.319 0.305 0. 0.305 0.375 0. 0.375
150 0.005 0. 0.005 0.362 0. 0.362 0.418 0. 0.418 0.383 0. 0.383
160 0.006 0. 0.006 0.438 0. 0.438 0.515 0. 0.515 0.509 0. 0.509
170 0.006 0. 0.006 0.45 0. 0.45 0.46 0. 0.46 0.459 0. 0.459
180 0.007 0. 0.007 0.557 0. 0.557 0.582 0. 0.582 0.557 0. 0.557
190 0.007 0. 0.007 0.613 0. 0.613 0.606 0. 0.606 0.599 0. 0.599
200 0.007 0. 0.007 0.756 0. 0.756 0.721 0. 0.721 0.733 0. 0.733
210 0.008 0. 0.008 0.825 0. 0.824 0.858 0. 0.858 0.826 0. 0.826
220 0.008 0. 0.008 0.937 0. 0.936 0.988 0. 0.988 1.097 0. 1.097
230 0.008 0. 0.008 1.124 0. 1.125 1.061 0. 1.061 1.084 0. 1.084
240 0.009 0. 0.009 1.289 0. 1.289 1.249 0. 1.249 1.297 0. 1.297
250 0.009 0. 0.009 1.265 0. 1.265 1.324 0. 1.324 1.316 0. 1.316
260 0.009 0. 0.009 1.359 0. 1.359 1.384 0. 1.384 1.361 0. 1.361
270 0.01 0. 0.01 1.56 0. 1.56 1.556 0. 1.556 1.51 0. 1.51
280 0.01 0. 0.01 1.784 0. 1.784 1.757 0. 1.757 1.74 0. 1.74
290 0.011 0. 0.011 1.921 0. 1.921 1.932 0. 1.932 1.929 0. 1.929
300 0.011 0. 0.011 2.141 0. 2.141 2.164 0. 2.158 2.119 0. 2.119
310 0.011 0. 0.011 2.287 0. 2.287 2.269 0. 2.269 2.231 0. 2.231
320 0.012 0. 0.012 2.422 0. 2.422 2.442 0. 2.442 2.432 0. 2.432
330 0.012 0. 0.012 2.636 0. 2.636 2.611 0. 2.611 2.659 0. 2.659
340 0.012 0. 0.012 2.937 0. 2.937 2.916 0. 2.917 2.904 0. 2.904
400 0.014 0. 0.014 4.58 0.023 4.555 4.49 0. 4.489 4.475 0. 4.475
500 0.018 0. 0.018 8.259 0. 8.259 8.292 0. 8.279 8.258 0. 8.258
600 0.022 0. 0.022 13.771 0. 13.771 13.795 0. 13.795 13.776 0. 13.776
700 0.026 0. 0.026 21.187 0.007 21.179 21.15 0. 21.15 21.15 0. 21.15
