param-n,cbv-real,cbv-sys,cbv-user
0,0.,0.,0.
1,0.,0.,0.
2,0.,0.,0.
10,0.,0.,0.
20,0.,0.,0.
30,0.001,0.001,0.
40,0.003,0.,0.002
50,0.005,0.004,0.001
60,0.067,0.012,0.055
70,0.007,0.002,0.005
80,0.01,0.,0.009
90,0.014,0.,0.014
100,0.021,0.,0.021
110,0.024,0.,0.024
120,0.033,0.,0.033
130,0.037,0.,0.037
140,0.047,0.,0.047
150,0.058,0.,0.058
160,0.078,0.,0.078
170,0.085,0.,0.085
180,0.11,0.,0.11
190,0.122,0.,0.122
200,0.138,0.,0.138
210,0.165,0.,0.165
220,0.181,0.,0.181
230,0.204,0.007,0.196
240,0.233,0.,0.233
250,0.241,0.004,0.237
260,0.273,0.003,0.269
270,0.312,0.003,0.309
280,0.34,0.,0.34
290,0.376,0.,0.376
300,0.415,0.007,0.407
310,0.48,0.,0.48
320,0.518,0.008,0.51
330,0.569,0.,0.569
340,0.598,0.,0.598
350,0.652,0.003,0.648
360,0.699,0.,0.699
370,0.756,0.,0.756
380,0.853,0.,0.853
390,0.906,0.,0.906
400,0.935,0.,0.935
410,1.008,0.,1.008
420,1.099,0.,1.099
430,1.208,0.,1.208
440,1.273,0.003,1.269
450,1.344,0.,1.344
460,1.421,0.,1.421
470,1.58,0.,1.58
480,1.625,0.,1.625
490,1.749,0.,1.749
500,1.894,0.,1.894
510,1.96,0.,1.96
520,2.092,0.,2.092
530,2.212,0.,2.212
540,2.332,0.,2.332
550,2.497,0.,2.497
560,2.593,0.,2.593
570,2.769,0.011,2.757
580,2.943,0.007,2.931
590,3.029,0.,3.029
600,3.236,0.,3.236
610,3.383,0.,3.379
620,3.518,0.,3.518
630,3.705,0.003,3.701
640,3.886,0.,3.886
650,4.027,0.007,4.019
660,4.237,0.,4.237
670,4.446,0.,4.446
680,4.632,0.,4.629
690,4.874,0.,4.874
700,5.114,0.027,5.087
710,5.202,0.016,5.186
720,5.475,0.,5.474
730,5.725,0.007,5.717
740,6.033,0.007,6.025
750,6.19,0.,6.19
760,6.431,0.,6.431
770,6.657,0.,6.657
780,6.935,0.,6.935
790,7.257,0.,7.257
800,7.582,0.,7.582
810,7.902,0.,7.901
820,8.191,0.,8.191
830,8.451,0.,8.451
840,8.76,0.,8.76
850,9.079,0.,9.079
860,9.497,0.,9.497
870,9.872,0.,9.872
880,10.212,0.,10.212
890,10.608,0.,10.608
900,11.064,0.,11.064
1000,15.015,0.007,15.007
1100,20.599,0.015,20.579
1200,27.255,0.019,27.235
1300,34.807,0.007,34.799
