type size,typechecking
0,0.
1,0.
2,0.
3,0.
4,0.
5,0.
6,0.
7,0.
8,0.
9,0.
10,0.
11,0.
12,0.
13,0.
14,0.
15,0.
16,0.
17,0.
18,0.
19,0.
20,0.
21,0.
22,0.
23,0.
24,0.001
25,0.
26,0.001
27,0.
28,0.
29,0.
30,0.
31,0.
32,0.
33,0.
34,0.
35,0.001
36,0.001
37,0.001
38,0.001
39,0.001
40,0.001
41,0.001
42,0.001
43,0.001
44,0.001
45,0.001
46,0.001
47,0.001
48,0.001
49,0.001
50,0.002
51,0.002
52,0.002
53,0.002
54,0.002
55,0.002
56,0.002
57,0.002
58,0.002
59,0.002
60,0.003
61,0.003
62,0.003
63,0.003
64,0.003
65,0.003
66,0.003
67,0.003
68,0.003
69,0.004
70,0.004
71,0.004
72,0.004
73,0.004
74,0.005
75,0.004
76,0.005
77,0.005
78,0.005
79,0.005
80,0.005
81,0.005
82,0.005
83,0.006
84,0.006
85,0.006
86,0.006
87,0.006
88,0.006
89,0.006
90,0.006
91,0.007
92,0.007
93,0.007
94,0.007
95,0.008
96,0.008
97,0.008
98,0.008
99,0.008
100,0.012
101,0.008
102,0.008
103,0.009
104,0.009
105,0.009
106,0.009
107,0.009
108,0.01
109,0.01
110,0.01
111,0.01
112,0.01
113,0.011
114,0.011
115,0.011
116,0.011
117,0.011
118,0.012
119,0.013
120,0.012
121,0.012
122,0.012
123,0.012
124,0.013
125,0.013
126,0.013
127,0.013
128,0.014
129,0.013
130,0.014
131,0.015
132,0.016
133,0.014
134,0.011
135,0.015
136,0.015
137,0.015
138,0.016
139,0.016
140,0.017
141,0.018
142,0.017
143,0.017
144,0.017
145,0.018
146,0.02
147,0.017
148,0.018
149,0.02
150,0.02
151,0.019
152,0.019
153,0.02
154,0.019
155,0.022
156,0.02
157,0.02
158,0.022
159,0.02
160,0.022
161,0.021
162,0.023
163,0.022
164,0.025
165,0.023
166,0.024
167,0.023
168,0.023
169,0.028
170,0.027
171,0.026
172,0.024
173,0.024
174,0.027
175,0.023
176,0.026
177,0.027
178,0.029
179,0.029
180,0.026
181,0.026
182,0.025
183,0.029
184,0.03
185,0.03
186,0.03
187,0.031
188,0.029
189,0.029
190,0.03
191,0.03
192,0.031
193,0.035
194,0.032
195,0.032
196,0.033
197,0.033
198,0.034
199,0.034
200,0.037
201,0.035
202,0.038
203,0.035
204,0.035
205,0.036
206,0.036
207,0.036
208,0.037
209,0.04
210,0.038
211,0.037
212,0.038
213,0.039
214,0.041
215,0.041
216,0.039
217,0.043
218,0.04
219,0.04
220,0.041
221,0.042
222,0.044
223,0.042
224,0.042
225,0.046
226,0.047
227,0.044
228,0.043
229,0.047
230,0.046
231,0.045
232,0.048
233,0.049
234,0.046
235,0.054
236,0.049
237,0.05
238,0.047
239,0.057
240,0.051
241,0.048
242,0.05
243,0.058
244,0.052
245,0.049
246,0.055
247,0.054
248,0.05
249,0.058
250,0.054
251,0.061
252,0.055
253,0.056
254,0.059
255,0.061
256,0.057
257,0.053
258,0.059
259,0.06
260,0.057
261,0.059
262,0.062
263,0.062
264,0.063
265,0.063
266,0.06
267,0.059
268,0.064
269,0.066
270,0.069
271,0.066
272,0.069
273,0.067
274,0.07
275,0.064
276,0.071
277,0.069
278,0.072
279,0.07
280,0.072
281,0.07
282,0.072
283,0.072
284,0.065
285,0.069
286,0.071
287,0.072
288,0.072
289,0.079
290,0.074
291,0.075
292,0.075
293,0.078
294,0.077
295,0.079
296,0.075
297,0.081
298,0.08
299,0.081
300,0.079
305,0.08
310,0.084
315,0.084
320,0.089
325,0.095
330,0.096
335,0.105
340,0.107
345,0.107
350,0.103
355,0.111
360,0.112
365,0.115
370,0.113
375,0.119
380,0.135
385,0.128
390,0.139
395,0.134
400,0.138
410,0.149
420,0.158
430,0.158
440,0.164
450,0.169
460,0.181
470,0.197
480,0.2
490,0.213
500,0.211
550,0.257
600,0.306
650,0.37
700,0.435
750,0.481
800,0.543
850,0.633
900,0.686
950,0.805
1000,0.851
1100,1.064
1200,1.227
1300,1.435
1400,1.668
1500,1.914
1600,2.187
1700,2.514
1800,2.807
1900,3.121
