type size,typechecking
0,0.
1,0.
2,0.
3,0.
4,0.
5,0.
6,0.
7,0.
8,0.
9,0.
10,0.
11,0.
12,0.
13,0.
14,0.
15,0.001
16,0.
17,0.
18,0.
19,0.001
20,0.
21,0.001
22,0.001
23,0.002
24,0.002
25,0.
26,0.002
27,0.001
28,0.
29,0.001
30,0.001
31,0.001
32,0.001
33,0.002
34,0.002
35,0.002
36,0.003
37,0.002
38,0.002
39,0.002
40,0.002
41,0.003
42,0.003
43,0.003
44,0.003
45,0.003
46,0.003
47,0.004
48,0.004
49,0.004
50,0.004
51,0.004
52,0.004
53,0.005
54,0.005
55,0.005
56,0.005
57,0.005
58,0.006
59,0.006
60,0.006
61,0.006
62,0.007
63,0.007
64,0.009
65,0.007
66,0.007
67,0.008
68,0.008
69,0.009
70,0.008
71,0.009
72,0.009
73,0.009
74,0.01
75,0.01
76,0.01
77,0.011
78,0.011
79,0.011
80,0.011
81,0.014
82,0.012
83,0.013
84,0.012
85,0.013
86,0.014
87,0.013
88,0.014
89,0.015
90,0.014
91,0.015
92,0.015
93,0.015
94,0.016
95,0.016
96,0.017
97,0.018
98,0.017
99,0.018
100,0.087
101,0.019
102,0.018
103,0.019
104,0.019
105,0.02
106,0.021
107,0.021
108,0.021
109,0.023
110,0.022
111,0.023
112,0.023
113,0.024
114,0.023
115,0.024
116,0.024
117,0.027
118,0.028
119,0.026
120,0.028
121,0.027
122,0.026
123,0.029
124,0.028
125,0.03
126,0.032
127,0.029
128,0.031
129,0.033
130,0.03
131,0.032
132,0.034
133,0.031
134,0.032
135,0.035
136,0.036
137,0.033
138,0.034
139,0.037
140,0.038
141,0.035
142,0.035
143,0.033
144,0.039
145,0.041
146,0.041
147,0.038
148,0.038
149,0.039
150,0.04
151,0.041
152,0.043
153,0.04
154,0.043
155,0.042
156,0.045
157,0.046
158,0.046
159,0.046
160,0.047
161,0.047
162,0.048
163,0.052
164,0.05
165,0.049
166,0.049
167,0.049
168,0.05
169,0.051
170,0.052
171,0.051
172,0.053
173,0.06
174,0.063
175,0.063
176,0.055
177,0.055
178,0.062
179,0.062
180,0.06
181,0.057
182,0.068
183,0.059
184,0.06
185,0.067
186,0.061
187,0.062
188,0.068
189,0.063
190,0.064
191,0.066
192,0.067
193,0.066
194,0.067
195,0.07
196,0.067
197,0.075
198,0.066
199,0.072
200,0.074
201,0.075
202,0.075
203,0.074
204,0.083
205,0.079
206,0.076
207,0.081
208,0.079
209,0.087
210,0.086
211,0.08
212,0.085
213,0.083
214,0.086
215,0.097
216,0.085
217,0.091
218,0.095
219,0.092
220,0.092
221,0.088
222,0.091
223,0.089
224,0.093
225,0.089
226,0.093
227,0.091
228,0.095
229,0.093
230,0.097
231,0.095
232,0.101
233,0.096
234,0.104
235,0.104
236,0.107
237,0.106
238,0.106
239,0.109
240,0.102
241,0.108
242,0.11
243,0.104
244,0.107
245,0.112
246,0.122
247,0.113
248,0.118
249,0.112
250,0.118
251,0.113
252,0.126
253,0.129
254,0.123
255,0.126
256,0.121
257,0.131
258,0.129
259,0.134
260,0.127
261,0.128
262,0.125
263,0.128
264,0.133
265,0.135
266,0.132
267,0.131
268,0.132
269,0.135
270,0.14
271,0.136
272,0.142
273,0.142
274,0.151
275,0.144
276,0.143
277,0.142
278,0.15
279,0.152
280,0.148
281,0.152
282,0.146
283,0.154
284,0.146
285,0.155
286,0.15
287,0.148
288,0.152
289,0.157
290,0.158
291,0.165
292,0.16
293,0.157
294,0.157
295,0.161
296,0.166
297,0.168
298,0.179
299,0.163
300,0.177
305,0.182
310,0.179
315,0.186
320,0.191
325,0.195
330,0.201
335,0.208
340,0.224
345,0.234
350,0.235
355,0.238
360,0.241
365,0.253
370,0.253
375,0.264
380,0.281
385,0.292
390,0.275
395,0.29
400,0.296
410,0.316
420,0.351
430,0.362
440,0.36
450,0.381
460,0.388
470,0.428
480,0.441
490,0.45
500,0.461
550,0.583
600,0.675
650,0.793
700,0.954
750,1.049
800,1.231
850,1.352
900,1.522
950,1.734
1000,1.94
1100,2.323
1200,2.759
1300,3.237
1400,3.858
1500,4.36
1600,5.28
1700,5.567
1800,6.307
1900,7.368
