param-n,param-num-binders,cbv-real,cbv-sys,cbv-user,lazy-real,lazy-sys,lazy-user
0,0,0.,0.,0.,0.,0.,0.
1,1,0.,0.,0.,0.,0.,0.
2,4,0.,0.,0.,0.,0.,0.
5,25,0.,0.,0.,0.,0.,0.
10,100,0.001,0.,0.001,0.002,0.,0.002
15,225,0.005,0.003,0.001,0.005,0.,0.005
20,400,0.009,0.,0.009,0.009,0.,0.009
25,625,0.022,0.,0.022,0.023,0.,0.023
30,900,0.059,0.,0.059,0.049,0.,0.049
35,1225,0.124,0.,0.124,0.137,0.,0.136
40,1600,0.251,0.,0.251,0.225,0.003,0.222
45,2025,0.453,0.,0.452,0.433,0.,0.433
50,2500,0.679,0.,0.678,0.694,0.,0.693
55,3025,1.019,0.,1.018,1.046,0.,1.045
60,3600,1.48,0.,1.479,1.452,0.,1.45
65,4225,2.011,0.,2.009,1.907,0.003,1.902
70,4900,2.742,0.,2.742,2.697,0.,2.697
75,5625,3.416,0.,3.416,3.593,0.,3.591
80,6400,4.601,0.,4.601,4.479,0.,4.479
85,7225,5.507,0.003,5.504,5.887,0.,5.883
90,8100,6.918,0.003,6.914,7.215,0.007,7.207
95,9025,9.535,0.,9.535,9.039,0.,9.039
100,10000,11.446,0.007,11.438,13.629,0.,13.628
105,11025,13.531,0.,13.531,13.383,0.,13.383
110,12100,16.255,0.,16.254,16.095,0.,16.095
115,13225,20.009,0.,20.009,19.904,0.,19.904
