param-n,param-num-binders,vm-compute-real,vm-compute-sys,vm-compute-user
0,0,0.,0.,0.
1,1,0.,0.,0.
2,4,0.,0.,0.
5,25,0.,0.,0.
10,100,0.002,0.,0.002
15,225,0.005,0.,0.005
20,400,0.067,0.,0.067
25,625,0.019,0.,0.019
30,900,0.045,0.003,0.041
35,1225,0.046,0.,0.046
40,1600,0.099,0.,0.099
45,2025,0.089,0.003,0.085
50,2500,0.114,0.007,0.106
55,3025,0.143,0.,0.143
60,3600,0.149,0.004,0.145
65,4225,0.216,0.003,0.212
70,4900,0.258,0.008,0.25
75,5625,0.382,0.007,0.374
80,6400,0.352,0.007,0.344
85,7225,0.477,0.,0.477
90,8100,0.599,0.019,0.579
95,9025,0.675,0.023,0.651
100,10000,0.776,0.003,0.771
105,11025,0.934,0.024,0.91
110,12100,1.089,0.,1.089
115,13225,1.6,0.016,1.584
120,14400,1.359,0.076,1.283
125,15625,1.445,0.06,1.385
130,16900,1.906,0.031,1.874
135,18225,1.684,0.036,1.648
140,19600,2.,0.04,1.96
145,21025,2.291,0.015,2.275
