Params: n= 70 , num-binders= 4900
Tactic call cbv ran for 2.742 secs (2.742u,0.s) (success)
Tactic call lazy ran for 2.697 secs (2.697u,0.s) (success)
Params: n= 75 , num-binders= 5625
Tactic call cbv ran for 3.416 secs (3.416u,0.s) (success)
Tactic call lazy ran for 3.593 secs (3.591u,0.s) (success)
Params: n= 80 , num-binders= 6400
Tactic call cbv ran for 4.601 secs (4.601u,0.s) (success)
Tactic call lazy ran for 4.479 secs (4.479u,0.s) (success)
Params: n= 85 , num-binders= 7225
Tactic call cbv ran for 5.507 secs (5.504u,0.003s) (success)
Tactic call lazy ran for 5.887 secs (5.883u,0.s) (success)
Params: n= 90 , num-binders= 8100
Tactic call cbv ran for 6.918 secs (6.914u,0.003s) (success)
Tactic call lazy ran for 7.215 secs (7.207u,0.007s) (success)
Params: n= 95 , num-binders= 9025
Tactic call cbv ran for 9.535 secs (9.535u,0.s) (success)
Tactic call lazy ran for 9.039 secs (9.039u,0.s) (success)
Params: n= 100 , num-binders= 10000
Tactic call cbv ran for 11.446 secs (11.438u,0.007s) (success)
Tactic call lazy ran for 13.629 secs (13.628u,0.s) (success)
Params: n= 105 , num-binders= 11025
Tactic call cbv ran for 13.531 secs (13.531u,0.s) (success)
Tactic call lazy ran for 13.383 secs (13.383u,0.s) (success)
Params: n= 110 , num-binders= 12100
Tactic call cbv ran for 16.255 secs (16.254u,0.s) (success)
Tactic call lazy ran for 16.095 secs (16.095u,0.s) (success)
Params: n= 115 , num-binders= 13225
Tactic call cbv ran for 20.009 secs (20.009u,0.s) (success)
Tactic call lazy ran for 19.904 secs (19.904u,0.s) (success)
