Params: n= 35 , num-binders= 1225
Tactic call native_compute ran for 10.938 secs (0.113u,0.051s) (success)
Params: n= 40 , num-binders= 1600
Tactic call native_compute ran for 18.233 secs (0.148u,0.024s) (success)
Params: n= 45 , num-binders= 2025
Tactic call native_compute ran for 28.541 secs (0.166u,0.036s) (success)
Params: n= 50 , num-binders= 2500
Tactic call native_compute ran for 53.387 secs (0.186u,0.043s) (success)
Params: n= 55 , num-binders= 3025
Tactic call native_compute ran for 73.447 secs (0.231u,0.039s) (success)
Params: n= 60 , num-binders= 3600
Tactic call native_compute ran for 98.513 secs (0.289u,0.039s) (success)
