Params: n= 5 , num-binders= 25
Tactic call native_compute ran for 0.111 secs (0.u,0.01s) (success)
Params: n= 10 , num-binders= 100
Tactic call native_compute ran for 0.24 secs (0.008u,0.008s) (success)
Params: n= 15 , num-binders= 225
Tactic call native_compute ran for 0.761 secs (0.082u,0.032s) (success)
Params: n= 20 , num-binders= 400
Tactic call native_compute ran for 1.647 secs (0.037u,0.007s) (success)
Params: n= 25 , num-binders= 625
Tactic call native_compute ran for 4.497 secs (0.058u,0.016s) (success)
Params: n= 30 , num-binders= 900
Tactic call native_compute ran for 8.527 secs (0.083u,0.019s) (success)
